date,AS_FTSE_AS_EM_AW_STAYS_2021_Q4,meta
2021-10-08 00:00:00,-239.61421847607653,
2021-10-08 01:00:00,-204.0479240821669,
2021-10-08 02:30:00,-185.7836111763645,
2021-10-08 03:00:00,-190.40021149787663,
2021-10-08 18:30:00,-190.40021149787663,
2021-10-08 20:00:00,-190.40021149787663,
2021-10-08 23:00:00,-190.40021149787663,
2021-10-08 23:59:59,-208.8014612194961,w
2021-10-11 00:00:00,-154.07946697612215,
2021-10-11 01:00:00,-154.07946697612215,
2021-10-11 02:30:00,-161.05450704278564,
2021-10-11 03:00:00,-167.53616608286939,
2021-10-11 18:30:00,-167.53616608286939,
2021-10-11 20:00:00,-167.53616608286939,
2021-10-11 23:00:00,-10.70117698400145,
2021-10-11 23:59:59,-30.95813810500431,c
2021-10-12 00:00:00,-18.725441326648706,
2021-10-12 01:00:00,-32.67234989029703,
2021-10-12 02:30:00,-88.9939356926402,
2021-10-12 03:00:00,-79.48514324620828,
2021-10-12 18:30:00,-79.48514324620828,
2021-10-12 20:00:00,-79.48514324620828,
2021-10-12 23:00:00,-11.487566516343122,
2021-10-12 23:59:59,-40.768762256624086,c
2021-10-13 00:00:00,-54.371787891398526,
2021-10-13 01:00:00,-49.038727843851575,
2021-10-13 02:30:00,-49.038727843851575,
2021-10-13 03:00:00,-49.038727843851575,
2021-10-13 18:30:00,-49.038727843851575,
2021-10-13 20:00:00,-49.038727843851575,
2021-10-13 23:00:00,-158.70390943957545,
2021-10-13 23:59:59,-178.00265489435287,c
2021-10-14 00:00:00,-203.74692209984278,
2021-10-14 01:00:00,-187.37914162051675,
2021-10-14 02:30:00,-187.37914162051675,
2021-10-14 03:00:00,-187.37914162051675,
2021-10-14 18:30:00,-187.37914162051675,
2021-10-14 20:00:00,-187.37914162051675,
2021-10-14 23:00:00,-184.83835945720102,
2021-10-14 23:59:59,-133.09013793648182,c
2021-10-15 00:00:00,-188.8852117440133,
2021-10-15 01:00:00,-205.41713630883487,
2021-10-15 02:30:00,-192.10243364912685,
2021-10-15 03:00:00,-189.1683084885949,
2021-10-15 18:30:00,-189.1683084885949,
2021-10-15 20:00:00,-189.1683084885949,
2021-10-15 23:00:00,-189.1683084885949,
2021-10-15 23:59:59,-190.32066533821717,w
2021-10-18 00:00:00,-152.87855262012772,
2021-10-18 01:00:00,-147.7981183257789,
2021-10-18 02:30:00,-166.87419247661273,
2021-10-18 03:00:00,-168.5026784790807,
2021-10-18 18:30:00,-168.5026784790807,
2021-10-18 20:00:00,-168.5026784790807,
2021-10-18 23:00:00,-194.6606503955386,
2021-10-18 23:59:59,-177.93015209778332,c
2021-10-19 00:00:00,-198.42262071863024,
2021-10-19 01:00:00,-200.5171440036952,
2021-10-19 02:30:00,-156.53872791255708,
2021-10-19 03:00:00,-162.79760465326262,
2021-10-19 18:30:00,-162.79760465326262,
2021-10-19 20:00:00,-162.79760465326262,
2021-10-19 23:00:00,-192.220496481973,
2021-10-19 23:59:59,-204.2645711108953,c
2021-10-20 00:00:00,-199.70949742314542,
2021-10-20 01:00:00,-202.70037460170988,
2021-10-20 02:30:00,-194.18931654648077,
2021-10-20 03:00:00,-185.97864731676782,
2021-10-20 18:30:00,-185.97864731676782,
2021-10-20 20:00:00,-185.97864731676782,
2021-10-20 23:00:00,-217.81201609055006,
2021-10-20 23:59:59,-216.66312389976474,c
2021-10-21 00:00:00,-208.05274117334966,
2021-10-21 01:00:00,-189.89065234601412,
2021-10-21 02:30:00,-211.02217715104916,
2021-10-21 03:00:00,-214.6595785010013,
2021-10-21 18:30:00,-214.6595785010013,
2021-10-21 20:00:00,-214.6595785010013,
2021-10-21 23:00:00,-101.7622382767554,
2021-10-21 23:59:59,-126.6540947890876,c
2021-10-22 00:00:00,-132.8541398781781,
2021-10-22 01:00:00,-133.67292123994548,
2021-10-22 02:30:00,-107.71146194094808,
2021-10-22 03:00:00,-105.46172522139796,
2021-10-22 18:30:00,-105.46172522139796,
2021-10-22 20:00:00,-105.46172522139796,
2021-10-22 23:00:00,-105.46172522139796,
2021-10-22 23:59:59,-115.57812759168746,w
2021-10-25 00:00:00,-102.71386509210652,
2021-10-25 01:00:00,-78.60950137537247,
2021-10-25 02:30:00,-53.104865879698536,
2021-10-25 03:00:00,-56.892501544691186,
2021-10-25 18:30:00,-56.892501544691186,
2021-10-25 20:00:00,-56.892501544691186,
2021-10-25 23:00:00,-114.09948631139014,
2021-10-25 23:59:59,-113.92061456352076,c
2021-10-26 00:00:00,-113.12829226977692,
2021-10-26 01:00:00,-111.94965469600811,
2021-10-26 02:30:00,-146.1432804731271,
2021-10-26 03:00:00,-149.99401492378865,
2021-10-26 18:30:00,-149.99401492378865,
2021-10-26 20:00:00,-149.99401492378865,
2021-10-26 23:00:00,-79.44939102150283,
2021-10-26 23:59:59,-89.13787788249101,c
2021-10-27 00:00:00,-80.5112728004724,
2021-10-27 01:00:00,-100.50911605313786,
2021-10-27 02:30:00,-132.44870796559962,
2021-10-27 03:00:00,-129.5312946768231,
2021-10-27 18:30:00,-129.5312946768231,
2021-10-27 20:00:00,-129.5312946768231,
2021-10-27 23:00:00,-95.5541061226445,
2021-10-27 23:59:59,-108.43638157015721,c
2021-10-28 00:00:00,-113.71482208033467,
2021-10-28 01:00:00,-105.48834280235133,
2021-10-28 02:30:00,-99.05770900781636,
2021-10-28 03:00:00,-102.987608535846,
2021-10-28 18:30:00,-102.987608535846,
2021-10-28 20:00:00,-102.987608535846,
2021-10-28 23:00:00,-124.6407997934275,
2021-10-28 23:59:59,-144.7039220204515,c
2021-10-29 00:00:00,-138.09039219653368,
2021-10-29 01:00:00,-152.37009677562264,
2021-10-29 02:30:00,-147.7593193842731,
2021-10-29 03:00:00,-141.5858402582603,
2021-10-29 18:30:00,-141.5858402582603,
2021-10-29 20:00:00,-141.5858402582603,
2021-10-29 23:00:00,-141.5858402582603,
2021-10-29 23:59:59,-142.07160354402413,w
2021-11-01 00:00:00,-115.33811730720254,
2021-11-01 01:00:00,-121.55821768052601,
2021-11-01 02:30:00,-140.90602695678353,
2021-11-01 03:00:00,-148.5182860046898,
2021-11-01 18:30:00,-148.5182860046898,
2021-11-01 20:00:00,-148.5182860046898,
2021-11-01 23:00:00,-206.76194343812995,
2021-11-01 23:59:59,-195.94295305588093,c
2021-11-02 00:00:00,-179.26768874844947,
2021-11-02 01:00:00,-158.35357151807239,
2021-11-02 02:30:00,-189.23440712496313,
2021-11-02 03:00:00,-192.32166355840673,
2021-11-02 18:30:00,-192.32166355840673,
2021-11-02 20:00:00,-192.32166355840673,
2021-11-02 23:00:00,-147.9862173758579,
2021-11-02 23:59:59,-143.9035650530509,c
2021-11-03 00:00:00,-142.46223907079093,
2021-11-03 01:00:00,-126.5087241126289,
2021-11-03 02:30:00,-171.67319094853656,
2021-11-03 03:00:00,-181.94812372118713,
2021-11-03 18:30:00,-181.94812372118713,
2021-11-03 20:00:00,-181.94812372118713,
2021-11-03 23:00:00,-174.00797247626315,
2021-11-03 23:59:59,-170.74812885015717,c
2021-11-04 00:00:00,-177.4494732481685,
2021-11-04 01:00:00,-174.0087849387919,
2021-11-04 02:30:00,-137.14861740962033,
2021-11-04 03:00:00,-135.12484287479083,
