date,AS_IDV_2022_Q1,meta
2022-02-18 00:00:00,-353.0628805476015,
2022-02-18 01:00:00,-329.93122205808413,
2022-02-18 02:30:00,-331.6528713818159,
2022-02-18 03:00:00,-332.1179551332543,
2022-02-18 18:30:00,-332.1179551332543,
2022-02-18 20:00:00,-332.1179551332543,
2022-02-18 23:00:00,-332.1179551332543,
2022-02-18 23:59:59,-341.19013848778013,w
2022-02-21 00:00:00,-332.96001330744116,
2022-02-21 01:00:00,-319.18939003472383,
2022-02-21 02:30:00,-325.9143826033726,
2022-02-21 03:00:00,-328.1645641114874,
2022-02-21 18:30:00,-344.15373821036906,
2022-02-21 20:00:00,-323.8984196384945,
2022-02-21 23:00:00,-357.713523960904,
2022-02-21 23:59:59,-395.90654781170224,c
2022-02-22 00:00:00,-389.8806933148983,
2022-02-22 01:00:00,-281.2599927957722,
2022-02-22 02:30:00,-259.0067815010955,
2022-02-22 03:00:00,-247.56459484259722,
2022-02-22 18:30:00,-243.45112129338327,
2022-02-22 20:00:00,-224.93275943084882,
2022-02-22 23:00:00,-220.94113532166125,
2022-02-22 23:59:59,-225.17659187444178,c
2022-02-23 00:00:00,-232.90106189075368,
2022-02-23 01:00:00,-258.72660660434894,
2022-02-23 02:30:00,-271.0379046510477,
2022-02-23 03:00:00,-271.7452568906631,
2022-02-23 18:30:00,-276.27811699124595,
2022-02-23 20:00:00,-279.21381017264616,
2022-02-23 23:00:00,-310.89573707728096,
2022-02-23 23:59:59,-300.6211460588047,c
2022-02-24 00:00:00,-303.4500577770925,
2022-02-24 01:00:00,-309.74082267616996,
2022-02-24 02:30:00,-302.6309501281635,
2022-02-24 03:00:00,-309.45555193769746,
2022-02-24 18:30:00,-297.97396040609533,
2022-02-24 20:00:00,-293.4253666203351,
2022-02-24 23:00:00,-298.65372376663754,
2022-02-24 23:59:59,-280.21543086914335,c
2022-02-25 00:00:00,-242.1828807867371,
2022-02-25 01:00:00,-210.56439023881762,
2022-02-25 02:30:00,-213.9127299313634,
2022-02-25 03:00:00,-216.430599185172,
2022-02-25 18:30:00,-216.430599185172,
2022-02-25 20:00:00,-216.430599185172,
2022-02-25 23:00:00,-216.430599185172,
2022-02-25 23:59:59,-232.8627811392182,w
2022-02-28 00:00:00,-79.6608135458946,
2022-02-28 01:00:00,-64.21919543900549,
2022-02-28 02:30:00,-61.24246684876198,
2022-02-28 03:00:00,-61.62699409103948,
2022-02-28 18:30:00,-71.29686495045803,
2022-02-28 20:00:00,-45.109432219826886,
2022-02-28 23:00:00,-53.71348841304143,
2022-02-28 23:59:59,-45.072255969023445,c
2022-03-01 00:00:00,-23.219346495784748,
2022-03-01 01:00:00,-17.107445109718356,
2022-03-01 02:30:00,-25.561516238489958,
2022-03-01 03:00:00,-26.558900812706497,
2022-03-01 18:30:00,-33.29357439922114,
2022-03-01 20:00:00,-35.27962863322159,
2022-03-01 23:00:00,-44.80627201366838,
2022-03-01 23:59:59,-32.04809142127738,c
2022-03-02 00:00:00,-19.382002170883652,
2022-03-02 01:00:00,5.641045545623911,
2022-03-02 02:30:00,-2.543961462132529,
2022-03-02 03:00:00,-1.7583065570831877,
2022-03-02 18:30:00,-0.06951562472409023,
2022-03-02 20:00:00,-15.491881117122603,
2022-03-02 23:00:00,46.29255404453238,
2022-03-02 23:59:59,55.77758180211026,c
2022-03-03 00:00:00,76.70333344672758,
2022-03-03 01:00:00,98.71570646931923,
2022-03-03 02:30:00,103.6964457030042,
2022-03-03 03:00:00,105.20344769538724,
2022-03-03 18:30:00,102.58831822949787,
2022-03-03 20:00:00,82.3039125975331,
2022-03-03 23:00:00,100.07823291575392,
2022-03-03 23:59:59,111.91026786050884,c
2022-03-04 00:00:00,120.23661690022686,
2022-03-04 01:00:00,109.6618503636646,
2022-03-04 02:30:00,96.52365692267335,
2022-03-04 03:00:00,90.18016725570624,
2022-03-04 18:30:00,90.18016725570624,
2022-03-04 20:00:00,90.18016725570624,
2022-03-04 23:00:00,90.18016725570624,
2022-03-04 23:59:59,86.7310776076049,w
2022-03-07 00:00:00,116.44886927867833,
2022-03-07 01:00:00,92.77028577929673,
2022-03-07 02:30:00,73.43573552130033,
2022-03-07 03:00:00,84.87941998947281,
2022-03-07 18:30:00,87.46229601353843,
2022-03-07 20:00:00,104.8963304715569,
2022-03-07 23:00:00,47.30938330413801,
2022-03-07 23:59:59,-4.049521961206665,c
2022-03-08 00:00:00,-55.277345897577334,
2022-03-08 01:00:00,-33.11703537707854,
2022-03-08 02:30:00,-88.96283165698583,
2022-03-08 03:00:00,-89.27920096034495,
2022-03-08 18:30:00,-73.92887009105812,
2022-03-08 20:00:00,-51.83838066680801,
2022-03-08 23:00:00,-21.45552261910825,
2022-03-08 23:59:59,-7.2286904946620325,c
2022-03-09 00:00:00,-6.199743071453213,
2022-03-09 01:00:00,-29.775913245917536,
2022-03-09 02:30:00,-33.964839622174395,
2022-03-09 03:00:00,-23.660441935987365,
2022-03-09 18:30:00,-20.330515667871396,
2022-03-09 20:00:00,-18.087918355317925,
2022-03-09 23:00:00,-32.715900128344174,
2022-03-09 23:59:59,-58.853444074573645,c
2022-03-10 00:00:00,-28.428129476035792,
2022-03-10 01:00:00,-13.949118499769611,
2022-03-10 02:30:00,-11.973402272762542,
2022-03-10 03:00:00,-28.99548116723804,
2022-03-10 18:30:00,-25.70506733812954,
2022-03-10 20:00:00,-41.93921908566949,
2022-03-10 23:00:00,-81.58721439610645,
2022-03-10 23:59:59,-87.72408106797889,c
2022-03-11 00:00:00,-67.1009415762403,
2022-03-11 01:00:00,-47.3017947879091,
2022-03-11 02:30:00,-11.670272808966274,
2022-03-11 03:00:00,-8.595668938765584,
2022-03-11 18:30:00,-8.595668938765584,
2022-03-11 20:00:00,-8.595668938765584,
2022-03-11 23:00:00,-8.595668938765584,
2022-03-11 23:59:59,0.0,a
2022-03-14 00:00:00,61.40896314921065,
2022-03-14 01:00:00,60.76902145628196,
2022-03-14 02:30:00,17.328616651647053,
2022-03-14 03:00:00,2.7526014150180345,
2022-03-14 18:30:00,-3.0219441604610893,
2022-03-14 20:00:00,-8.949365975219507,
2022-03-14 23:00:00,32.29217777053145,
2022-03-14 23:59:59,16.179612158092368,c
2022-03-15 00:00:00,-8.500337425254884,
2022-03-15 01:00:00,-11.886016135908676,
2022-03-15 02:30:00,-61.31582983596718,
2022-03-15 03:00:00,-48.11544633960966,
2022-03-15 18:30:00,-57.98728050797854,
2022-03-15 20:00:00,-56.310204748327806,
2022-03-15 23:00:00,9.072730507118422,
2022-03-15 23:59:59,-18.328163159418864,c
2022-03-16 00:00:00,1.386600341571011,
2022-03-16 01:00:00,9.822243433911126,
2022-03-16 02:30:00,79.09375842850409,
2022-03-16 03:00:00,76.35705371972722,
2022-03-16 18:30:00,61.728531432645696,
2022-03-16 20:00:00,55.94784413424827,
2022-03-16 23:00:00,74.59307435457072,
2022-03-16 23:59:59,41.70737555325354,c
2022-03-17 00:00:00,67.29643272453677,
2022-03-17 01:00:00,63.51905089582169,
2022-03-17 02:30:00,34.7373920775708,
2022-03-17 03:00:00,24.698931629231083,
2022-03-17 18:30:00,27.46115645335817,
2022-03-17 20:00:00,30.32465822079962,
2022-03-17 23:00:00,82.24461100389703,
2022-03-17 23:59:59,79.87454145853485,c
2022-03-18 00:00:00,83.27018085164354,
2022-03-18 01:00:00,74.0561399375199,
2022-03-18 02:30:00,77.65608285525218,
2022-03-18 03:00:00,69.03497918329913,
2022-03-18 18:30:00,69.03497918329913,
2022-03-18 20:00:00,69.03497918329913,
2022-03-18 23:00:00,69.03497918329913,
2022-03-18 23:59:59,33.74169953796468,e
2022-03-21 00:00:00,-39.785205712711786,
2022-03-21 01:00:00,-47.96522392399038,
2022-03-21 02:30:00,-37.18911640011356,
2022-03-21 03:00:00,-42.190230776648605,
2022-03-21 18:30:00,-64.10619641599487,
2022-03-21 20:00:00,-79.10871385827704,
2022-03-21 23:00:00,-89.83360760523533,
2022-03-21 23:59:59,-69.23879500820158,c
2022-03-22 00:00:00,-46.75233620741574,
2022-03-22 01:00:00,-64.32303511245937,
2022-03-22 02:30:00,-66.56245638505811,
2022-03-22 03:00:00,-63.55030763311993,
2022-03-22 18:30:00,-66.36311794041671,
2022-03-22 20:00:00,-68.4586167708676,
2022-03-22 23:00:00,-117.01979367975537,
2022-03-22 23:59:59,-144.38503793253153,c
2022-03-23 00:00:00,-128.4277315372351,
2022-03-23 01:00:00,-129.49187856074514,
2022-03-23 02:30:00,-130.48811529451882,
2022-03-23 03:00:00,-129.6811735509757,
2022-03-23 18:30:00,-135.5293056571711,
2022-03-23 20:00:00,-133.16269911006816,
2022-03-23 23:00:00,-198.00313611262754,
2022-03-23 23:59:59,-183.191841285701,c
2022-03-24 00:00:00,-198.24109743321765,
2022-03-24 01:00:00,-207.64605252776096,
2022-03-24 02:30:00,-240.8868075742605,
2022-03-24 03:00:00,-246.43909392705973,
2022-03-24 18:30:00,-239.02497160411008,
2022-03-24 20:00:00,-236.34483585199177,
2022-03-24 23:00:00,-261.49958911744193,
2022-03-24 23:59:59,-248.08280889170305,c
2022-03-25 00:00:00,-243.5448482670006,
2022-03-25 01:00:00,-227.72773131285726,
2022-03-25 02:30:00,-253.5686185353229,
2022-03-25 03:00:00,-252.95035918717736,
2022-03-25 18:30:00,-252.95035918717736,
2022-03-25 20:00:00,-252.95035918717736,
2022-03-25 23:00:00,-252.95035918717736,
2022-03-25 23:59:59,-263.8660132238997,w
2022-03-28 00:00:00,-294.33822076298816,
2022-03-28 01:00:00,-296.06060497481735,
2022-03-28 02:30:00,-300.74588170847323,
2022-03-28 03:00:00,-304.50930266123237,
2022-03-28 18:30:00,-305.72035440653167,
2022-03-28 20:00:00,-303.00274819984475,
2022-03-28 23:00:00,-247.99687323994613,
2022-03-28 23:59:59,-253.65023131129192,c
2022-03-29 00:00:00,-241.8779641172532,
2022-03-29 01:00:00,-243.54902341837942,
2022-03-29 02:30:00,-215.07633104095225,
2022-03-29 03:00:00,-203.24859126672527,
2022-03-29 18:30:00,-214.59546780240726,
2022-03-29 20:00:00,-205.90510512077685,
2022-03-29 23:00:00,-183.15735965491717,
2022-03-29 23:59:59,-165.75411406315675,c
2022-03-30 00:00:00,-174.6209549288551,
2022-03-30 01:00:00,-158.9739526234091,
2022-03-30 02:30:00,-181.6085136013853,
2022-03-30 03:00:00,-177.82426907261697,
2022-03-30 18:30:00,-182.05472757414964,
2022-03-30 20:00:00,-177.4131507858874,
2022-03-30 23:00:00,-90.27025880781162,
2022-03-30 23:59:59,-63.78576290738738,c
2022-03-31 00:00:00,-54.81236997402857,
2022-03-31 01:00:00,-60.08967945979384,
2022-03-31 02:30:00,-39.456045682042486,
2022-03-31 03:00:00,-39.11034706947521,
2022-03-31 18:30:00,-33.63973332402543,
2022-03-31 20:00:00,-55.3948853896386,
2022-03-31 23:00:00,-96.21908818670795,
2022-03-31 23:59:59,-94.11065945757105,c
2022-04-01 00:00:00,-89.06803528501814,
2022-04-01 01:00:00,-87.02848747616599,
2022-04-01 02:30:00,-101.02563481276388,
2022-04-01 03:00:00,-108.74782281847865,
2022-04-01 18:30:00,-108.74782281847865,
2022-04-01 20:00:00,-108.74782281847865,
