date,AS_JETS_2021_Q4,meta
2021-11-05 00:00:00,1683.7096344129081,
2021-11-05 01:00:00,1773.8222729332706,
2021-11-05 02:30:00,1735.5211194828357,
2021-11-05 03:00:00,1755.234613787748,
2021-11-05 18:30:00,1755.234613787748,
2021-11-05 20:00:00,1755.234613787748,
2021-11-05 23:00:00,1755.234613787748,
2021-11-05 23:59:59,1769.8196725089097,w
2021-11-08 00:00:00,1299.5464076020749,
2021-11-08 01:00:00,1368.476571110939,
2021-11-08 02:30:00,1486.926647674089,
2021-11-08 03:00:00,1480.5324548644608,
2021-11-08 18:30:00,1480.5324548644608,
2021-11-08 20:00:00,1262.441148931673,
2021-11-08 23:00:00,1244.6401032190784,
2021-11-08 23:59:59,1401.0897977345062,c
2021-11-09 00:00:00,1384.173166963977,
2021-11-09 01:00:00,1320.673530313326,
2021-11-09 02:30:00,1372.753918140364,
2021-11-09 03:00:00,1346.6030157310374,
2021-11-09 18:30:00,1346.6030157310374,
2021-11-09 20:00:00,1293.5951454888614,
2021-11-09 23:00:00,1324.7661321864484,
2021-11-09 23:59:59,1334.8231727923526,c
2021-11-10 00:00:00,1275.3060483491859,
2021-11-10 01:00:00,1296.0866280120567,
2021-11-10 02:30:00,1256.0869339176666,
2021-11-10 03:00:00,1243.0072005830366,
2021-11-10 18:30:00,1243.0072005830366,
2021-11-10 20:00:00,1228.8872164559575,
2021-11-10 23:00:00,1132.056642138365,
2021-11-10 23:59:59,1102.9833155446818,c
2021-11-11 00:00:00,1055.9511795542926,
2021-11-11 01:00:00,1111.2783973030887,
2021-11-11 02:30:00,1104.3308665580576,
2021-11-11 03:00:00,1097.5985581093287,
2021-11-11 18:30:00,1097.5985581093287,
2021-11-11 20:00:00,1055.7221659531615,
2021-11-11 23:00:00,889.3031794819831,
2021-11-11 23:59:59,795.5642655913853,c
2021-11-12 00:00:00,789.0470210222056,
2021-11-12 01:00:00,866.7422048521139,
2021-11-12 02:30:00,833.7444477955246,
2021-11-12 03:00:00,840.3052191714241,
2021-11-12 18:30:00,840.3052191714241,
2021-11-12 20:00:00,840.3052191714241,
2021-11-12 23:00:00,840.3052191714241,
2021-11-12 23:59:59,848.8963965825233,w
2021-11-15 00:00:00,781.6554747136079,
2021-11-15 01:00:00,904.6167246762925,
2021-11-15 02:30:00,891.2045745422997,
2021-11-15 03:00:00,884.7142978952675,
2021-11-15 18:30:00,884.7142978952675,
