date,AS_LIT_2022_Q4,meta
2022-10-03 00:00:00,-330.90103029199395,
2022-10-03 01:00:00,-330.0920485971385,
2022-10-03 02:30:00,-333.06003464698983,
2022-10-03 03:00:00,-333.28527094624474,
2022-10-03 18:30:00,-333.28527094624474,
2022-10-03 20:00:00,-320.6922569608564,
2022-10-03 23:00:00,-318.82674997893855,
2022-10-03 23:59:59,-330.70650966888434,c
2022-10-04 00:00:00,-350.3190378872803,
2022-10-04 01:00:00,-335.6414617864516,
2022-10-04 02:30:00,-335.6414617864516,
2022-10-04 03:00:00,-335.6414617864516,
2022-10-04 18:30:00,-335.6414617864516,
2022-10-04 20:00:00,-362.366735483419,
2022-10-04 23:00:00,-316.0928438367066,
2022-10-04 23:59:59,-288.45220797900083,c
2022-10-05 00:00:00,-279.0050082730313,
2022-10-05 01:00:00,-265.11376456842754,
2022-10-05 02:30:00,-274.2100751585158,
2022-10-05 03:00:00,-273.3137078507484,
2022-10-05 18:30:00,-273.3137078507484,
2022-10-05 20:00:00,-264.07925880434664,
2022-10-05 23:00:00,-335.32957946357874,
2022-10-05 23:59:59,-368.90985630651676,c
2022-10-06 00:00:00,-381.931514212969,
2022-10-06 01:00:00,-373.609285574591,
2022-10-06 02:30:00,-384.1795325743242,
2022-10-06 03:00:00,-385.2960179836334,
2022-10-06 18:30:00,-385.2960179836334,
2022-10-06 20:00:00,-376.08560508175947,
2022-10-06 23:00:00,-427.4456709430965,
2022-10-06 23:59:59,-382.8562828483068,c
2022-10-07 00:00:00,-362.2764080391289,
2022-10-07 01:00:00,-352.3210093088355,
2022-10-07 02:30:00,-363.26579420585153,
2022-10-07 03:00:00,-364.3822831717298,
2022-10-07 18:30:00,-364.3822831717298,
2022-10-07 20:00:00,-364.3822831717298,
2022-10-07 23:00:00,-364.3822831717298,
2022-10-07 23:59:59,-367.61570250422506,w
2022-10-10 00:00:00,-352.36628200551763,
2022-10-10 01:00:00,-340.6897618341859,
2022-10-10 02:30:00,-339.3561286970553,
2022-10-10 03:00:00,-336.91453010623513,
2022-10-10 18:30:00,-336.91453010623513,
2022-10-10 20:00:00,-330.07118694273595,
2022-10-10 23:00:00,-342.24749361848944,
2022-10-10 23:59:59,-351.33826851085496,c
2022-10-11 00:00:00,-330.26448942551247,
2022-10-11 01:00:00,-326.3506152177888,
2022-10-11 02:30:00,-346.5697156220815,
2022-10-11 03:00:00,-345.6866532598767,
2022-10-11 18:30:00,-345.6866532598767,
2022-10-11 20:00:00,-302.6364458814362,
2022-10-11 23:00:00,-301.2198524052171,
2022-10-11 23:59:59,-315.088608646,c
2022-10-12 00:00:00,-283.1628981743015,
2022-10-12 01:00:00,-309.75434164593025,
2022-10-12 02:30:00,-349.9803105985163,
2022-10-12 03:00:00,-351.31520424757036,
2022-10-12 18:30:00,-351.31520424757036,
2022-10-12 20:00:00,-355.1379821534015,
2022-10-12 23:00:00,-246.81839833536355,
2022-10-12 23:59:59,-216.78243663443413,c
2022-10-13 00:00:00,-221.13722800556684,
2022-10-13 01:00:00,-246.623566095632,
2022-10-13 02:30:00,-250.08024326285,
2022-10-13 03:00:00,-250.97921040325286,
2022-10-13 18:30:00,-250.97921040325286,
2022-10-13 20:00:00,-275.8121228781856,
2022-10-13 23:00:00,-265.62353026471897,
2022-10-13 23:59:59,-255.56710903609678,c
2022-10-14 00:00:00,-257.47738818120365,
2022-10-14 01:00:00,-249.0697979819447,
2022-10-14 02:30:00,-254.85862936607714,
2022-10-14 03:00:00,-254.63830181464846,
2022-10-14 18:30:00,-254.63830181464846,
2022-10-14 20:00:00,-254.63830181464846,
2022-10-14 23:00:00,-254.63830181464846,
2022-10-14 23:59:59,-252.12386382850832,w
2022-10-17 00:00:00,-192.83864573225037,
2022-10-17 01:00:00,-220.94743858665424,
2022-10-17 02:30:00,-245.13841486948832,
2022-10-17 03:00:00,-245.5794038021113,
2022-10-17 18:30:00,-245.5794038021113,
2022-10-17 20:00:00,-208.11119686268944,
2022-10-17 23:00:00,-318.28371483218484,
2022-10-17 23:59:59,-300.62335476716044,c
2022-10-18 00:00:00,-319.7846940137831,
2022-10-18 01:00:00,-357.38255383918226,
2022-10-18 02:30:00,-397.2908222108488,
2022-10-18 03:00:00,-397.07294749106927,
2022-10-18 18:30:00,-397.07294749106927,
2022-10-18 20:00:00,-383.9417726715976,
2022-10-18 23:00:00,-442.35082660568673,
2022-10-18 23:59:59,-435.270375382406,c
2022-10-19 00:00:00,-345.08052465205856,
2022-10-19 01:00:00,-361.4477436389743,
2022-10-19 02:30:00,-312.13245748372356,
2022-10-19 03:00:00,-312.5667098126214,
2022-10-19 18:30:00,-312.5667098126214,
2022-10-19 20:00:00,-310.02785920292763,
2022-10-19 23:00:00,-253.17826361777202,
2022-10-19 23:59:59,-236.7528798129522,c
2022-10-20 00:00:00,-243.01446661410841,
2022-10-20 01:00:00,-261.4899555195507,
2022-10-20 02:30:00,-231.0452645914072,
2022-10-20 03:00:00,-230.62000404398214,
2022-10-20 18:30:00,-230.62000404398214,
2022-10-20 20:00:00,-217.08552280390177,
2022-10-20 23:00:00,-192.5825095984851,
2022-10-20 23:59:59,-175.56912142245278,c
2022-10-21 00:00:00,-172.47010682848418,
2022-10-21 01:00:00,-147.31170624181914,
2022-10-21 02:30:00,-161.88211630873093,
2022-10-21 03:00:00,-161.4501429612585,
