date,AS_MSCI_EM_HK_MIG_2022_Q3,meta
2022-06-30 00:00:00,-6906.101633204371,
2022-06-30 01:00:00,-6906.101633204371,
2022-06-30 02:30:00,-7168.884976543121,
2022-06-30 03:00:00,-7197.055353849093,
2022-06-30 18:30:00,-7197.055353849093,
2022-06-30 20:00:00,-7197.055353849093,
2022-06-30 23:00:00,-7197.055353849093,
2022-06-30 23:59:59,-7210.757261812067,c
2022-07-01 00:00:00,-7210.757261812067,
2022-07-01 01:00:00,-7210.757261812067,
2022-07-01 02:30:00,-7210.757261812067,
2022-07-01 03:00:00,-7210.757261812067,
2022-07-01 18:30:00,-7210.757261812067,
2022-07-01 20:00:00,-7210.757261812067,
2022-07-01 23:00:00,-7210.757261812067,
2022-07-01 23:59:59,-7210.757261812067,w
2022-07-04 00:00:00,-6545.197432183029,
2022-07-04 01:00:00,-6545.197432183029,
2022-07-04 02:30:00,-6812.7008114215205,
2022-07-04 03:00:00,-6815.240393767946,
2022-07-04 18:30:00,-6815.240393767946,
2022-07-04 20:00:00,-6815.240393767946,
2022-07-04 23:00:00,-6498.269539979453,
2022-07-04 23:59:59,-6515.791154543732,c
2022-07-05 00:00:00,-6487.860440890168,
2022-07-05 01:00:00,-6487.860440890168,
2022-07-05 02:30:00,-6378.46726358115,
2022-07-05 03:00:00,-6401.518848533308,
2022-07-05 18:30:00,-6401.518848533308,
2022-07-05 20:00:00,-6401.518848533308,
2022-07-05 23:00:00,-6009.602865630959,
2022-07-05 23:59:59,-5982.155576512276,c
2022-07-06 00:00:00,-6004.6720034494465,
2022-07-06 01:00:00,-6004.6720034494465,
2022-07-06 02:30:00,-5702.650700059987,
2022-07-06 03:00:00,-5783.8858561818515,
2022-07-06 18:30:00,-5783.8858561818515,
2022-07-06 20:00:00,-5783.8858561818515,
2022-07-06 23:00:00,-5198.750021660296,
2022-07-06 23:59:59,-5169.920313506891,c
2022-07-07 00:00:00,-5276.35302019397,
2022-07-07 01:00:00,-5276.35302019397,
2022-07-07 02:30:00,-5141.244470351889,
2022-07-07 03:00:00,-5161.23319289191,
2022-07-07 18:30:00,-5161.23319289191,
2022-07-07 20:00:00,-5161.23319289191,
2022-07-07 23:00:00,-5016.454718042405,
2022-07-07 23:59:59,-4997.289500710683,c
2022-07-08 00:00:00,-5102.2495076520645,
2022-07-08 01:00:00,-5102.2495076520645,
2022-07-08 02:30:00,-4879.483193736813,
2022-07-08 03:00:00,-4891.801584266731,
2022-07-08 18:30:00,-4891.801584266731,
2022-07-08 20:00:00,-4891.801584266731,
2022-07-08 23:00:00,-4891.801584266731,
2022-07-08 23:59:59,-4941.706429779039,w
2022-07-11 00:00:00,-4029.7065204396176,
2022-07-11 01:00:00,-4029.7065204396176,
2022-07-11 02:30:00,-3591.4373430223573,
2022-07-11 03:00:00,-3815.47110254108,
2022-07-11 18:30:00,-3815.47110254108,
2022-07-11 20:00:00,-3815.47110254108,
2022-07-11 23:00:00,-3869.038536546816,
2022-07-11 23:59:59,-3835.468121891808,c
2022-07-12 00:00:00,-3887.3730589350707,
2022-07-12 01:00:00,-3887.3730589350707,
2022-07-12 02:30:00,-3879.8720337165496,
2022-07-12 03:00:00,-3921.634442190337,
2022-07-12 18:30:00,-3921.634442190337,
2022-07-12 20:00:00,-3921.634442190337,
2022-07-12 23:00:00,-3382.2355258274156,
2022-07-12 23:59:59,-3428.5445570403863,c
2022-07-13 00:00:00,-3457.1719792416466,
2022-07-13 01:00:00,-3457.1719792416466,
2022-07-13 02:30:00,-3401.506303521864,
2022-07-13 03:00:00,-3469.6278364469995,
2022-07-13 18:30:00,-3469.6278364469995,
2022-07-13 20:00:00,-3469.6278364469995,
2022-07-13 23:00:00,-3161.7993114727733,
2022-07-13 23:59:59,-3223.2701548569503,c
2022-07-14 00:00:00,-3354.8130838851894,
2022-07-14 01:00:00,-3354.8130838851894,
2022-07-14 02:30:00,-3365.946319673008,
2022-07-14 03:00:00,-3365.27923104197,
2022-07-14 18:30:00,-3365.27923104197,
2022-07-14 20:00:00,-3365.27923104197,
2022-07-14 23:00:00,-3125.7894285596226,
2022-07-14 23:59:59,-2983.805565415597,c
2022-07-15 00:00:00,-2860.919460243994,
2022-07-15 01:00:00,-2860.919460243994,
2022-07-15 02:30:00,-2653.146288506537,
2022-07-15 03:00:00,-2653.1462877138624,
2022-07-15 18:30:00,-2653.1462877138624,
2022-07-15 20:00:00,-2653.1462877138624,
2022-07-15 23:00:00,-2653.1462877138624,
2022-07-15 23:59:59,-2501.137329860493,w
2022-07-18 00:00:00,-2960.3890638841685,
2022-07-18 01:00:00,-2960.3890638841685,
2022-07-18 02:30:00,-2880.0871915485604,
2022-07-18 03:00:00,-2860.675374089949,
2022-07-18 18:30:00,-2860.675374089949,
2022-07-18 20:00:00,-2860.675374089949,
2022-07-18 23:00:00,-2469.8601855894694,
2022-07-18 23:59:59,-2483.4725518920113,c
2022-07-19 00:00:00,-2627.343822841122,
2022-07-19 01:00:00,-2627.343822841122,
2022-07-19 02:30:00,-2643.443369483851,
2022-07-19 03:00:00,-2581.4816493444027,
2022-07-19 18:30:00,-2581.4816493444027,
2022-07-19 20:00:00,-2581.4816493444027,
2022-07-19 23:00:00,-2200.4652817368374,
2022-07-19 23:59:59,-2301.5097404959774,c
2022-07-20 00:00:00,-2382.4054496338254,
2022-07-20 01:00:00,-2382.4054496338254,
2022-07-20 02:30:00,-2380.464789770553,
2022-07-20 03:00:00,-2418.8476837609833,
2022-07-20 18:30:00,-2418.8476837609833,
2022-07-20 20:00:00,-2418.8476837609833,
2022-07-20 23:00:00,-2184.05757162889,
2022-07-20 23:59:59,-2119.8036198176837,c
2022-07-21 00:00:00,-2137.8142463183644,
2022-07-21 01:00:00,-2137.8142463183644,
2022-07-21 02:30:00,-1944.7231619460476,
2022-07-21 03:00:00,-1884.8330769652418,
2022-07-21 18:30:00,-1884.8330769652418,
2022-07-21 20:00:00,-1884.8330769652418,
2022-07-21 23:00:00,-1723.7176754941474,
2022-07-21 23:59:59,-1649.259542431459,c
2022-07-22 00:00:00,-1763.7778404888936,
2022-07-22 01:00:00,-1763.7778404888936,
2022-07-22 02:30:00,-1646.237323425263,
2022-07-22 03:00:00,-1682.6944673324363,
2022-07-22 18:30:00,-1682.6944673324363,
2022-07-22 20:00:00,-1682.6944673324363,
2022-07-22 23:00:00,-1682.6944673324363,
2022-07-22 23:59:59,-1666.237121341073,w
2022-07-25 00:00:00,-2001.5752291181757,
2022-07-25 01:00:00,-2001.5752291181757,
2022-07-25 02:30:00,-1932.2680216664505,
2022-07-25 03:00:00,-1965.215364419312,
2022-07-25 18:30:00,-1965.215364419312,
2022-07-25 20:00:00,-1965.215364419312,
2022-07-25 23:00:00,-2153.3938202284953,
2022-07-25 23:59:59,-2275.6676189118584,c
2022-07-26 00:00:00,-2249.5007124913523,
2022-07-26 01:00:00,-2249.5007124913523,
2022-07-26 02:30:00,-2239.608921673243,
2022-07-26 03:00:00,-2362.037479847597,
2022-07-26 18:30:00,-2362.037479847597,
2022-07-26 20:00:00,-2362.037479847597,
2022-07-26 23:00:00,-2154.3760615293945,
2022-07-26 23:59:59,-1869.5581920711184,c
2022-07-27 00:00:00,-1816.1683839708658,
2022-07-27 01:00:00,-1816.1683839708658,
2022-07-27 02:30:00,-1853.0813945102282,
2022-07-27 03:00:00,-1851.261334927844,
2022-07-27 18:30:00,-1851.261334927844,
2022-07-27 20:00:00,-1851.261334927844,
2022-07-27 23:00:00,-1645.1408073245786,
2022-07-27 23:59:59,-1603.185142661979,c
2022-07-28 00:00:00,-1620.785869803804,
2022-07-28 01:00:00,-1620.785869803804,
2022-07-28 02:30:00,-2019.8050817309584,
2022-07-28 03:00:00,-2038.2168383152662,
2022-07-28 18:30:00,-2038.2168383152662,
2022-07-28 20:00:00,-2038.2168383152662,
2022-07-28 23:00:00,-1668.907903071563,
2022-07-28 23:59:59,-1696.9914207305335,c
2022-07-29 00:00:00,-1705.1305935545224,
2022-07-29 01:00:00,-1705.1305935545224,
2022-07-29 02:30:00,-1791.7529170330463,
2022-07-29 03:00:00,-1743.3312416607555,
2022-07-29 18:30:00,-1743.3312416607555,
2022-07-29 20:00:00,-1743.3312416607555,
2022-07-29 23:00:00,-1743.3312416607555,
2022-07-29 23:59:59,-1675.0864315965555,w
2022-08-01 00:00:00,-910.2025303363289,
2022-08-01 01:00:00,-910.2025303363289,
2022-08-01 02:30:00,-995.6420166521666,
2022-08-01 03:00:00,-1019.0421265892119,
2022-08-01 18:30:00,-1019.0421265892119,
2022-08-01 20:00:00,-1019.0421265892119,
2022-08-01 23:00:00,-1025.0779137848442,
2022-08-01 23:59:59,-1058.1346739610055,c
2022-08-02 00:00:00,-1002.4332832261546,
2022-08-02 01:00:00,-1002.4332832261546,
2022-08-02 02:30:00,-1303.638710785295,
2022-08-02 03:00:00,-1177.7872775246876,
2022-08-02 18:30:00,-1177.7872775246876,
2022-08-02 20:00:00,-1177.7872775246876,
2022-08-02 23:00:00,-790.162561763155,
2022-08-02 23:59:59,-765.1636695779171,c
2022-08-03 00:00:00,-766.0807517394019,
2022-08-03 01:00:00,-766.0807517394019,
2022-08-03 02:30:00,-794.843830422775,
2022-08-03 03:00:00,-762.3120073394477,
2022-08-03 18:30:00,-762.3120073394477,
2022-08-03 20:00:00,-762.3120073394477,
2022-08-03 23:00:00,-733.9843601694856,
2022-08-03 23:59:59,-728.3430419438332,c
2022-08-04 00:00:00,-723.1798794396111,
2022-08-04 01:00:00,-723.1798794396111,
2022-08-04 02:30:00,-661.0335773336107,
2022-08-04 03:00:00,-679.687081263922,
2022-08-04 18:30:00,-679.687081263922,
2022-08-04 20:00:00,-679.687081263922,
2022-08-04 23:00:00,-1002.7737259742078,
2022-08-04 23:59:59,-923.3569621181844,c
2022-08-05 00:00:00,-971.2636793911099,
2022-08-05 01:00:00,-971.2636793911099,
2022-08-05 02:30:00,-1063.493630664291,
2022-08-05 03:00:00,-1008.1498484354424,
2022-08-05 18:30:00,-1008.1498484354424,
2022-08-05 20:00:00,-1008.1498484354424,
2022-08-05 23:00:00,-1008.1498484354424,
2022-08-05 23:59:59,-1090.0629924224136,w
2022-08-08 00:00:00,-828.1827197973716,
2022-08-08 01:00:00,-828.1827197973716,
2022-08-08 02:30:00,-757.8990603283987,
2022-08-08 03:00:00,-746.1782986828991,
2022-08-08 18:30:00,-746.1782986828991,
2022-08-08 20:00:00,-746.1782986828991,
2022-08-08 23:00:00,-568.6955069724638,
2022-08-08 23:59:59,-763.8387842665898,c
2022-08-09 00:00:00,-858.1320553103615,
2022-08-09 01:00:00,-858.1320553103615,
2022-08-09 02:30:00,-751.3223921720873,
2022-08-09 03:00:00,-822.1315421722622,
