date,AS_MSCI_EM_HK_SC_2023_Q1,meta
2022-12-29 00:00:00,-730.255055343912,
2022-12-29 01:00:00,-739.8398822611224,
2022-12-29 02:30:00,-720.3245079466499,
2022-12-29 03:00:00,-740.6705082910241,
2022-12-29 18:30:00,-740.6705082910241,
2022-12-29 20:00:00,-740.6705082910241,
2022-12-29 23:00:00,-720.0027249998243,
2022-12-29 23:59:59,-720.0688869459443,c
2022-12-30 00:00:00,-725.1636643189154,
2022-12-30 01:00:00,-721.7134429703001,
2022-12-30 02:30:00,-721.461433396058,
2022-12-30 03:00:00,-735.2875264839097,
2022-12-30 18:30:00,-735.2875264839097,
2022-12-30 20:00:00,-735.2875264839097,
2022-12-30 23:00:00,-735.2875264839097,
2022-12-30 23:59:59,-735.2829244262948,w
2023-01-02 00:00:00,-735.2829244262948,
2023-01-02 01:00:00,-735.2829244262948,
2023-01-02 02:30:00,-735.2829244262948,
2023-01-02 03:00:00,-735.2829244262948,
2023-01-02 18:30:00,-735.2829244262948,
2023-01-02 20:00:00,-735.2829244262948,
2023-01-02 23:00:00,-659.8386518565811,
2023-01-02 23:59:59,-659.8386518565811,c
2023-01-03 00:00:00,-662.2152742160133,
2023-01-03 01:00:00,-711.749941792257,
2023-01-03 02:30:00,-655.9664770017006,
2023-01-03 03:00:00,-668.0855065050442,
2023-01-03 18:30:00,-668.0855065050442,
2023-01-03 20:00:00,-668.0855065050442,
2023-01-03 23:00:00,-664.3836994030645,
2023-01-03 23:59:59,-664.4464107305221,c
2023-01-04 00:00:00,-677.7668535640078,
2023-01-04 01:00:00,-711.5715325329196,
2023-01-04 02:30:00,-741.2458858708112,
2023-01-04 03:00:00,-737.732323086288,
2023-01-04 18:30:00,-737.732323086288,
2023-01-04 20:00:00,-737.732323086288,
2023-01-04 23:00:00,-789.6123765880313,
2023-01-04 23:59:59,-789.860976772151,c
2023-01-05 00:00:00,-829.4595330527359,
2023-01-05 01:00:00,-829.4054162683617,
2023-01-05 02:30:00,-833.6544953743523,
2023-01-05 03:00:00,-861.266198421685,
2023-01-05 18:30:00,-861.266198421685,
2023-01-05 20:00:00,-861.266198421685,
2023-01-05 23:00:00,-705.4750131878737,
2023-01-05 23:59:59,-705.319269943544,c
2023-01-06 00:00:00,-709.360326111343,
2023-01-06 01:00:00,-766.8438505856614,
2023-01-06 02:30:00,-764.5892996361013,
2023-01-06 03:00:00,-755.5675802927117,
2023-01-06 18:30:00,-755.5675802927117,
2023-01-06 20:00:00,-755.5675802927117,
2023-01-06 23:00:00,-755.5675802927117,
2023-01-06 23:59:59,-755.6209967075846,w
2023-01-09 00:00:00,-773.8756086984632,
2023-01-09 01:00:00,-762.3712986242381,
2023-01-09 02:30:00,-715.2349544969319,
2023-01-09 03:00:00,-684.5521041059645,
2023-01-09 18:30:00,-684.5521041059645,
2023-01-09 20:00:00,-684.5521041059645,
2023-01-09 23:00:00,-574.2481232887092,
2023-01-09 23:59:59,-574.2265754385859,c
2023-01-10 00:00:00,-556.0854123713304,
2023-01-10 01:00:00,-562.3291227883337,
2023-01-10 02:30:00,-505.37479969210244,
2023-01-10 03:00:00,-502.44419878050167,
