date,AS_MSCI_MINVOL_2022_Q2,meta
2022-04-14 00:00:00,-324.3586297558626,
2022-04-14 01:00:00,-324.87267665529316,
2022-04-14 02:30:00,-321.3384715398689,
2022-04-14 03:00:00,-320.65609231400015,
2022-04-14 18:30:00,-320.65609231400015,
2022-04-14 20:00:00,-320.65609231400015,
2022-04-14 23:00:00,-314.0205938744426,
2022-04-14 23:59:59,-313.4388643480347,c
2022-04-15 00:00:00,-301.1773705844706,
2022-04-15 01:00:00,-297.8268420475141,
2022-04-15 02:30:00,-297.8268420475141,
2022-04-15 03:00:00,-297.8268420475141,
2022-04-15 18:30:00,-297.8268420475141,
2022-04-15 20:00:00,-297.8268420475141,
2022-04-15 23:00:00,-297.8268420475141,
2022-04-15 23:59:59,-297.34031400875233,w
2022-04-18 00:00:00,-276.02438411614,
2022-04-18 01:00:00,-272.9716620495019,
2022-04-18 02:30:00,-272.0679544893163,
2022-04-18 03:00:00,-272.36984633108216,
2022-04-18 18:30:00,-272.14849938089515,
2022-04-18 20:00:00,-272.1379539578129,
2022-04-18 23:00:00,-253.3767170604715,
2022-04-18 23:59:59,-244.90929975406834,c
2022-04-19 00:00:00,-243.78707208067635,
2022-04-19 01:00:00,-242.14664489927304,
2022-04-19 02:30:00,-231.45845739949527,
2022-04-19 03:00:00,-231.58034922777074,
2022-04-19 18:30:00,-230.0274838406308,
2022-04-19 20:00:00,-229.45398954421694,
2022-04-19 23:00:00,-222.21536184591537,
2022-04-19 23:59:59,-229.3404606984327,c
2022-04-20 00:00:00,-238.3968040799557,
2022-04-20 01:00:00,-240.24926391409122,
2022-04-20 02:30:00,-229.1009572034552,
2022-04-20 03:00:00,-228.7421548245029,
2022-04-20 18:30:00,-232.03235278552893,
2022-04-20 20:00:00,-231.7227085870527,
2022-04-20 23:00:00,-255.80673670870442,
2022-04-20 23:59:59,-256.54487089691634,c
2022-04-21 00:00:00,-246.71997803112572,
2022-04-21 01:00:00,-247.86364072998572,
2022-04-21 02:30:00,-238.50221077480614,
2022-04-21 03:00:00,-239.14982130224348,
2022-04-21 18:30:00,-242.61440303070344,
2022-04-21 20:00:00,-242.49634860928904,
2022-04-21 23:00:00,-237.21229152640512,
2022-04-21 23:59:59,-234.73664614666063,c
2022-04-22 00:00:00,-227.50268575048358,
2022-04-22 01:00:00,-228.21022027659956,
2022-04-22 02:30:00,-231.71433030340108,
2022-04-22 03:00:00,-229.53322382941224,
2022-04-22 18:30:00,-229.53322382941224,
2022-04-22 20:00:00,-229.53322382941224,
2022-04-22 23:00:00,-229.53322382941224,
2022-04-22 23:59:59,-233.10137602772966,w
2022-04-25 00:00:00,-226.67728959206102,
2022-04-25 01:00:00,-233.69928257050674,
2022-04-25 02:30:00,-223.87116011713806,
2022-04-25 03:00:00,-219.69303726887188,
2022-04-25 18:30:00,-226.0159896328737,
2022-04-25 20:00:00,-225.56552856335065,
2022-04-25 23:00:00,-243.6166277351981,
2022-04-25 23:59:59,-235.36764878645,c
2022-04-26 00:00:00,-253.5371443467543,
2022-04-26 01:00:00,-248.6778816001181,
2022-04-26 02:30:00,-245.73842116448895,
2022-04-26 03:00:00,-245.70120859307394,
2022-04-26 18:30:00,-241.1138021626773,
2022-04-26 20:00:00,-241.09723004710509,
2022-04-26 23:00:00,-227.18475850949767,
2022-04-26 23:59:59,-255.84358108005404,c
2022-04-27 00:00:00,-246.17970039128204,
2022-04-27 01:00:00,-249.55992479165207,
2022-04-27 02:30:00,-245.5477201192632,
2022-04-27 03:00:00,-239.33718531691397,
2022-04-27 18:30:00,-241.797143204574,
2022-04-27 20:00:00,-241.6427591917959,
2022-04-27 23:00:00,-192.1239810662305,
2022-04-27 23:59:59,-191.78026642176383,c
2022-04-28 00:00:00,-193.23171123416228,
2022-04-28 01:00:00,-189.60601388021337,
2022-04-28 02:30:00,-176.01297958863506,
2022-04-28 03:00:00,-178.7335982684815,
2022-04-28 18:30:00,-182.15481570028237,
2022-04-28 20:00:00,-182.28088169922103,
2022-04-28 23:00:00,-187.57033036777875,
2022-04-28 23:59:59,-207.77862731590812,c
2022-04-29 00:00:00,-203.22571532687084,
2022-04-29 01:00:00,-201.2946219640496,
2022-04-29 02:30:00,-214.57813924196694,
2022-04-29 03:00:00,-205.63662567995812,
2022-04-29 18:30:00,-205.63662567995812,
2022-04-29 20:00:00,-205.63662567995812,
2022-04-29 23:00:00,-205.63662567995812,
2022-04-29 23:59:59,-220.72525782193998,w
2022-05-02 00:00:00,-176.84680603679612,
2022-05-02 01:00:00,-179.82265979473914,
2022-05-02 02:30:00,-179.82265979473914,
2022-05-02 03:00:00,-179.82265979473914,
2022-05-02 18:30:00,-167.91556581912982,
2022-05-02 20:00:00,-167.83159537109896,
2022-05-02 23:00:00,-176.28195822169346,
2022-05-02 23:59:59,-164.80468095826495,c
2022-05-03 00:00:00,-152.6607947014379,
2022-05-03 01:00:00,-152.724586123858,
2022-05-03 02:30:00,-151.3251419682024,
2022-05-03 03:00:00,-149.73790253541574,
2022-05-03 18:30:00,-144.49091555603127,
2022-05-03 20:00:00,-144.53921500341676,
2022-05-03 23:00:00,-144.93388148310373,
2022-05-03 23:59:59,-149.42650910702332,c
2022-05-04 00:00:00,-141.64635560627926,
2022-05-04 01:00:00,-140.72815791911512,
2022-05-04 02:30:00,-140.43504628390633,
2022-05-04 03:00:00,-139.9013160920706,
2022-05-04 18:30:00,-139.9388611257359,
2022-05-04 20:00:00,-139.80826499573664,
