date,AS_PT731943_2022_Q2,meta
2022-04-14 00:00:00,-247.87630454135837,
2022-04-14 01:00:00,-242.47880474696234,
2022-04-14 02:30:00,-242.47880474696234,
2022-04-14 03:00:00,-242.47880474696234,
2022-04-14 18:30:00,-242.47880474696234,
2022-04-14 20:00:00,-242.47880474696234,
2022-04-14 23:00:00,-204.36085811303087,
2022-04-14 23:59:59,-218.49485672431382,c
2022-04-15 00:00:00,-208.5672257763485,
2022-04-15 01:00:00,-218.59661598546415,
2022-04-15 02:30:00,-218.59661598546415,
2022-04-15 03:00:00,-218.59661598546415,
2022-04-15 18:30:00,-218.59661598546415,
2022-04-15 20:00:00,-218.59661598546415,
2022-04-15 23:00:00,-218.59661598546415,
2022-04-15 23:59:59,-214.12383760654973,w
2022-04-18 00:00:00,-204.1649046194684,
2022-04-18 01:00:00,-221.01641546167014,
2022-04-18 02:30:00,-221.01641546167014,
2022-04-18 03:00:00,-221.01641546167014,
2022-04-18 18:30:00,-221.01641546167014,
2022-04-18 20:00:00,-221.01641546167014,
2022-04-18 23:00:00,-125.86612101267718,
2022-04-18 23:59:59,-123.67308363172594,c
2022-04-19 00:00:00,-118.13731263822578,
2022-04-19 01:00:00,-123.56799291297193,
2022-04-19 02:30:00,-123.56799291297193,
2022-04-19 03:00:00,-123.56799291297193,
2022-04-19 18:30:00,-123.56799291297193,
2022-04-19 20:00:00,-123.56799291297193,
2022-04-19 23:00:00,-128.2633749194261,
2022-04-19 23:59:59,-141.92705858122306,c
2022-04-20 00:00:00,-118.64899539057635,
2022-04-20 01:00:00,-119.42942106331873,
2022-04-20 02:30:00,-119.42942106331873,
2022-04-20 03:00:00,-119.42942106331873,
2022-04-20 18:30:00,-119.42942106331873,
2022-04-20 20:00:00,-119.42942106331873,
2022-04-20 23:00:00,-104.57251837476647,
2022-04-20 23:59:59,-126.96822525188227,c
2022-04-21 00:00:00,-115.07552691653254,
2022-04-21 01:00:00,-99.6833277401665,
2022-04-21 02:30:00,-99.6833277401665,
2022-04-21 03:00:00,-99.6833277401665,
2022-04-21 18:30:00,-99.6833277401665,
2022-04-21 20:00:00,-99.6833277401665,
2022-04-21 23:00:00,-71.47111994401078,
2022-04-21 23:59:59,-89.63559708328842,c
2022-04-22 00:00:00,-85.30341905602846,
2022-04-22 01:00:00,-111.14829145767317,
2022-04-22 02:30:00,-111.14829145767317,
2022-04-22 03:00:00,-111.14829145767317,
2022-04-22 18:30:00,-111.14829145767317,
2022-04-22 20:00:00,-111.14829145767317,
2022-04-22 23:00:00,-111.14829145767317,
2022-04-22 23:59:59,-89.4660365233055,w
2022-04-25 00:00:00,-139.21281725494853,
2022-04-25 01:00:00,-150.88465460290263,
2022-04-25 02:30:00,-150.88465460290263,
2022-04-25 03:00:00,-150.88465460290263,
2022-04-25 18:30:00,-150.88465460290263,
2022-04-25 20:00:00,-150.88465460290263,
2022-04-25 23:00:00,-167.4332934325807,
2022-04-25 23:59:59,-141.76662342706828,c
2022-04-26 00:00:00,-129.83672291569712,
2022-04-26 01:00:00,-115.54388756708363,
2022-04-26 02:30:00,-115.54388756708363,
2022-04-26 03:00:00,-115.54388756708363,
2022-04-26 18:30:00,-115.54388756708363,
2022-04-26 20:00:00,-115.54388756708363,
2022-04-26 23:00:00,-96.21537620587466,
2022-04-26 23:59:59,-92.67704165012364,c
2022-04-27 00:00:00,-109.00928701678433,
2022-04-27 01:00:00,-113.80399520598928,
2022-04-27 02:30:00,-113.80399520598928,
2022-04-27 03:00:00,-113.80399520598928,
2022-04-27 18:30:00,-113.80399520598928,
2022-04-27 20:00:00,-113.80399520598928,
2022-04-27 23:00:00,-148.5791290447454,
2022-04-27 23:59:59,-145.6419519154735,c
2022-04-28 00:00:00,-142.29443189470723,
2022-04-28 01:00:00,-105.93073839535444,
2022-04-28 02:30:00,-105.93073839535444,
2022-04-28 03:00:00,-105.93073839535444,
2022-04-28 18:30:00,-105.93073839535444,
2022-04-28 20:00:00,-105.93073839535444,
2022-04-28 23:00:00,-85.2963693899256,
2022-04-28 23:59:59,-92.06391772251828,c
2022-04-29 00:00:00,-81.35912827373659,
2022-04-29 01:00:00,-84.64425817412643,
2022-04-29 02:30:00,-84.64425817412643,
2022-04-29 03:00:00,-84.64425817412643,
2022-04-29 18:30:00,-84.64425817412643,
2022-04-29 20:00:00,-84.64425817412643,
2022-04-29 23:00:00,-84.64425817412643,
2022-04-29 23:59:59,-138.53783338375902,w
2022-05-02 00:00:00,-138.53783338375902,
2022-05-02 01:00:00,-138.53783338375902,
2022-05-02 02:30:00,-138.53783338375902,
2022-05-02 03:00:00,-138.53783338375902,
2022-05-02 18:30:00,-138.53783338375902,
2022-05-02 20:00:00,-138.53783338375902,
2022-05-02 23:00:00,-176.86570680362976,
2022-05-02 23:59:59,-176.86570680362976,c
2022-05-03 00:00:00,-182.3268416642566,
2022-05-03 01:00:00,-190.5038017544598,
2022-05-03 02:30:00,-190.5038017544598,
2022-05-03 03:00:00,-190.5038017544598,
2022-05-03 18:30:00,-190.5038017544598,
2022-05-03 20:00:00,-190.5038017544598,
2022-05-03 23:00:00,-192.156612656468,
2022-05-03 23:59:59,-195.24901593066193,c
2022-05-04 00:00:00,-196.0332996091536,
2022-05-04 01:00:00,-214.19806271401703,
2022-05-04 02:30:00,-214.19806271401703,
2022-05-04 03:00:00,-214.19806271401703,
2022-05-04 18:30:00,-214.19806271401703,
2022-05-04 20:00:00,-214.19806271401703,
2022-05-04 23:00:00,-196.73994790396668,
2022-05-04 23:59:59,-200.4600261425122,c
2022-05-05 00:00:00,-189.41716190361208,
2022-05-05 01:00:00,-200.37054832453765,
2022-05-05 02:30:00,-200.37054832453765,
2022-05-05 03:00:00,-200.37054832453765,
2022-05-05 18:30:00,-200.37054832453765,
2022-05-05 20:00:00,-200.37054832453765,
2022-05-05 23:00:00,-202.81397155995631,
2022-05-05 23:59:59,-210.94776917784162,c
2022-05-06 00:00:00,-204.81937947912206,
2022-05-06 01:00:00,-208.3125140588103,
2022-05-06 02:30:00,-208.3125140588103,
2022-05-06 03:00:00,-208.3125140588103,
2022-05-06 18:30:00,-208.3125140588103,
2022-05-06 20:00:00,-208.3125140588103,
2022-05-06 23:00:00,-208.3125140588103,
2022-05-06 23:59:59,-192.22118964864885,w
2022-05-09 00:00:00,-193.31997878360937,
2022-05-09 01:00:00,-205.76494979233547,
2022-05-09 02:30:00,-205.76494979233547,
