date,AS_SDGPEX_2022_Q1,meta
2022-02-18 00:00:00,-307.89990541858197,
2022-02-18 01:00:00,-284.72929801247665,
2022-02-18 02:30:00,-260.7733407363212,
2022-02-18 03:00:00,-260.20417562231853,
2022-02-18 18:30:00,-260.20417562231853,
2022-02-18 20:00:00,-260.20417562231853,
2022-02-18 23:00:00,-260.20417562231853,
2022-02-18 23:59:59,-264.45257244234153,w
2022-02-21 00:00:00,-269.664241364761,
2022-02-21 01:00:00,-266.3122134701604,
2022-02-21 02:30:00,-257.4323962085615,
2022-02-21 03:00:00,-263.03557307097594,
2022-02-21 18:30:00,-277.680575465719,
2022-02-21 20:00:00,-265.73184223286296,
2022-02-21 23:00:00,-270.5435533873957,
2022-02-21 23:59:59,-286.1286695648995,c
2022-02-22 00:00:00,-274.50401580048526,
2022-02-22 01:00:00,-284.93246588913917,
2022-02-22 02:30:00,-286.2880570036268,
2022-02-22 03:00:00,-293.97858428763993,
2022-02-22 18:30:00,-285.8176376376596,
2022-02-22 20:00:00,-273.99135813477164,
2022-02-22 23:00:00,-292.97129407853606,
2022-02-22 23:59:59,-295.29046867392503,c
2022-02-23 00:00:00,-297.71627351772156,
2022-02-23 01:00:00,-294.4420120818005,
2022-02-23 02:30:00,-286.20329253194257,
2022-02-23 03:00:00,-289.7397866204801,
2022-02-23 18:30:00,-290.51319365530594,
2022-02-23 20:00:00,-274.3161657120528,
2022-02-23 23:00:00,-276.6744376985466,
2022-02-23 23:59:59,-281.825540193816,c
2022-02-24 00:00:00,-276.4834528335987,
2022-02-24 01:00:00,-272.0519965316638,
2022-02-24 02:30:00,-268.9019445285601,
2022-02-24 03:00:00,-266.78136809223656,
2022-02-24 18:30:00,-274.8031328150072,
2022-02-24 20:00:00,-271.6835388595007,
2022-02-24 23:00:00,-276.2610681976829,
2022-02-24 23:59:59,-279.91273447325455,c
2022-02-25 00:00:00,-293.8323838735839,
2022-02-25 01:00:00,-294.13248590269734,
2022-02-25 02:30:00,-293.8277424226603,
2022-02-25 03:00:00,-293.77939188034634,
2022-02-25 18:30:00,-293.77939188034634,
2022-02-25 20:00:00,-293.77939188034634,
2022-02-25 23:00:00,-293.77939188034634,
2022-02-25 23:59:59,-299.87045694458243,w
2022-02-28 00:00:00,-236.7018798414883,
2022-02-28 01:00:00,-268.0879595181733,
2022-02-28 02:30:00,-265.9425664558894,
2022-02-28 03:00:00,-270.57762142600075,
2022-02-28 18:30:00,-277.92485150510606,
2022-02-28 20:00:00,-261.60826038688583,
2022-02-28 23:00:00,-279.4620961695566,
2022-02-28 23:59:59,-277.4117178861818,c
2022-03-01 00:00:00,-257.3728007501261,
2022-03-01 01:00:00,-258.36735044361376,
2022-03-01 02:30:00,-260.6098890722459,
2022-03-01 03:00:00,-262.4074129378829,
2022-03-01 18:30:00,-261.1065155451357,
2022-03-01 20:00:00,-233.90454290803163,
