date,AS_URA_2022_Q1,meta
2022-01-10 00:00:00,-399.70904889600615,
2022-01-10 01:00:00,-381.1358639094442,
2022-01-10 02:30:00,-381.21947976272486,
2022-01-10 03:00:00,-383.2499524904324,
2022-01-10 18:30:00,-493.4636295906655,
2022-01-10 20:00:00,-396.0224740379226,
2022-01-10 23:00:00,-424.64630618195906,
2022-01-10 23:59:59,-389.1802592964427,c
2022-01-11 00:00:00,-367.9597554648176,
2022-01-11 01:00:00,-352.2582703527373,
2022-01-11 02:30:00,-347.78121845150554,
2022-01-11 03:00:00,-353.68459156280096,
2022-01-11 18:30:00,-345.00462829154094,
2022-01-11 20:00:00,-358.1417699533954,
2022-01-11 23:00:00,-275.5603308583345,
2022-01-11 23:59:59,-296.8695821141073,c
2022-01-12 00:00:00,-305.5113491055149,
2022-01-12 01:00:00,-306.21366068770385,
2022-01-12 02:30:00,-291.4716481618252,
2022-01-12 03:00:00,-292.43889252389863,
2022-01-12 18:30:00,-260.2607189387809,
2022-01-12 20:00:00,-207.90411182310845,
2022-01-12 23:00:00,-173.80295654943757,
2022-01-12 23:59:59,-154.92517387054932,c
2022-01-13 00:00:00,-183.26734026544682,
2022-01-13 01:00:00,-190.65373459571538,
2022-01-13 02:30:00,-179.87646833885856,
2022-01-13 03:00:00,-183.22231795185007,
2022-01-13 18:30:00,-125.2490048565628,
2022-01-13 20:00:00,-267.5553818139215,
2022-01-13 23:00:00,-278.24659910705486,
2022-01-13 23:59:59,-258.6003277563573,c
2022-01-14 00:00:00,-209.43636075198583,
2022-01-14 01:00:00,-215.39413331535025,
2022-01-14 02:30:00,-211.205615603943,
2022-01-14 03:00:00,-210.67864337104584,
2022-01-14 18:30:00,-210.67864337104584,
2022-01-14 20:00:00,-210.67864337104584,
2022-01-14 23:00:00,-210.67864337104584,
2022-01-14 23:59:59,-216.71987860739182,w
2022-01-17 00:00:00,-138.84194116723302,
2022-01-17 01:00:00,-139.92505866513875,
2022-01-17 02:30:00,-131.56468535025942,
2022-01-17 03:00:00,-130.283442186299,
2022-01-17 18:30:00,-155.1048250125873,
2022-01-17 20:00:00,-304.81187285243004,
2022-01-17 23:00:00,-432.7674982262274,
2022-01-17 23:59:59,-471.00339591268107,c
2022-01-18 00:00:00,-484.4900364502312,
2022-01-18 01:00:00,-484.92943924216434,
2022-01-18 02:30:00,-484.68862468786233,
2022-01-18 03:00:00,-483.39377501808485,
2022-01-18 18:30:00,-485.66754364348003,
2022-01-18 20:00:00,-381.55865701580115,
2022-01-18 23:00:00,-436.80998721949754,
2022-01-18 23:59:59,-405.5457182814248,c
2022-01-19 00:00:00,-423.8446338746494,
2022-01-19 01:00:00,-420.493613059924,
2022-01-19 02:30:00,-404.5281644646784,
2022-01-19 03:00:00,-410.9774799145571,
2022-01-19 18:30:00,-359.20143805895214,
2022-01-19 20:00:00,-410.2403442168429,
2022-01-19 23:00:00,-426.31235368924854,
2022-01-19 23:59:59,-430.52690458773804,c
2022-01-20 00:00:00,-425.4967708897948,
2022-01-20 01:00:00,-439.0936937554811,
2022-01-20 02:30:00,-422.1893908280822,
2022-01-20 03:00:00,-421.6752110214902,
2022-01-20 18:30:00,-332.47546146084505,
2022-01-20 20:00:00,-131.3042240159325,
2022-01-20 23:00:00,-119.1546644692321,
2022-01-20 23:59:59,-118.59372019229295,c
2022-01-21 00:00:00,-99.37468374593527,
2022-01-21 01:00:00,-69.69992951753966,
2022-01-21 02:30:00,-74.44023456025252,
2022-01-21 03:00:00,-75.19450263627914,
2022-01-21 18:30:00,-75.19450263627914,
2022-01-21 20:00:00,-75.19450263627914,
2022-01-21 23:00:00,-75.19450263627914,
2022-01-21 23:59:59,-85.5864933089174,w
2022-01-24 00:00:00,-113.08299795182256,
2022-01-24 01:00:00,-122.94788221504041,
2022-01-24 02:30:00,-117.94676566791986,
2022-01-24 03:00:00,-118.69758661603282,
2022-01-24 18:30:00,-152.60480610597006,
2022-01-24 20:00:00,-85.92286679887638,
2022-01-24 23:00:00,-30.8797516030113,
2022-01-24 23:59:59,0.0,a
2022-01-25 00:00:00,6.432288188832899,
2022-01-25 01:00:00,31.676545029769386,
