date,CRSP_AD_HEDGED_2021_Q4,meta
2021-10-22 00:00:00,-209.0067493413846,
2021-10-22 10:00:00,-213.7815290246783,
2021-10-22 10:30:00,-207.62665496002447,
2021-10-22 12:00:00,-198.60470744420692,
2021-10-22 13:30:00,-190.68724579072295,
2021-10-22 15:00:00,-197.06377915270494,
2021-10-22 15:30:30,-197.06377915270494,
2021-10-22 23:59:59,-189.3139482039467,w
2021-10-25 00:00:00,-177.8733479931396,
2021-10-25 10:00:00,-227.946322298623,
2021-10-25 10:30:00,-193.55006196638027,
2021-10-25 12:00:00,-201.35596552070592,
2021-10-25 13:30:00,-201.56769861203196,
2021-10-25 15:00:00,-190.85483006717664,
2021-10-25 15:30:30,-190.85483006717664,
2021-10-25 23:59:59,-183.47283842681423,c
2021-10-26 00:00:00,-176.63193243010562,
2021-10-26 10:00:00,-160.81322826914857,
2021-10-26 10:30:00,-154.24068102502116,
2021-10-26 12:00:00,-140.05275250729238,
2021-10-26 13:30:00,-143.89433466940943,
2021-10-26 15:00:00,-151.21791983511542,
2021-10-26 15:30:30,-151.21791983511542,
2021-10-26 23:59:59,-142.04215525629144,c
2021-10-27 00:00:00,-118.87164211921998,
2021-10-27 10:00:00,-136.47833793422964,
2021-10-27 10:30:00,-130.28652231216194,
2021-10-27 12:00:00,-131.44359973981182,
2021-10-27 13:30:00,-108.48422371352663,
2021-10-27 15:00:00,-82.96357169672936,
2021-10-27 15:30:30,-82.96357169672936,
2021-10-27 23:59:59,-82.39533418522849,c
2021-10-28 00:00:00,-97.15999221526633,
2021-10-28 10:00:00,-104.92796177925214,
2021-10-28 10:30:00,-97.31330354427466,
2021-10-28 12:00:00,-93.46433706735621,
2021-10-28 13:30:00,-93.1224081599264,
2021-10-28 15:00:00,-93.02204945650904,
2021-10-28 15:30:30,-93.02204945650904,
2021-10-28 23:59:59,-98.94442472330297,c
2021-10-29 00:00:00,-90.43666716358567,
2021-10-29 10:00:00,-85.41917483942579,
2021-10-29 10:30:00,-77.33411295413853,
2021-10-29 12:00:00,-98.86935511283356,
2021-10-29 13:30:00,-94.52871231660748,
2021-10-29 15:00:00,-107.92549057540563,
2021-10-29 15:30:30,-107.92549057540563,
2021-10-29 23:59:59,-108.1813615491461,w
2021-11-01 00:00:00,-113.58061011684295,
2021-11-01 10:00:00,-109.33884356800283,
2021-11-01 10:30:00,-119.0033223916965,
2021-11-01 12:00:00,-148.5418327377527,
2021-11-01 13:30:00,-156.7024383154293,
2021-11-01 15:00:00,-160.97354421094266,
2021-11-01 15:30:30,-160.97354421094266,
2021-11-01 23:59:59,-165.07859445484087,c
2021-11-02 00:00:00,-137.61083559871193,
2021-11-02 10:00:00,-166.08077645803797,
2021-11-02 10:30:00,-142.66849010086767,
2021-11-02 12:00:00,-130.47765407625047,
2021-11-02 13:30:00,-146.28248031086616,
2021-11-02 15:00:00,-143.4591706688463,
2021-11-02 15:30:30,-143.4591706688463,
2021-11-02 23:59:59,-152.3528752125065,c
2021-11-03 00:00:00,-136.54777575713337,
2021-11-03 10:00:00,-161.3243579322454,
2021-11-03 10:30:00,-150.33315295185784,
2021-11-03 12:00:00,-131.16363532932442,
2021-11-03 13:30:00,-143.20135770021216,
2021-11-03 15:00:00,-182.11156107710966,
2021-11-03 15:30:30,-182.11156107710966,
2021-11-03 23:59:59,-185.0636657562256,c
2021-11-04 00:00:00,-178.48708571231484,
2021-11-04 10:00:00,-178.45071063909552,
2021-11-04 10:30:00,-181.14935170928086,
2021-11-04 12:00:00,-167.90745727136232,
2021-11-04 13:30:00,-151.88630711341614,
2021-11-04 15:00:00,-165.49127401908316,
2021-11-04 15:30:30,-165.49127401908316,
2021-11-04 23:59:59,-152.83918118183803,c
2021-11-05 00:00:00,-80.53343517515566,
2021-11-05 10:00:00,-154.81013641925733,
2021-11-05 10:30:00,-145.05051399487434,
2021-11-05 12:00:00,-156.52544864213112,
2021-11-05 13:30:00,-178.260759360422,
2021-11-05 15:00:00,-180.40597924615133,
2021-11-05 15:30:30,-180.40597924615133,
2021-11-05 23:59:59,-181.54623277698295,w
2021-11-08 00:00:00,-150.65572659200842,
2021-11-08 10:00:00,-138.96852412699945,
2021-11-08 10:30:00,-117.02131321501969,
2021-11-08 12:00:00,-123.34651903102068,
2021-11-08 13:30:00,-113.7973236767868,
2021-11-08 15:00:00,-111.48949629767225,
2021-11-08 15:30:30,-111.48949629767225,
2021-11-08 23:59:59,-114.03073483471705,c
2021-11-09 00:00:00,-103.76991449329877,
2021-11-09 10:00:00,-160.05648109104493,
2021-11-09 10:30:00,-133.71792684525664,
2021-11-09 12:00:00,-121.34786873539603,
2021-11-09 13:30:00,-109.45752750452202,
2021-11-09 15:00:00,-125.61374244721574,
2021-11-09 15:30:30,-125.61374244721574,
