date,DJSECT_2020_Q4,meta
2020-11-20 00:00:00,-76.08910727920829,
2020-11-20 10:00:00,-49.223657700765216,
2020-11-20 10:30:00,-29.187390805940595,
2020-11-20 12:00:00,-29.371070490589773,
2020-11-20 13:30:00,-20.561243499962984,
2020-11-20 15:00:00,-21.789481919404352,
2020-11-20 15:30:30,-21.789481919404352,
2020-11-20 23:59:59,-26.268999546899067,w
2020-11-23 00:00:00,-65.96527871617127,
2020-11-23 10:00:00,-106.11720160853201,
2020-11-23 10:30:00,-65.50917648013728,
2020-11-23 12:00:00,-49.136348855379765,
2020-11-23 13:30:00,-42.226737850556674,
2020-11-23 15:00:00,-42.14954395388668,
2020-11-23 15:30:30,-42.14954395388668,
2020-11-23 23:59:59,-43.41190398153594,c
2020-11-24 00:00:00,-69.64650303978578,
2020-11-24 10:00:00,-110.69562053455138,
2020-11-24 10:30:00,-126.78553012007706,
2020-11-24 12:00:00,-160.88455246238846,
2020-11-24 13:30:00,-146.97252619870233,
2020-11-24 15:00:00,-157.54868746595457,
2020-11-24 15:30:30,-157.54868746595457,
2020-11-24 23:59:59,-168.27343201272015,c
2020-11-25 00:00:00,-142.92185370137577,
2020-11-25 10:00:00,-125.90002882366753,
2020-11-25 10:30:00,-134.52443131326254,
2020-11-25 12:00:00,-148.3318561664064,
2020-11-25 13:30:00,-131.3614659567911,
2020-11-25 15:00:00,-122.82782005220088,
2020-11-25 15:30:30,-122.82782005220088,
2020-11-25 23:59:59,-114.26567884124051,c
2020-11-26 00:00:00,-114.26567884124051,
2020-11-26 10:00:00,-114.26567884124051,
2020-11-26 10:30:00,-114.26567884124051,
2020-11-26 12:00:00,-114.26567884124051,
2020-11-26 13:30:00,-114.26567884124051,
2020-11-26 15:00:00,-114.26567884124051,
2020-11-26 15:30:30,-114.26567884124051,
2020-11-26 23:59:59,-114.26567884124051,c
2020-11-27 00:00:00,-133.37624158975086,
2020-11-27 10:00:00,-99.52657125787391,
2020-11-27 10:30:00,-95.21915732962043,
2020-11-27 12:00:00,-71.62491303131446,
2020-11-27 13:30:00,-71.62491303131446,
2020-11-27 15:00:00,-71.62491303131446,
2020-11-27 15:30:30,-71.62491303131446,
2020-11-27 23:59:59,-76.12489719426685,w
2020-11-30 00:00:00,-51.4504177027211,
2020-11-30 10:00:00,-45.86229364833707,
2020-11-30 10:30:00,-34.82174141278756,
2020-11-30 12:00:00,-9.610153876467848,
2020-11-30 13:30:00,13.49197917632955,
2020-11-30 15:00:00,5.766880026008039,
2020-11-30 15:30:30,5.766880026008039,x
2020-11-30 23:59:59,13.522126226771434,c
2020-12-01 00:00:00,-48.25250239678735,
2020-12-01 10:00:00,-64.93615225766189,
2020-12-01 10:30:00,-97.70106729040799,
2020-12-01 12:00:00,-16.178373985710095,
2020-12-01 13:30:00,-26.116283043994372,
2020-12-01 15:00:00,-16.453740684208242,
2020-12-01 15:30:30,-16.453740684208242,
2020-12-01 23:59:59,4.403969093239539,c
2020-12-02 00:00:00,22.95173129214072,
2020-12-02 10:00:00,18.866076526265715,
2020-12-02 10:30:00,48.15341481274481,
2020-12-02 12:00:00,53.025582905732335,
2020-12-02 13:30:00,68.36246703409506,
2020-12-02 15:00:00,56.11380263673891,
2020-12-02 15:30:30,56.11380263673891,
2020-12-02 23:59:59,52.73300406107137,c
2020-12-03 00:00:00,72.21020118918113,
2020-12-03 10:00:00,52.28631032594603,
2020-12-03 10:30:00,43.86337939092027,
2020-12-03 12:00:00,59.59684898349224,
2020-12-03 13:30:00,70.33882468892352,
2020-12-03 15:00:00,68.0902480728264,
2020-12-03 15:30:30,68.0902480728264,
2020-12-03 23:59:59,88.20627286761191,c
2020-12-04 00:00:00,67.95374148645533,
2020-12-04 10:00:00,17.357397280266014,
2020-12-04 10:30:00,-14.226668831478491,
2020-12-04 12:00:00,-38.59788828076853,
2020-12-04 13:30:00,-23.45409925884269,
2020-12-04 15:00:00,-41.87319787354227,
2020-12-04 15:30:30,-41.87319787354227,
2020-12-04 23:59:59,-48.382758437422126,w
2020-12-07 00:00:00,1.7827464170322855,
2020-12-07 10:00:00,65.516601077009,
2020-12-07 10:30:00,56.57780545703008,
2020-12-07 12:00:00,44.983714663178944,
2020-12-07 13:30:00,57.96007108358026,
2020-12-07 15:00:00,41.715543461026755,
2020-12-07 15:30:30,41.715543461026755,
2020-12-07 23:59:59,16.365212888435963,c
2020-12-08 00:00:00,48.51406140348627,
2020-12-08 10:00:00,-5.272047552806725,
2020-12-08 10:30:00,17.473269624876593,
2020-12-08 12:00:00,22.674636538804407,
2020-12-08 13:30:00,9.194600400615855,
2020-12-08 15:00:00,29.462438072704572,
2020-12-08 15:30:30,29.462438072704572,
2020-12-08 23:59:59,13.322622273336492,c
2020-12-09 00:00:00,4.662404888644232,
2020-12-09 10:00:00,14.139006418118697,
2020-12-09 10:30:00,7.912230659316265,
2020-12-09 12:00:00,10.142372558001625,
2020-12-09 13:30:00,9.115841295967584,
2020-12-09 15:00:00,-16.419043586587577,
2020-12-09 15:30:30,-16.419043586587577,
2020-12-09 23:59:59,-24.217659874217134,c
2020-12-10 00:00:00,-15.428278794730431,
2020-12-10 10:00:00,-27.385232969775643,
2020-12-10 10:30:00,19.345282991579552,
2020-12-10 12:00:00,41.406621905361135,
2020-12-10 13:30:00,28.268265887491907,
2020-12-10 15:00:00,47.509844283647,
