date,EU_FIVG_2021_Q4,meta
2021-11-19 00:00:00,-131.04114422279872,
2021-11-19 03:30:00,-135.51691653442958,
2021-11-19 04:00:00,-134.56823278176125,
2021-11-19 06:00:00,-128.86132090030242,
2021-11-19 08:00:00,-108.04829120915929,
2021-11-19 10:30:00,-139.7215831144531,
2021-11-19 11:00:00,-143.58840309866264,
2021-11-19 23:59:59,-177.82307950685845,w
2021-11-22 00:00:00,-277.669180883061,
2021-11-22 03:30:00,-377.3692127946033,
2021-11-22 04:00:00,-377.5448364523827,
2021-11-22 06:00:00,-376.6966755564754,
2021-11-22 08:00:00,-377.7339071000388,
2021-11-22 10:30:00,-424.235528428645,
2021-11-22 11:00:00,-433.9527197739644,
2021-11-22 23:59:59,-436.2966521536928,c
2021-11-23 00:00:00,-418.4848827969472,
2021-11-23 03:30:00,-374.22258907509513,
2021-11-23 04:00:00,-351.02469240469236,
2021-11-23 06:00:00,-394.4378589604057,
2021-11-23 08:00:00,-378.92937989267284,
2021-11-23 10:30:00,-381.4560846308714,
2021-11-23 11:00:00,-374.2359188525106,
2021-11-23 23:59:59,-374.80697112261987,c
2021-11-24 00:00:00,-356.017772727022,
2021-11-24 03:30:00,-315.86366956904203,
2021-11-24 04:00:00,-321.95260369103016,
2021-11-24 06:00:00,-256.87464412976806,
2021-11-24 08:00:00,-265.1714603022019,
2021-11-24 10:30:00,-241.09852617799152,
2021-11-24 11:00:00,-230.7369311047023,
2021-11-24 23:59:59,-259.47340872011046,c
2021-11-25 00:00:00,-284.73438558309954,
2021-11-25 03:30:00,-290.7107311683312,
2021-11-25 04:00:00,-287.8609608442421,
2021-11-25 06:00:00,-251.48499012054708,
2021-11-25 08:00:00,-242.5607896006386,
2021-11-25 10:30:00,-267.05403272054537,
2021-11-25 11:00:00,-263.96999714714366,
2021-11-25 23:59:59,-271.88189617712396,c
2021-11-26 00:00:00,-180.22450772774118,
2021-11-26 03:30:00,-184.24231019478793,
2021-11-26 04:00:00,-199.4722605852321,
2021-11-26 06:00:00,-204.7702100826973,
2021-11-26 08:00:00,-218.61400735312782,
2021-11-26 10:30:00,-193.81073378945166,
2021-11-26 11:00:00,-195.96834696041697,
2021-11-26 23:59:59,-175.2969737623489,w
2021-11-29 00:00:00,-201.85108108164968,
2021-11-29 03:30:00,-177.54709312594423,
2021-11-29 04:00:00,-178.81730858699666,
2021-11-29 06:00:00,-181.00789230555074,
2021-11-29 08:00:00,-180.9047110803558,
2021-11-29 10:30:00,-207.75100150653998,
2021-11-29 11:00:00,-207.93972700123504,
2021-11-29 23:59:59,-197.21430436310857,c
2021-11-30 00:00:00,-171.6412310372898,
2021-11-30 03:30:00,-179.88973892579725,
2021-11-30 04:00:00,-146.41410076890952,
2021-11-30 06:00:00,-169.82547057882857,
2021-11-30 08:00:00,-172.94850660754582,
2021-11-30 10:30:00,-196.45573379225607,
2021-11-30 11:00:00,-165.05993823479184,
2021-11-30 23:59:59,-165.99026587465414,c
2021-12-01 00:00:00,-195.3329961845784,
2021-12-01 03:30:00,-189.30272157225227,
2021-12-01 04:00:00,-208.0412521311955,
2021-12-01 06:00:00,-165.47664735803028,
2021-12-01 08:00:00,-174.85965931348073,
2021-12-01 10:30:00,-176.03088628243495,
2021-12-01 11:00:00,-176.68307924109013,
2021-12-01 23:59:59,-187.2269452338278,c
2021-12-02 00:00:00,-154.73836910956834,
2021-12-02 03:30:00,-138.9180391128175,
2021-12-02 04:00:00,-125.95687798066956,
2021-12-02 06:00:00,-119.38030974954472,
2021-12-02 08:00:00,-120.35891360895585,
2021-12-02 10:30:00,-78.4071006397844,
2021-12-02 11:00:00,-75.8932712715532,
2021-12-02 23:59:59,-68.0501117356389,c
2021-12-03 00:00:00,-103.8664033371615,
2021-12-03 03:30:00,-86.13816908578428,
2021-12-03 04:00:00,-73.41760222565608,
2021-12-03 06:00:00,-68.6198581423896,
2021-12-03 08:00:00,-76.12420400044448,
2021-12-03 10:30:00,-72.22608428769036,
2021-12-03 11:00:00,-68.02254343764162,
2021-12-03 23:59:59,-88.28936379031984,w
2021-12-06 00:00:00,-98.69547662108744,
2021-12-06 03:30:00,-108.88500782001393,
2021-12-06 04:00:00,-110.32214219269736,
2021-12-06 06:00:00,-79.36504177065581,
2021-12-06 08:00:00,-85.41914159864154,
2021-12-06 10:30:00,-113.50258096005473,
2021-12-06 11:00:00,-110.05735907966755,
2021-12-06 23:59:59,-96.4344022360583,c
2021-12-07 00:00:00,-96.4344022360583,
2021-12-07 03:30:00,-109.06917426446034,
2021-12-07 04:00:00,-124.34660707991316,
2021-12-07 06:00:00,-151.36320748148773,
2021-12-07 08:00:00,-154.06884674237608,
2021-12-07 10:30:00,-126.56752558444441,
2021-12-07 11:00:00,-112.61742662518736,
2021-12-07 23:59:59,-119.55092834930838,c
2021-12-08 00:00:00,-107.93042679779865,
2021-12-08 03:30:00,-133.02235278510307,
2021-12-08 04:00:00,-113.67584290715331,
2021-12-08 06:00:00,-100.79735464478108,
2021-12-08 08:00:00,-88.09209963592275,
2021-12-08 10:30:00,-139.15552939284134,
2021-12-08 11:00:00,-136.6407558133842,
2021-12-08 23:59:59,-93.76102259774325,c
2021-12-09 00:00:00,-101.31082343080288,
2021-12-09 03:30:00,-70.36175255485523,
2021-12-09 04:00:00,-57.65905476734133,
2021-12-09 06:00:00,-30.940625572318822,
2021-12-09 08:00:00,-24.82916395489974,
2021-12-09 10:30:00,28.72352817645151,
2021-12-09 11:00:00,31.453051672579022,
2021-12-09 23:59:59,-23.37361881554898,c
2021-12-10 00:00:00,0.11852219794673147,
2021-12-10 03:30:00,-12.121233414297421,
2021-12-10 04:00:00,-10.839259798407511,
2021-12-10 06:00:00,-22.72122535107701,
2021-12-10 08:00:00,-29.042954296321113,
2021-12-10 10:30:00,6.380131876786436,
2021-12-10 11:00:00,2.1964611846769913,
2021-12-10 23:59:59,0.0,a
2021-12-13 00:00:00,-14.912185698452959,
2021-12-13 03:30:00,-16.720240847461355,
2021-12-13 04:00:00,-39.34414620093048,
2021-12-13 06:00:00,-48.070238296966636,
2021-12-13 08:00:00,-33.12204524369372,
2021-12-13 10:30:00,-1.2594238920055432,
2021-12-13 11:00:00,-5.6348187609528395,
2021-12-13 23:59:59,-25.249255254270793,c
2021-12-14 00:00:00,-27.039916181365697,
2021-12-14 03:30:00,-16.368482156023674,
2021-12-14 04:00:00,-12.789698853982372,
2021-12-14 06:00:00,-19.209751765929468,
2021-12-14 08:00:00,-21.727239628587995,
2021-12-14 10:30:00,13.56696826056941,
2021-12-14 11:00:00,11.453971945157718,
2021-12-14 23:59:59,7.00769229404159,c
2021-12-15 00:00:00,-5.262617842325199,
2021-12-15 03:30:00,-25.366810308460117,
2021-12-15 04:00:00,-14.641349536197595,
2021-12-15 06:00:00,34.947082728382156,
2021-12-15 08:00:00,24.97991743437342,
2021-12-15 10:30:00,11.029967966360346,
2021-12-15 11:00:00,12.76535565388349,
2021-12-15 23:59:59,14.877509587280656,c
2021-12-16 00:00:00,-32.74876627697995,
