date,EU_FPXI_2022_Q4,meta
2022-11-29 00:00:00,-320.92565770677083,
2022-11-29 03:30:00,-271.2527676154573,
2022-11-29 04:00:00,-301.05619806456843,
2022-11-29 06:00:00,-259.57841711660194,
2022-11-29 08:00:00,-235.4922963710669,
2022-11-29 10:30:00,-235.4493189406744,
2022-11-29 11:00:00,-234.3853123869908,
2022-11-29 23:59:59,-249.33304805951957,c
2022-11-30 00:00:00,-246.4617876408006,
2022-11-30 03:30:00,-265.35542308724325,
2022-11-30 04:00:00,-285.238612003508,
2022-11-30 06:00:00,-312.0427653036222,
2022-11-30 08:00:00,-314.2471370059434,
2022-11-30 10:30:00,-291.4757872517225,
2022-11-30 11:00:00,-291.23403772034953,
2022-11-30 23:59:59,-276.426596755799,c
2022-12-01 00:00:00,-269.0021450661652,
2022-12-01 03:30:00,-277.85783327122545,
2022-12-01 04:00:00,-253.67595032056897,
2022-12-01 06:00:00,-258.601664571494,
2022-12-01 08:00:00,-254.802523848256,
2022-12-01 10:30:00,-205.04560195678005,
2022-12-01 11:00:00,-206.33596728677776,
2022-12-01 23:59:59,-229.10588962718657,c
2022-12-02 00:00:00,-236.80929628737113,
2022-12-02 03:30:00,-194.66718015849665,
2022-12-02 04:00:00,-164.83660873442614,
2022-12-02 06:00:00,-165.1397711810896,
2022-12-02 08:00:00,-143.98593055551828,
2022-12-02 10:30:00,-149.85976159937218,
2022-12-02 11:00:00,-138.37206488865877,
2022-12-02 23:59:59,-149.97141278092158,w
2022-12-05 00:00:00,-152.86785275474358,
2022-12-05 03:30:00,-159.4499867523905,
2022-12-05 04:00:00,-144.3481311723158,
2022-12-05 06:00:00,-155.10221139364285,
2022-12-05 08:00:00,-168.74474461685122,
2022-12-05 10:30:00,-161.16927435976868,
2022-12-05 11:00:00,-177.96990443407276,
2022-12-05 23:59:59,-172.24037820071408,c
2022-12-06 00:00:00,-155.97760754414094,
2022-12-06 03:30:00,-139.36202959154207,
2022-12-06 04:00:00,-128.1961168640255,
2022-12-06 06:00:00,-123.34274703164374,
2022-12-06 08:00:00,-106.45167211015132,
2022-12-06 10:30:00,-113.795340700618,
2022-12-06 11:00:00,-114.77892802046654,
2022-12-06 23:59:59,-120.69709526661609,c
2022-12-07 00:00:00,-9.751999240829264,
2022-12-07 03:30:00,-26.178459217583622,
2022-12-07 04:00:00,-28.661213901495103,
2022-12-07 06:00:00,-20.82142963854176,
2022-12-07 08:00:00,-39.119387558013386,
2022-12-07 10:30:00,-38.54276667548402,
2022-12-07 11:00:00,-43.44919334965425,
2022-12-07 23:59:59,-78.80818575918283,c
2022-12-08 00:00:00,-53.169812925938004,
2022-12-08 03:30:00,-24.31081967325872,
2022-12-08 04:00:00,-14.636265766906035,
2022-12-08 06:00:00,-45.3965428425372,
2022-12-08 08:00:00,-67.58865324937551,
2022-12-08 10:30:00,-45.571675403068184,
2022-12-08 11:00:00,-43.09935200593236,
2022-12-08 23:59:59,-66.30149907334953,c
2022-12-09 00:00:00,-73.68065750668666,
2022-12-09 03:30:00,-97.01854823976282,
2022-12-09 04:00:00,-84.15664648746679,
2022-12-09 06:00:00,-80.67668690035771,
2022-12-09 08:00:00,-74.0666208938269,
2022-12-09 10:30:00,-91.15190503208896,
2022-12-09 11:00:00,-91.40279285272845,
2022-12-09 23:59:59,-80.50323929764363,w
2022-12-12 00:00:00,-75.44570274441594,
2022-12-12 03:30:00,-51.167935257194586,
2022-12-12 04:00:00,-56.065646463649045,
2022-12-12 06:00:00,-47.15299688337245,
2022-12-12 08:00:00,-42.1564544916705,
2022-12-12 10:30:00,-31.608649697373494,
2022-12-12 11:00:00,-43.06275397184163,A
2022-12-12 23:59:59,-32.02119238812111,c
2022-12-13 00:00:00,-50.1153352680094,
2022-12-13 03:30:00,-28.031925295273595,
2022-12-13 04:00:00,-29.798677398921882,
2022-12-13 06:00:00,-13.56405402340306,
2022-12-13 08:00:00,2.474147852189617,
2022-12-13 10:30:00,15.717178676674848,
2022-12-13 11:00:00,10.614318704469952,
2022-12-13 23:59:59,0.0,a
2022-12-14 00:00:00,-15.291091640617196,
2022-12-14 03:30:00,-8.201840238292334,
2022-12-14 04:00:00,8.353677665144914,
2022-12-14 06:00:00,15.180735730297329,
2022-12-14 08:00:00,4.013733067934936,
2022-12-14 10:30:00,11.552086929230882,
2022-12-14 11:00:00,20.72863119959584,
2022-12-14 23:59:59,6.985734770776617,c
2022-12-15 00:00:00,-12.2878722808141,
2022-12-15 03:30:00,10.233549036306613,
2022-12-15 04:00:00,18.615389099622007,
2022-12-15 06:00:00,-10.443021310413314,
2022-12-15 08:00:00,-12.97741660069505,
2022-12-15 10:30:00,-93.24244361044157,
2022-12-15 11:00:00,-93.62782591482664,
2022-12-15 23:59:59,-100.92242315489193,c
2022-12-16 00:00:00,-101.19808617194849,
2022-12-16 03:30:00,-91.90420080051854,
2022-12-16 04:00:00,-88.05496066464048,
2022-12-16 06:00:00,-121.24271730571581,
2022-12-16 08:00:00,-110.46851092982524,
2022-12-16 10:30:00,-129.03894782615453,
2022-12-16 11:00:00,-146.50484241312597,
2022-12-16 23:59:59,-163.96505441573163,e
2022-12-19 00:00:00,-153.68090990990277,
2022-12-19 03:30:00,-131.76960382379684,
2022-12-19 04:00:00,-134.4525960026017,
2022-12-19 06:00:00,-144.3917829705806,
2022-12-19 08:00:00,-159.11920894802142,
2022-12-19 10:30:00,-137.8192327794709,
2022-12-19 11:00:00,-151.50649917301735,
2022-12-19 23:59:59,-145.57428493977886,c
2022-12-20 00:00:00,-94.87896887969828,
2022-12-20 03:30:00,-128.215118802078,
2022-12-20 04:00:00,-128.98618627086444,
2022-12-20 06:00:00,-136.626344533272,
2022-12-20 08:00:00,-146.9325728761023,
2022-12-20 10:30:00,-162.00688637653593,
2022-12-20 11:00:00,-159.28046296386583,
2022-12-20 23:59:59,-160.69882481221612,c
2022-12-21 00:00:00,-136.6997283778037,
2022-12-21 03:30:00,-148.061701034846,
2022-12-21 04:00:00,-139.5920591051772,
2022-12-21 06:00:00,-166.25912594544434,
2022-12-21 08:00:00,-165.13245471738037,
2022-12-21 10:30:00,-134.68647493803292,
2022-12-21 11:00:00,-139.99075536749206,
2022-12-21 23:59:59,-109.51243317393346,c
2022-12-22 00:00:00,-133.13456018266106,
2022-12-22 03:30:00,-136.72808922059767,
2022-12-22 04:00:00,-147.79774816087047,
2022-12-22 06:00:00,-140.03761001746898,
2022-12-22 08:00:00,-153.16550649882856,
2022-12-22 10:30:00,-186.68539285459156,
2022-12-22 11:00:00,-186.50899079423652,
2022-12-22 23:59:59,-155.6776926232037,c
2022-12-23 00:00:00,-163.33645511280156,
2022-12-23 03:30:00,-158.48074659737767,
2022-12-23 04:00:00,-161.82213446654896,
2022-12-23 06:00:00,-169.47730684066119,
2022-12-23 08:00:00,-154.96619024849133,
2022-12-23 10:30:00,-142.73043735653755,
2022-12-23 11:00:00,-150.1091117376077,
2022-12-23 23:59:59,-151.6492156219174,w
2022-12-26 00:00:00,-151.6492156219174,
2022-12-26 03:30:00,-151.6492156219174,
2022-12-26 04:00:00,-151.6492156219174,
2022-12-26 06:00:00,-151.6492156219174,
2022-12-26 08:00:00,-151.6492156219174,
2022-12-26 10:30:00,-151.6492156219174,
2022-12-26 11:00:00,-151.6492156219174,
2022-12-26 23:59:59,-151.6492156219174,c
2022-12-27 00:00:00,-131.6538053320064,
2022-12-27 03:30:00,-135.21807845844614,
2022-12-27 04:00:00,-126.05111056905298,
2022-12-27 06:00:00,-126.41055023023591,
2022-12-27 08:00:00,-106.20345731642055,
2022-12-27 10:30:00,-116.27493100414267,
2022-12-27 11:00:00,-116.48501627192263,
2022-12-27 23:59:59,-113.0080486754241,c
2022-12-28 00:00:00,-94.5726673169529,
2022-12-28 03:30:00,-97.00874358303099,
2022-12-28 04:00:00,-82.50055073731073,
2022-12-28 06:00:00,-80.01589716065928,
2022-12-28 08:00:00,-74.5822310927224,
2022-12-28 10:30:00,-74.55683011087149,
2022-12-28 11:00:00,-77.04482686598385,
2022-12-28 23:59:59,-76.59093884734693,c
2022-12-29 00:00:00,-108.55675086881774,
2022-12-29 03:30:00,-83.34303006903883,
2022-12-29 04:00:00,-75.93878849130215,
2022-12-29 06:00:00,-66.0473696286981,
2022-12-29 08:00:00,-46.617747042902465,
2022-12-29 10:30:00,-41.03199944363405,
2022-12-29 11:00:00,-37.119702057400445,
2022-12-29 23:59:59,-57.82469352881208,c
2022-12-30 00:00:00,-49.204977966755905,
2022-12-30 03:30:00,-65.3850724238132,
2022-12-30 04:00:00,-56.70788970475451,
2022-12-30 06:00:00,-63.42918064709147,
2022-12-30 08:00:00,-62.265480369884244,
2022-12-30 10:30:00,-55.39230093078595,
2022-12-30 11:00:00,-58.2517494842682,
2022-12-30 23:59:59,-60.48637763748411,w
