date,EU_FTSE_DM_MIG_2022_Q3,meta
2022-07-08 00:00:00,-404.1907841482695,
2022-07-08 03:30:00,-351.66577355171023,
2022-07-08 04:00:00,-374.6083240972654,
2022-07-08 06:00:00,-487.22327738349236,
2022-07-08 08:00:00,-479.54518008856337,
2022-07-08 10:30:00,-430.1901713525291,
2022-07-08 11:00:00,-445.01603053142196,
2022-07-08 23:59:59,-443.3697833258652,w
2022-07-11 00:00:00,-437.1664510984507,
2022-07-11 03:30:00,-433.68185541592356,
2022-07-11 04:00:00,-446.6517461136581,
2022-07-11 06:00:00,-478.3663211979059,
2022-07-11 08:00:00,-395.412130030282,
2022-07-11 10:30:00,-300.6357880506579,
2022-07-11 11:00:00,-292.4047775021654,
2022-07-11 23:59:59,-277.6282707119509,c
2022-07-12 00:00:00,-237.18670800361951,
2022-07-12 03:30:00,-150.24585109223403,
2022-07-12 04:00:00,-179.4932301887884,
2022-07-12 06:00:00,-146.83263454624216,
2022-07-12 08:00:00,-219.58165317891462,
2022-07-12 10:30:00,-233.32967677757188,
2022-07-12 11:00:00,-234.1718231784448,
2022-07-12 23:59:59,-249.96169296217658,c
2022-07-13 00:00:00,-254.72863751125385,
2022-07-13 03:30:00,-354.43836735888567,
2022-07-13 04:00:00,-344.9372585426072,
2022-07-13 06:00:00,-321.9706055390908,
2022-07-13 08:00:00,-292.7920075877528,
2022-07-13 10:30:00,-252.83732126066354,
2022-07-13 11:00:00,-258.30425565554776,
2022-07-13 23:59:59,-248.79854462128037,c
2022-07-14 00:00:00,-214.4088700076211,
2022-07-14 03:30:00,-231.61702849050096,
2022-07-14 04:00:00,-229.07982133792325,
2022-07-14 06:00:00,-232.61751233287828,
2022-07-14 08:00:00,-234.94007661234298,
2022-07-14 10:30:00,-199.1327977755816,
2022-07-14 11:00:00,-195.90103371616715,
2022-07-14 23:59:59,-183.74654171531097,c
2022-07-15 00:00:00,-188.17753331965787,
2022-07-15 03:30:00,-190.68855062044918,
2022-07-15 04:00:00,-211.5688861594424,
2022-07-15 06:00:00,-187.36609885196458,
2022-07-15 08:00:00,-160.78315654311245,
2022-07-15 10:30:00,-198.61562599707827,
2022-07-15 11:00:00,-200.17685161818554,
2022-07-15 23:59:59,-210.3818120320252,w
2022-07-18 00:00:00,-196.09216195655063,
2022-07-18 03:30:00,-192.65419959037717,
2022-07-18 04:00:00,-213.76694884451513,
