date,EU_GDX_2021_Q4,meta
2021-11-19 00:00:00,-2261.625262118594,
2021-11-19 03:30:00,-2136.5048514393256,
2021-11-19 04:00:00,-2054.061711559152,
2021-11-19 06:00:00,-1963.3845086456422,
2021-11-19 08:00:00,-1984.9763709195904,
2021-11-19 10:30:00,-1950.0846022701717,
2021-11-19 11:00:00,-1929.6719262493552,
2021-11-19 23:59:59,-1950.3866898521683,w
2021-11-22 00:00:00,-1868.1733085401065,
2021-11-22 03:30:00,-1929.6597273006846,
2021-11-22 04:00:00,-1884.5783167945901,
2021-11-22 06:00:00,-1696.4851360196408,
2021-11-22 08:00:00,-1606.4134539421993,
2021-11-22 10:30:00,-1338.3455955304853,
2021-11-22 11:00:00,-1405.614351120359,
2021-11-22 23:59:59,-1392.5067880097995,c
2021-11-23 00:00:00,-1275.0582644220704,
2021-11-23 03:30:00,-1344.7542930282034,
2021-11-23 04:00:00,-1256.7250052391646,
2021-11-23 06:00:00,-1304.372406165181,
2021-11-23 08:00:00,-1264.9045483360605,
2021-11-23 10:30:00,-1323.992651184757,
2021-11-23 11:00:00,-1271.5653552351905,
2021-11-23 23:59:59,-1230.4278254587352,c
2021-11-24 00:00:00,-1303.2488604382834,
2021-11-24 03:30:00,-1276.9884669580351,
2021-11-24 04:00:00,-1274.0907701844571,
2021-11-24 06:00:00,-1074.5715800305516,
2021-11-24 08:00:00,-1071.115758873104,
2021-11-24 10:30:00,-887.805452993518,
2021-11-24 11:00:00,-872.9351361547851,
2021-11-24 23:59:59,-979.0908507249587,c
2021-11-25 00:00:00,-1087.143843828766,
2021-11-25 03:30:00,-1060.339055586055,
2021-11-25 04:00:00,-1046.941940249264,
2021-11-25 06:00:00,-1075.042758083353,
2021-11-25 08:00:00,-1133.8814985625995,
2021-11-25 10:30:00,-1119.1504343652814,
2021-11-25 11:00:00,-1107.7492274739416,
2021-11-25 23:59:59,-1120.0294399757095,c
2021-11-26 00:00:00,-1058.960989158184,
2021-11-26 03:30:00,-1059.0845960381575,
2021-11-26 04:00:00,-1062.1574630744071,
2021-11-26 06:00:00,-1114.1775950942629,
2021-11-26 08:00:00,-1427.4127915270365,
2021-11-26 10:30:00,-1229.343449528873,
2021-11-26 11:00:00,-1165.2025151490325,
2021-11-26 23:59:59,-1204.5972638667172,w
2021-11-29 00:00:00,-1232.7849299393383,
2021-11-29 03:30:00,-1159.129585773917,
2021-11-29 04:00:00,-1162.2214886803304,
2021-11-29 06:00:00,-1247.2126060199844,
2021-11-29 08:00:00,-1226.8600749597808,
2021-11-29 10:30:00,-1094.801758116093,
2021-11-29 11:00:00,-1073.9147609943902,
2021-11-29 23:59:59,-1098.893516094393,c
2021-11-30 00:00:00,-1073.0553926176744,
2021-11-30 03:30:00,-1227.4229999312029,
2021-11-30 04:00:00,-1237.6293717813896,
2021-11-30 06:00:00,-1199.9823722109286,
2021-11-30 08:00:00,-1248.928899542574,
2021-11-30 10:30:00,-1543.3193286069672,
2021-11-30 11:00:00,-1336.0761417231643,
2021-11-30 23:59:59,-1399.5625414453898,c
2021-12-01 00:00:00,-1477.0786271383004,
2021-12-01 03:30:00,-1293.5384898582488,
2021-12-01 04:00:00,-1253.4786175704412,
2021-12-01 06:00:00,-1264.2537651427683,
2021-12-01 08:00:00,-1273.141251206347,
2021-12-01 10:30:00,-1200.9140570651507,
2021-12-01 11:00:00,-1200.3203762766934,
2021-12-01 23:59:59,-1159.9673674854912,c
2021-12-02 00:00:00,-1066.0139547426552,
2021-12-02 03:30:00,-1051.1094767721916,
2021-12-02 04:00:00,-1020.2678602500146,
2021-12-02 06:00:00,-1003.1969967241785,
2021-12-02 08:00:00,-946.496335510783,
2021-12-02 10:30:00,-917.7152654553684,
2021-12-02 11:00:00,-889.3607348848382,
2021-12-02 23:59:59,-831.1166090677907,c
2021-12-03 00:00:00,-875.747490107131,
2021-12-03 03:30:00,-793.6225774267041,
2021-12-03 04:00:00,-764.8564084673744,
2021-12-03 06:00:00,-763.4020545381536,
2021-12-03 08:00:00,-813.5709848913193,
2021-12-03 10:30:00,-669.8487611033706,
2021-12-03 11:00:00,-624.4428796725133,
2021-12-03 23:59:59,-739.5070247882923,w
2021-12-06 00:00:00,-777.0906014279717,
2021-12-06 03:30:00,-841.04321449284,
2021-12-06 04:00:00,-886.8812607799064,
2021-12-06 06:00:00,-802.8819137355713,
2021-12-06 08:00:00,-797.8878708411648,
2021-12-06 10:30:00,-783.1555951908213,
2021-12-06 11:00:00,-732.5438027154232,
2021-12-06 23:59:59,-730.1111306283674,c
2021-12-07 00:00:00,-730.1111306283674,
2021-12-07 03:30:00,-686.4324114095052,
2021-12-07 04:00:00,-646.9680073842828,
2021-12-07 06:00:00,-681.3951290857804,
2021-12-07 08:00:00,-650.7409424688012,
2021-12-07 10:30:00,-694.9728136048398,
2021-12-07 11:00:00,-697.2982467042075,
2021-12-07 23:59:59,-744.1069277552779,c
2021-12-08 00:00:00,-856.0733095225878,
2021-12-08 03:30:00,-852.3527059486187,
2021-12-08 04:00:00,-806.271866702722,
2021-12-08 06:00:00,-717.8432991996724,
2021-12-08 08:00:00,-640.0829399368522,
2021-12-08 10:30:00,-586.2256595948966,
2021-12-08 11:00:00,-665.9266059163074,
2021-12-08 23:59:59,-657.79951680462,c
2021-12-09 00:00:00,-615.8121254055222,
2021-12-09 03:30:00,-637.2087151553424,
2021-12-09 04:00:00,-559.1616877796187,
2021-12-09 06:00:00,-548.55930112655,
2021-12-09 08:00:00,-475.6530604658965,
2021-12-09 10:30:00,-284.9748808429613,
2021-12-09 11:00:00,-260.8569008207087,
2021-12-09 23:59:59,-219.26453996958298,c
2021-12-10 00:00:00,-170.28224865873017,
2021-12-10 03:30:00,-10.905597956010752,
2021-12-10 04:00:00,-111.34069134435231,
2021-12-10 06:00:00,-143.2452864117986,
2021-12-10 08:00:00,-153.64748526332005,
2021-12-10 10:30:00,-43.8330534058332,
2021-12-10 11:00:00,-39.81150880669884,
2021-12-10 23:59:59,0.0,a
2021-12-13 00:00:00,-48.98880998080858,
2021-12-13 03:30:00,-53.600052743226115,
2021-12-13 04:00:00,-7.505692525373888,
2021-12-13 06:00:00,89.91808092622705,
2021-12-13 08:00:00,86.08629251275306,
2021-12-13 10:30:00,174.74235027674877,
2021-12-13 11:00:00,189.68127502891366,
2021-12-13 23:59:59,277.5799999999963,c
2021-12-14 00:00:00,223.92626773549637,
2021-12-14 03:30:00,249.82130909064654,
2021-12-14 04:00:00,273.52647925107703,
2021-12-14 06:00:00,312.83417246986573,
2021-12-14 08:00:00,295.4859718736807,
2021-12-14 10:30:00,357.4727196354015,
2021-12-14 11:00:00,378.4613116436012,
2021-12-14 23:59:59,419.86761669999396,c
2021-12-15 00:00:00,464.1869939934204,
2021-12-15 03:30:00,451.59394961314865,
2021-12-15 04:00:00,445.8371293250275,
2021-12-15 06:00:00,568.6421956749346,
2021-12-15 08:00:00,466.1513786560081,
2021-12-15 10:30:00,581.9089872926234,
2021-12-15 11:00:00,612.8363178617237,
2021-12-15 23:59:59,583.1513930409546,c
2021-12-16 00:00:00,436.19537068811223,
2021-12-16 03:30:00,391.0169497608058,
2021-12-16 04:00:00,297.089010274276,
2021-12-16 06:00:00,302.9964361471193,
2021-12-16 08:00:00,132.39620222419398,
2021-12-16 10:30:00,41.184878496651436,
2021-12-16 11:00:00,3.5908414870809793,
2021-12-16 23:59:59,81.63480882094882,c
2021-12-17 00:00:00,-58.32640398359763,
2021-12-17 03:30:00,-89.2275434099065,
2021-12-17 04:00:00,-175.17500148915678,
2021-12-17 06:00:00,-332.02034505332995,
2021-12-17 08:00:00,-302.90380054071466,
2021-12-17 10:30:00,-260.65994584611144,
2021-12-17 11:00:00,-282.36540462137236,
2021-12-17 23:59:59,-244.93728346381067,e
2021-12-20 00:00:00,-109.64439584065622,
2021-12-20 03:30:00,-171.91981023356675,
2021-12-20 04:00:00,-166.08195351923496,
2021-12-20 06:00:00,-152.16478061369708,
