date,EU_MDAX_2022_Q3,meta
2022-08-05 00:00:00,-592.4693424738655,
2022-08-05 03:30:00,-610.9667158008767,
2022-08-05 04:00:00,-592.4170919187532,
2022-08-05 06:00:00,-673.8348467448589,
2022-08-05 08:00:00,-669.7152677454676,
2022-08-05 10:30:00,-655.4102351746039,
2022-08-05 11:00:00,-696.5837419592353,
2022-08-05 23:59:59,-712.9804524336241,w
2022-08-08 00:00:00,-705.7729097994953,
2022-08-08 03:30:00,-671.5670095157025,
2022-08-08 04:00:00,-641.4777666415844,
2022-08-08 06:00:00,-646.764603179282,
2022-08-08 08:00:00,-665.8403453137385,
2022-08-08 10:30:00,-669.6286974016328,
2022-08-08 11:00:00,-655.505117937488,
2022-08-08 23:59:59,-634.769604641602,c
2022-08-09 00:00:00,-610.5322037253652,
2022-08-09 03:30:00,-547.7096555809803,
2022-08-09 04:00:00,-554.7272561566981,
2022-08-09 06:00:00,-529.126520617918,
2022-08-09 08:00:00,-528.5397435353618,
2022-08-09 10:30:00,-524.0472855461974,
2022-08-09 11:00:00,-544.2012395297377,
2022-08-09 23:59:59,-572.1902542256144,c
2022-08-10 00:00:00,-561.9047197138402,
2022-08-10 03:30:00,-581.0394709887319,
2022-08-10 04:00:00,-599.2364351264214,
2022-08-10 06:00:00,-576.9146024336724,
2022-08-10 08:00:00,-578.7524624755074,
2022-08-10 10:30:00,-646.3432027121626,
2022-08-10 11:00:00,-676.1160745239391,
2022-08-10 23:59:59,-694.6112829766445,c
2022-08-11 00:00:00,-688.3369181181056,
2022-08-11 03:30:00,-702.7863276727124,
2022-08-11 04:00:00,-651.4032804854103,
2022-08-11 06:00:00,-725.3342852507856,
2022-08-11 08:00:00,-743.6694985787507,
2022-08-11 10:30:00,-791.6695837423151,
2022-08-11 11:00:00,-763.5265000321583,
2022-08-11 23:59:59,-727.0791123267061,c
2022-08-12 00:00:00,-771.2329233272093,
2022-08-12 03:30:00,-786.5107399666609,
2022-08-12 04:00:00,-738.0966239506903,
2022-08-12 06:00:00,-758.0929879814641,
2022-08-12 08:00:00,-756.3436859971126,
2022-08-12 10:30:00,-813.1609751211391,
2022-08-12 11:00:00,-795.8164763294371,
2022-08-12 23:59:59,-795.3250780663591,w
2022-08-15 00:00:00,-804.9385301905724,
2022-08-15 03:30:00,-751.1202895939607,
2022-08-15 04:00:00,-773.8447655996973,
2022-08-15 06:00:00,-740.9908322946496,
2022-08-15 08:00:00,-772.5190300394278,
2022-08-15 10:30:00,-771.6466989986837,
2022-08-15 11:00:00,-761.0731497557435,
2022-08-15 23:59:59,-760.5152950856154,c
2022-08-16 00:00:00,-766.8960177998207,
2022-08-16 03:30:00,-667.9821035266267,
2022-08-16 04:00:00,-689.994298008279,
2022-08-16 06:00:00,-651.6524714626228,
2022-08-16 08:00:00,-663.0306322125448,
2022-08-16 10:30:00,-608.8596257736156,
2022-08-16 11:00:00,-613.6870517755121,
2022-08-16 23:59:59,-626.151786473944,c
2022-08-17 00:00:00,-628.125155101364,
2022-08-17 03:30:00,-572.3505203769596,
2022-08-17 04:00:00,-492.79255641309555,
2022-08-17 06:00:00,-524.829435177556,
2022-08-17 08:00:00,-546.059594591982,
2022-08-17 10:30:00,-559.2299353835767,
2022-08-17 11:00:00,-562.9652905745909,
2022-08-17 23:59:59,-553.959639855912,c
2022-08-18 00:00:00,-549.579428290551,
2022-08-18 03:30:00,-547.9179225283392,
2022-08-18 04:00:00,-511.69939914893985,
2022-08-18 06:00:00,-510.9769455618916,
2022-08-18 08:00:00,-478.8795138930345,
2022-08-18 10:30:00,-499.7454621143495,
2022-08-18 11:00:00,-491.2926765638613,
2022-08-18 23:59:59,-474.9943267812448,c
2022-08-19 00:00:00,-478.53959779798424,
2022-08-19 03:30:00,-510.1233697768703,
2022-08-19 04:00:00,-511.39709111944535,
2022-08-19 06:00:00,-482.32046732464437,
2022-08-19 08:00:00,-485.22232834668625,
2022-08-19 10:30:00,-455.3668835703352,
2022-08-19 11:00:00,-456.2794990994091,
2022-08-19 23:59:59,-437.81822610899735,w
2022-08-22 00:00:00,-409.8400930074049,
2022-08-22 03:30:00,-424.4467959634203,
2022-08-22 04:00:00,-431.2442226035769,
2022-08-22 06:00:00,-425.6281749894754,
2022-08-22 08:00:00,-415.30693253503114,
2022-08-22 10:30:00,-443.41652541940107,
2022-08-22 11:00:00,-415.25187280547834,
2022-08-22 23:59:59,-435.60669645927646,c
2022-08-23 00:00:00,-436.44935115905105,
2022-08-23 03:30:00,-429.4933574815959,
2022-08-23 04:00:00,-397.4623808953909,
2022-08-23 06:00:00,-416.58075461008957,
2022-08-23 08:00:00,-432.7423923145832,
2022-08-23 10:30:00,-422.85608582842724,
2022-08-23 11:00:00,-408.20560995710935,
2022-08-23 23:59:59,-411.8690789236873,c
2022-08-24 00:00:00,-394.4209258903386,
2022-08-24 03:30:00,-367.39978696196636,
2022-08-24 04:00:00,-360.5776590552571,
2022-08-24 06:00:00,-317.73757344660817,
2022-08-24 08:00:00,-310.49721376672414,
2022-08-24 10:30:00,-312.5770801408046,
2022-08-24 11:00:00,-327.61203364904077,
2022-08-24 23:59:59,-310.9253309572348,c
2022-08-25 00:00:00,-299.0992469079813,
2022-08-25 03:30:00,-262.04911775668415,
2022-08-25 04:00:00,-275.16060353843477,
2022-08-25 06:00:00,-276.70192589417843,
2022-08-25 08:00:00,-258.6019136780974,
2022-08-25 10:30:00,-272.83353614413454,
2022-08-25 11:00:00,-282.56589845435064,
2022-08-25 23:59:59,-254.7478296158681,c
2022-08-26 00:00:00,-274.61752860743854,
2022-08-26 03:30:00,-251.27083637757983,
2022-08-26 04:00:00,-249.93766148945224,
2022-08-26 06:00:00,-245.3715639128916,
2022-08-26 08:00:00,-265.47151726116863,
2022-08-26 10:30:00,-249.228531394647,
