date,EU_MSCI_DM_SC_ALL_2021_Q4,meta
2021-09-30 00:00:00,-651.8903299436724,
2021-09-30 03:30:00,-616.3379351665826,
2021-09-30 04:00:00,-605.5831627004127,
2021-09-30 06:00:00,-642.3477725056173,
2021-09-30 08:00:00,-665.5073695374431,
2021-09-30 10:30:00,-639.0936481347826,
2021-09-30 11:00:00,-635.0413039568148,
2021-09-30 23:59:59,-637.8828914636051,c
2021-10-01 00:00:00,-697.1632829125765,
2021-10-01 03:30:00,-698.5605514049066,
2021-10-01 04:00:00,-678.1486914787583,
2021-10-01 06:00:00,-649.6711728770069,
2021-10-01 08:00:00,-599.2848501050648,
2021-10-01 10:30:00,-624.6807101225486,
2021-10-01 11:00:00,-613.5763053440314,
2021-10-01 23:59:59,-631.0767474480162,w
2021-10-04 00:00:00,-626.0129611115917,
2021-10-04 03:30:00,-667.8195874082594,
2021-10-04 04:00:00,-660.2779368658184,
2021-10-04 06:00:00,-656.9588047088673,
2021-10-04 08:00:00,-664.7484601097112,
2021-10-04 10:30:00,-690.8947565015897,
2021-10-04 11:00:00,-717.5662444922636,
2021-10-04 23:59:59,-737.6728152456599,c
2021-10-05 00:00:00,-741.3236622319155,
2021-10-05 03:30:00,-722.6235776937019,
2021-10-05 04:00:00,-767.453405880211,
2021-10-05 06:00:00,-692.2015291946473,
2021-10-05 08:00:00,-694.4101433332644,
2021-10-05 10:30:00,-694.1123214423324,
2021-10-05 11:00:00,-685.465669915704,
2021-10-05 23:59:59,-681.5974302125232,c
2021-10-06 00:00:00,-700.0044058680214,
2021-10-06 03:30:00,-770.8972487512583,
2021-10-06 04:00:00,-787.6798292307749,
2021-10-06 06:00:00,-824.9734218069034,
2021-10-06 08:00:00,-819.4673444503587,
2021-10-06 10:30:00,-787.6638511572764,
2021-10-06 11:00:00,-781.2799964568867,
2021-10-06 23:59:59,-777.0368072519623,c
2021-10-07 00:00:00,-716.234840785798,
2021-10-07 03:30:00,-752.9349010555161,
2021-10-07 04:00:00,-740.6402548370597,
2021-10-07 06:00:00,-766.0175853774954,
2021-10-07 08:00:00,-737.8430923779297,
