date,EU_MSCI_EM_AD_2021_Q4,meta
2021-09-30 00:00:00,-692.2674257684284,
2021-09-30 03:30:00,-655.0755432332662,
2021-09-30 04:00:00,-681.0326232979369,
2021-09-30 06:00:00,-675.6068323543022,
2021-09-30 08:00:00,-665.7483122623653,
2021-09-30 10:30:00,-640.8985069760092,
2021-09-30 11:00:00,-640.8985069760092,
2021-09-30 23:59:59,-660.7406734276174,c
2021-10-01 00:00:00,-682.8082023072748,
2021-10-01 03:30:00,-688.3246900250106,
2021-10-01 04:00:00,-674.5085721460764,
2021-10-01 06:00:00,-675.4507687032055,
2021-10-01 08:00:00,-657.1451293843347,
2021-10-01 10:30:00,-660.5438513618701,
2021-10-01 11:00:00,-660.5438513618701,
2021-10-01 23:59:59,-695.4189077149367,w
2021-10-04 00:00:00,-679.6542587903441,
2021-10-04 03:30:00,-737.0232575784776,
2021-10-04 04:00:00,-720.330614741848,
2021-10-04 06:00:00,-716.6564027892618,
2021-10-04 08:00:00,-721.0479477823155,
2021-10-04 10:30:00,-739.0005332019409,
2021-10-04 11:00:00,-739.0005332019409,
2021-10-04 23:59:59,-737.9787931586288,c
2021-10-05 00:00:00,-720.6390667248161,
2021-10-05 03:30:00,-709.9175252206387,
2021-10-05 04:00:00,-700.5569809387362,
2021-10-05 06:00:00,-597.5558355267221,
2021-10-05 08:00:00,-621.2485763750137,
2021-10-05 10:30:00,-607.8636674698973,
2021-10-05 11:00:00,-607.8636674698973,
2021-10-05 23:59:59,-610.2953530550876,c
2021-10-06 00:00:00,-616.6001045610537,
2021-10-06 03:30:00,-590.6021778220602,
2021-10-06 04:00:00,-562.4121634844996,
2021-10-06 06:00:00,-568.6618619357196,
2021-10-06 08:00:00,-580.1961667566011,
2021-10-06 10:30:00,-523.8455976584646,
2021-10-06 11:00:00,-523.8455976584646,
2021-10-06 23:59:59,-534.6304743281944,c
2021-10-07 00:00:00,-578.7679675305044,
2021-10-07 03:30:00,-497.2506362166714,
2021-10-07 04:00:00,-494.95937187986783,
2021-10-07 06:00:00,-456.3000461716729,
2021-10-07 08:00:00,-426.3774947103757,
2021-10-07 10:30:00,-452.66053784697215,
2021-10-07 11:00:00,-452.66053784697215,
2021-10-07 23:59:59,-460.5425393100304,c
2021-10-08 00:00:00,-414.82870706478207,
2021-10-08 03:30:00,-407.1148600486322,
2021-10-08 04:00:00,-422.55491051080753,
2021-10-08 06:00:00,-465.31228005237426,
2021-10-08 08:00:00,-467.52523343376015,
2021-10-08 10:30:00,-516.0614555227621,
2021-10-08 11:00:00,-516.0614555227621,
2021-10-08 23:59:59,-537.7831524140711,w
2021-10-11 00:00:00,-569.3099332728652,
2021-10-11 03:30:00,-506.8179703351725,
2021-10-11 04:00:00,-527.6068133905501,
2021-10-11 06:00:00,-525.229023951646,
2021-10-11 08:00:00,-499.4944580924948,
2021-10-11 10:30:00,-534.9732075746069,
2021-10-11 11:00:00,-534.9732075746069,
2021-10-11 23:59:59,-522.0197619846731,c
2021-10-12 00:00:00,-525.1724400705516,
2021-10-12 03:30:00,-518.3278752623064,
2021-10-12 04:00:00,-492.2907102095578,
2021-10-12 06:00:00,-432.58554427350646,
2021-10-12 08:00:00,-386.9279503729522,
2021-10-12 10:30:00,-425.7796632342652,
2021-10-12 11:00:00,-425.7796632342652,
2021-10-12 23:59:59,-416.40504610771677,c
2021-10-13 00:00:00,-362.8101234682854,
2021-10-13 03:30:00,-359.2209108106417,
2021-10-13 04:00:00,-388.5455063800655,
2021-10-13 06:00:00,-381.8999158188253,
2021-10-13 08:00:00,-407.1673121422118,
2021-10-13 10:30:00,-403.7268626562254,
2021-10-13 11:00:00,-403.7268626562254,
2021-10-13 23:59:59,-436.89804636941335,c
2021-10-14 00:00:00,-364.38583681279306,
2021-10-14 03:30:00,-355.40176380904813,
2021-10-14 04:00:00,-371.37003773237484,
2021-10-14 06:00:00,-392.2389217372838,
2021-10-14 08:00:00,-382.264085157738,
2021-10-14 10:30:00,-417.9565210192741,
2021-10-14 11:00:00,-417.9565210192741,
2021-10-14 23:59:59,-427.43939888650857,c
2021-10-15 00:00:00,-329.70637767225526,
2021-10-15 03:30:00,-388.6662368685593,
2021-10-15 04:00:00,-386.3893551415258,
2021-10-15 06:00:00,-388.7427644009531,
2021-10-15 08:00:00,-390.17719800326086,
2021-10-15 10:30:00,-405.42406739603575,
2021-10-15 11:00:00,-405.42406739603575,
2021-10-15 23:59:59,-427.4393988865104,w
2021-10-18 00:00:00,-399.06529595333996,
2021-10-18 03:30:00,-406.558532416926,
2021-10-18 04:00:00,-420.83251040175674,
2021-10-18 06:00:00,-433.29971475908496,
2021-10-18 08:00:00,-419.75634899781653,
2021-10-18 10:30:00,-412.4411402596379,
2021-10-18 11:00:00,-412.4411402596379,
2021-10-18 23:59:59,-408.5233302643974,c
2021-10-19 00:00:00,-373.8438711238541,
2021-10-19 03:30:00,-433.0542739651519,
2021-10-19 04:00:00,-435.31227199263594,
2021-10-19 06:00:00,-405.21953700487575,
2021-10-19 08:00:00,-418.7402246643651,
2021-10-19 10:30:00,-385.60786375773023,
2021-10-19 11:00:00,-385.60786375773023,
2021-10-19 23:59:59,-373.84387112385593,c
2021-10-20 00:00:00,-389.60579438697823,
2021-10-20 03:30:00,-335.1859675335345,
2021-10-20 04:00:00,-345.2186352652079,
2021-10-20 06:00:00,-320.0100123142565,
2021-10-20 08:00:00,-339.08030268293805,
2021-10-20 10:30:00,-359.11762952415665,
2021-10-20 11:00:00,-359.11762952415665,
2021-10-20 23:59:59,-392.75847375064586,c
2021-10-21 00:00:00,-394.33350125385914,
2021-10-21 03:30:00,-384.8502017216888,
2021-10-21 04:00:00,-389.72627263724826,
2021-10-21 06:00:00,-352.87992434611806,
2021-10-21 08:00:00,-370.7696464379824,
2021-10-21 10:30:00,-410.85095346851995,
2021-10-21 11:00:00,-410.85095346851995,
2021-10-21 23:59:59,-378.57009879414363,c
2021-10-22 00:00:00,-375.41741830220053,
2021-10-22 03:30:00,-342.15532270111544,
2021-10-22 04:00:00,-329.75378051457665,
2021-10-22 06:00:00,-334.1369652443409,
2021-10-22 08:00:00,-309.48518885239537,
2021-10-22 10:30:00,-391.6442707021124,
2021-10-22 11:00:00,-391.6442707021124,
2021-10-22 23:59:59,-391.1808207619142,w
2021-10-25 00:00:00,-383.29826200296156,
2021-10-25 03:30:00,-369.667242606698,
2021-10-25 04:00:00,-339.8535910004666,
2021-10-25 06:00:00,-337.58259291700597,
2021-10-25 08:00:00,-332.10191921108344,
2021-10-25 10:30:00,-332.60459535684095,
2021-10-25 11:00:00,-332.60459535684095,
2021-10-25 23:59:59,-383.29826200295975,c
2021-10-26 00:00:00,-373.8402183217386,
2021-10-26 03:30:00,-367.1836818753818,
2021-10-26 04:00:00,-367.96429712089775,
2021-10-26 06:00:00,-348.2423944403163,
2021-10-26 08:00:00,-337.739861613476,
2021-10-26 10:30:00,-351.55527762757447,
2021-10-26 11:00:00,-351.55527762757447,
2021-10-26 23:59:59,-324.9736593021007,c
2021-10-27 00:00:00,-321.81921391622745,
2021-10-27 03:30:00,-292.59131399834405,
2021-10-27 04:00:00,-345.15677294322086,
2021-10-27 06:00:00,-334.1807196565387,
2021-10-27 08:00:00,-333.32390864543595,
2021-10-27 10:30:00,-336.63381133407347,
2021-10-27 11:00:00,-336.63381133407347,
2021-10-27 23:59:59,-285.56336269879284,c
2021-10-28 00:00:00,-310.78464321218416,
2021-10-28 03:30:00,-241.376499522039,
2021-10-28 04:00:00,-239.5068814238548,
2021-10-28 06:00:00,-278.3028626486903,
2021-10-28 08:00:00,-293.3147741665962,
2021-10-28 10:30:00,-283.45137753072595,
2021-10-28 11:00:00,-283.45137753072595,
2021-10-28 23:59:59,-309.2083017787354,c
2021-10-29 00:00:00,-309.2083017787354,
2021-10-29 03:30:00,-274.3348696343437,
2021-10-29 04:00:00,-260.87480353480896,
2021-10-29 06:00:00,-275.2543666087895,
2021-10-29 08:00:00,-257.2348003058414,
2021-10-29 10:30:00,-272.03145432402744,
2021-10-29 11:00:00,-272.03145432402744,
2021-10-29 23:59:59,-250.53855256935276,w
2021-11-01 00:00:00,-250.53855256935276,
2021-11-01 03:30:00,-250.53855256935276,
2021-11-01 04:00:00,-250.53855256935276,
2021-11-01 06:00:00,-250.53855256935276,
2021-11-01 08:00:00,-250.53855256935276,
2021-11-01 10:30:00,-250.53855256935276,
2021-11-01 11:00:00,-250.53855256935276,
2021-11-01 23:59:59,-250.53855256935276,c
2021-11-02 00:00:00,-255.29471492665652,
2021-11-02 03:30:00,-216.94874543265905,
2021-11-02 04:00:00,-194.04064749616919,
2021-11-02 06:00:00,-145.69681867580584,
2021-11-02 08:00:00,-132.81576753297304,
2021-11-02 10:30:00,-146.13012395919213,
2021-11-02 11:00:00,-146.13012395919213,
2021-11-02 23:59:59,-101.48479773899999,c
2021-11-03 00:00:00,-82.4567667467145,
2021-11-03 03:30:00,-54.542101854882276,
2021-11-03 04:00:00,-30.123244621794584,
2021-11-03 06:00:00,-55.821803251847086,
2021-11-03 08:00:00,-50.06808467155497,
2021-11-03 10:30:00,-82.40993004356642,
2021-11-03 11:00:00,-82.40993004356642,
2021-11-03 23:59:59,-65.01440500378703,c
2021-11-04 00:00:00,-49.155799879368715,
2021-11-04 03:30:00,-43.80171012581195,
2021-11-04 04:00:00,-25.40755650569554,
2021-11-04 06:00:00,-14.892781076012398,
2021-11-04 08:00:00,-15.556505032513087,
2021-11-04 10:30:00,-14.49903522996101,
2021-11-04 11:00:00,-14.49903522996101,
2021-11-04 23:59:59,-69.76950994876279,c
2021-11-05 00:00:00,-4017.659692022132,
2021-11-05 03:30:00,-4019.504302846255,
2021-11-05 04:00:00,-4021.0302018684406,
2021-11-05 06:00:00,-4021.7474999297156,
2021-11-05 08:00:00,-4022.0454135496493,
2021-11-05 10:30:00,-4022.017370695421,
2021-11-05 11:00:00,-4022.017370695421,
2021-11-05 23:59:59,-160.15267171097003,w
2021-11-08 00:00:00,-258.464212761266,
2021-11-08 03:30:00,-95.88936477909374,
2021-11-08 04:00:00,-81.88559704947693,
2021-11-08 06:00:00,-103.24882191523466,
2021-11-08 08:00:00,-101.73525300614529,
2021-11-08 10:30:00,-101.73525300614529,
2021-11-08 11:00:00,-101.73525300614529,
2021-11-08 23:59:59,-109.41123116887866,c
2021-11-09 00:00:00,-109.41123116887866,
2021-11-09 03:30:00,-46.85821388231125,
2021-11-09 04:00:00,-4.364205595938984,
2021-11-09 06:00:00,-3.8849867311128037,
2021-11-09 08:00:00,-66.46141170785813,
