date,EU_MSCI_ESG_2021_Q4,meta
2021-10-14 00:00:00,-1299.0943785066552,
2021-10-14 03:30:00,-1242.2256402471107,
2021-10-14 04:00:00,-1232.2346758117787,
2021-10-14 06:00:00,-1233.8797017534116,
2021-10-14 08:00:00,-1266.468128423728,
2021-10-14 10:30:00,-1315.354666669104,
2021-10-14 11:00:00,-1353.4607587647797,
2021-10-14 23:59:59,-1321.148350310682,c
2021-10-15 00:00:00,-1297.406875949781,
2021-10-15 03:30:00,-1353.2385311476382,
2021-10-15 04:00:00,-1396.2028217969887,
2021-10-15 06:00:00,-1447.27921736692,
2021-10-15 08:00:00,-1469.9799408181402,
2021-10-15 10:30:00,-1432.2417232996877,
2021-10-15 11:00:00,-1420.2738919338071,
2021-10-15 23:59:59,-1468.5756435448307,w
2021-10-18 00:00:00,-1433.016175111437,
2021-10-18 03:30:00,-1451.925955207531,
2021-10-18 04:00:00,-1455.7590251945348,
2021-10-18 06:00:00,-1476.6309807191583,
2021-10-18 08:00:00,-1458.8726970416678,
2021-10-18 10:30:00,-1416.3185853210666,
2021-10-18 11:00:00,-1451.8906095556295,
2021-10-18 23:59:59,-1449.2420542954524,c
2021-10-19 00:00:00,-1452.572501039926,
2021-10-19 03:30:00,-1405.9607322905067,
2021-10-19 04:00:00,-1402.4196851987904,
2021-10-19 06:00:00,-1414.3989320788519,
2021-10-19 08:00:00,-1412.094858938743,
2021-10-19 10:30:00,-1485.817448922613,
2021-10-19 11:00:00,-1493.8554556180338,
2021-10-19 23:59:59,-1490.120572204003,c
2021-10-20 00:00:00,-1441.206642206906,
2021-10-20 03:30:00,-1412.8167513705866,
2021-10-20 04:00:00,-1388.5641538021296,
2021-10-20 06:00:00,-1376.7058112609734,
2021-10-20 08:00:00,-1400.770694538453,
2021-10-20 10:30:00,-1341.2760758024401,
2021-10-20 11:00:00,-1316.4453078252363,
2021-10-20 23:59:59,-1349.9374549884865,c
2021-10-21 00:00:00,-1414.3273182402427,
2021-10-21 03:30:00,-1480.2612674644402,
2021-10-21 04:00:00,-1465.5909241202362,
2021-10-21 06:00:00,-1375.0690471433059,
2021-10-21 08:00:00,-1445.8592733466376,
2021-10-21 10:30:00,-1489.6401038522208,
2021-10-21 11:00:00,-1471.9288627910955,
2021-10-21 23:59:59,-1437.77809221897,c
2021-10-22 00:00:00,-1331.8939978006329,
2021-10-22 03:30:00,-1311.698069114197,
2021-10-22 04:00:00,-1296.9415166178574,
2021-10-22 06:00:00,-1351.5776108447935,
2021-10-22 08:00:00,-1355.5477678904617,
2021-10-22 10:30:00,-1088.7830349661085,
2021-10-22 11:00:00,-1026.2041339172983,
2021-10-22 23:59:59,-991.6871494205329,w
2021-10-25 00:00:00,-1142.281622869063,
2021-10-25 03:30:00,-1117.6870085223386,
2021-10-25 04:00:00,-1088.735231686816,
2021-10-25 06:00:00,-1081.9507383871019,
2021-10-25 08:00:00,-1033.4054082939806,
2021-10-25 10:30:00,-1026.1721923243895,
2021-10-25 11:00:00,-1074.8902283595357,
2021-10-25 23:59:59,-1116.3082322373825,c
2021-10-26 00:00:00,-1130.905784794983,
2021-10-26 03:30:00,-1157.7427750503562,
2021-10-26 04:00:00,-1150.4804739744682,
2021-10-26 06:00:00,-1167.735123624631,
2021-10-26 08:00:00,-1173.097882137858,
2021-10-26 10:30:00,-1230.16667373067,
2021-10-26 11:00:00,-1197.1913148685999,
2021-10-26 23:59:59,-1141.7137835675317,c
2021-10-27 00:00:00,-1090.6628831523185,
2021-10-27 03:30:00,-1104.729054164182,
2021-10-27 04:00:00,-1118.3021365425147,
2021-10-27 06:00:00,-1057.399268523492,
2021-10-27 08:00:00,-1069.5142078584054,
2021-10-27 10:30:00,-1106.9326263238277,
2021-10-27 11:00:00,-1101.4943412703956,
2021-10-27 23:59:59,-1037.8269738770118,c
2021-10-28 00:00:00,-990.8467293729764,
2021-10-28 03:30:00,-930.4481161931335,
2021-10-28 04:00:00,-953.4523394044572,
2021-10-28 06:00:00,-986.8158227209224,
2021-10-28 08:00:00,-990.8269580030319,
2021-10-28 10:30:00,-1023.4126008592534,
2021-10-28 11:00:00,-1025.9992513208967,
2021-10-28 23:59:59,-1016.5936941307068,c
2021-10-29 00:00:00,-1016.5936941307068,
2021-10-29 03:30:00,-1029.6078914895825,
2021-10-29 04:00:00,-1084.3135567045506,
2021-10-29 06:00:00,-1079.2636612891392,
2021-10-29 08:00:00,-1057.3370032571438,
2021-10-29 10:30:00,-1188.6298358498884,
2021-10-29 11:00:00,-1152.681180510197,
2021-10-29 23:59:59,-1156.6525210684595,w
2021-11-01 00:00:00,-1156.6525210684595,
2021-11-01 03:30:00,-1156.6525210684595,
2021-11-01 04:00:00,-1156.6525210684595,
2021-11-01 06:00:00,-1149.614027829146,
2021-11-01 08:00:00,-1147.6092567318447,
2021-11-01 10:30:00,-1149.2477439510785,
2021-11-01 11:00:00,-1148.8992718981822,
2021-11-01 23:59:59,-1143.0174936378057,c
2021-11-02 00:00:00,-1170.2966847904459,
2021-11-02 03:30:00,-1099.2514233677716,
2021-11-02 04:00:00,-1087.7756920639013,
2021-11-02 06:00:00,-1126.52698025354,
2021-11-02 08:00:00,-1200.575061588881,
2021-11-02 10:30:00,-1157.4487219834846,
2021-11-02 11:00:00,-1140.0338776003796,
2021-11-02 23:59:59,-1127.0249414998038,c
2021-11-03 00:00:00,-1146.2105860404909,
2021-11-03 03:30:00,-1152.7146566607607,
2021-11-03 04:00:00,-1132.0724783058936,
2021-11-03 06:00:00,-1163.7294359605712,
2021-11-03 08:00:00,-1170.1715417712112,
2021-11-03 10:30:00,-1305.9031959538002,
2021-11-03 11:00:00,-1270.084291345946,
2021-11-03 23:59:59,-1255.942874067894,c
2021-11-04 00:00:00,-1129.4018687049515,
2021-11-04 03:30:00,-1128.0103752841965,
2021-11-04 04:00:00,-1166.8654573096474,
2021-11-04 06:00:00,-1116.3329609501811,
2021-11-04 08:00:00,-1101.9121912258697,
2021-11-04 10:30:00,-1138.2215514201594,
2021-11-04 11:00:00,-1136.276852035689,
2021-11-04 23:59:59,-1194.8947726377146,c
2021-11-05 00:00:00,-6243.480929088751,
2021-11-05 03:30:00,-6243.893940436611,
2021-11-05 04:00:00,-6243.706911778434,
2021-11-05 06:00:00,-6228.298964190039,
2021-11-05 08:00:00,-6235.121927785141,
2021-11-05 10:30:00,-6229.987402861788,
2021-11-05 11:00:00,-1229.5507818828269,
2021-11-05 23:59:59,-1260.6655555012999,w
2021-11-08 00:00:00,-1071.0452154095815,
2021-11-08 03:30:00,-1117.50163746846,
2021-11-08 04:00:00,-1156.340467813725,
2021-11-08 06:00:00,-1196.5243689021677,
2021-11-08 08:00:00,-1220.3012952426884,
2021-11-08 10:30:00,-1201.0789583541305,
2021-11-08 11:00:00,-1199.3685333449453,
2021-11-08 23:59:59,-1190.0631646794131,c
2021-11-09 00:00:00,-1163.207484899292,
2021-11-09 03:30:00,-1248.4684273044845,
2021-11-09 04:00:00,-1235.4630217442477,
2021-11-09 06:00:00,-1196.4491274789239,
2021-11-09 08:00:00,-1192.0110608838422,
2021-11-09 10:30:00,-1162.1730526364436,
2021-11-09 11:00:00,-1163.8282350710833,
2021-11-09 23:59:59,-1133.2347376072335,c
2021-11-10 00:00:00,-1080.7253258009214,
