date,EU_QUARTERLY_UW_2021_Q4,meta
2021-10-08 00:00:00,-367.9583053461927,
2021-10-08 03:30:00,-319.7401421518622,
2021-10-08 04:00:00,-291.48005602190847,
2021-10-08 06:00:00,-372.8404991849545,
2021-10-08 08:00:00,-368.74974050768026,
2021-10-08 10:30:00,-352.9442107138764,
2021-10-08 11:00:00,-346.3960564067986,
2021-10-08 23:59:59,-365.68226609262456,w
2021-10-11 00:00:00,-334.1496207902361,
2021-10-11 03:30:00,-303.95250222087896,
2021-10-11 04:00:00,-304.90077767094147,
2021-10-11 06:00:00,-330.58927593254873,
2021-10-11 08:00:00,-358.01911907495344,
2021-10-11 10:30:00,-362.59418514871425,
2021-10-11 11:00:00,-399.0958871616158,
2021-10-11 23:59:59,-408.5122531194537,c
2021-10-12 00:00:00,-425.7683065669738,
2021-10-12 03:30:00,-424.58436098321704,
2021-10-12 04:00:00,-422.56893578722804,
2021-10-12 06:00:00,-420.3523720625591,
2021-10-12 08:00:00,-383.4791042018302,
2021-10-12 10:30:00,-419.10030029132133,
2021-10-12 11:00:00,-419.87895455246644,
2021-10-12 23:59:59,-403.44878008502985,c
2021-10-13 00:00:00,-398.9885864110057,
2021-10-13 03:30:00,-409.2714345604418,
2021-10-13 04:00:00,-414.4397220831654,
2021-10-13 06:00:00,-389.85263794012053,
2021-10-13 08:00:00,-384.5486798569966,
2021-10-13 10:30:00,-371.3955458872572,
2021-10-13 11:00:00,-357.3522786811088,
2021-10-13 23:59:59,-339.5884289884326,c
2021-10-14 00:00:00,-286.2706694936628,
2021-10-14 03:30:00,-206.1087067807016,
2021-10-14 04:00:00,-210.61103015369417,
2021-10-14 06:00:00,-199.58484361938793,
2021-10-14 08:00:00,-174.26434319487214,
2021-10-14 10:30:00,-199.90035167938163,
2021-10-14 11:00:00,-200.15849935548135,
2021-10-14 23:59:59,-219.10419024060377,c
2021-10-15 00:00:00,-226.9671903181187,
2021-10-15 03:30:00,-223.24904561633298,
2021-10-15 04:00:00,-193.62669988911125,
2021-10-15 06:00:00,-141.91132411460376,
2021-10-15 08:00:00,-97.4388668308984,
2021-10-15 10:30:00,-179.87305612339867,
2021-10-15 11:00:00,-200.28159746045503,
2021-10-15 23:59:59,-197.78768533464677,w
2021-10-18 00:00:00,-178.3412749152693,
2021-10-18 03:30:00,-185.02849727425792,
2021-10-18 04:00:00,-182.02565085202775,
2021-10-18 06:00:00,-100.09722128201088,
2021-10-18 08:00:00,-83.9991601055599,
2021-10-18 10:30:00,-18.82235544062337,
2021-10-18 11:00:00,0.2265726961772998,
2021-10-18 23:59:59,12.586355364957853,c
2021-10-19 00:00:00,30.057968158710764,
2021-10-19 03:30:00,-6.922440986421634,
2021-10-19 04:00:00,-21.23840429018378,
2021-10-19 06:00:00,-55.32621331312612,
