date,FTCS_2022_Q2,meta
2022-03-24 00:00:00,-62.833281018351414,
2022-03-24 10:00:00,-42.120161908609646,
2022-03-24 10:30:00,-40.52443240066668,
2022-03-24 12:00:00,-50.135321083080214,
2022-03-24 13:30:00,-47.51636675310837,
2022-03-24 15:00:00,-50.865770847657245,
2022-03-24 15:30:30,-50.865770847657245,
2022-03-24 23:59:59,-51.45990673795501,c
2022-03-25 00:00:00,-52.74592910980573,
2022-03-25 10:00:00,-40.87340642008692,
2022-03-25 10:30:00,-37.65813728034996,
2022-03-25 12:00:00,-37.48781997052535,
2022-03-25 13:30:00,-36.03715977381924,
2022-03-25 15:00:00,-35.792325181759225,
2022-03-25 15:30:30,-35.792325181759225,
2022-03-25 23:59:59,-30.93198890814992,w
2022-03-28 00:00:00,-45.18288491541,
2022-03-28 10:00:00,-44.101238214854874,
2022-03-28 10:30:00,-29.735088002814365,
2022-03-28 12:00:00,-31.522488240065314,
2022-03-28 13:30:00,-31.518859863876514,
2022-03-28 15:00:00,-33.31358575339971,
2022-03-28 15:30:30,-33.31358575339971,
2022-03-28 23:59:59,-34.459871139851145,c
2022-03-29 00:00:00,-61.038767157847275,
2022-03-29 10:00:00,-89.09027928892593,
2022-03-29 10:30:00,-76.39915953739103,
2022-03-29 12:00:00,-82.48394743777456,
2022-03-29 13:30:00,-86.12628884749145,
2022-03-29 15:00:00,-81.4977822880216,
2022-03-29 15:30:30,-81.4977822880216,
2022-03-29 23:59:59,-76.07760059296032,c
2022-03-30 00:00:00,-61.48112007244194,
2022-03-30 10:00:00,-50.488130667251795,
2022-03-30 10:30:00,-44.46414513921485,
2022-03-30 12:00:00,-48.05725174180762,
2022-03-30 13:30:00,-51.51746123633154,
2022-03-30 15:00:00,-49.25046502320362,
2022-03-30 15:30:30,-49.25046502320362,
2022-03-30 23:59:59,-47.06382385189514,c
2022-03-31 00:00:00,-42.49631544042694,
2022-03-31 10:00:00,-43.111114484771605,
2022-03-31 10:30:00,-40.11988595492343,
2022-03-31 12:00:00,-30.705304806490005,
2022-03-31 13:30:00,-17.975314407982864,
2022-03-31 15:00:00,-18.479311796452293,
2022-03-31 15:30:30,-18.479311796452293,s
2022-03-31 23:59:59,-20.831070760949245,c
2022-04-01 00:00:00,-20.71464784305843,
2022-04-01 10:00:00,-19.410750717247566,
2022-04-01 10:30:00,-24.3129286074238,
2022-04-01 12:00:00,-22.994331573137515,
2022-04-01 13:30:00,-32.79229176946001,
2022-04-01 15:00:00,-22.214719777794272,
2022-04-01 15:30:30,-22.214719777794272,
2022-04-01 23:59:59,-27.339126932928878,w
2022-04-04 00:00:00,-26.1821770217218,
2022-04-04 10:00:00,-30.22667401713113,
2022-04-04 10:30:00,-26.943067584371903,
2022-04-04 12:00:00,-38.564898973931975,
2022-04-04 13:30:00,-41.909283145503196,
