date,FTSE_EM_ADR_2022_Q3,meta
2022-07-08 00:00:00,-260.24527304288495,
2022-07-08 10:00:00,-328.47271914335397,
2022-07-08 10:30:00,-381.73627402104785,
2022-07-08 12:00:00,-367.2515473491321,
2022-07-08 13:30:00,-372.23054982887925,
2022-07-08 15:00:00,-325.92392642882396,
2022-07-08 15:30:30,-325.92392642882396,
2022-07-08 23:59:59,-329.386739946287,w
2022-07-11 00:00:00,-423.7591225051924,
2022-07-11 10:00:00,-497.9405741562541,
2022-07-11 10:30:00,-492.5854086018944,
2022-07-11 12:00:00,-547.677638939258,
2022-07-11 13:30:00,-472.3919527581038,
2022-07-11 15:00:00,-455.8348483423615,
2022-07-11 15:30:30,-455.8348483423615,
2022-07-11 23:59:59,-422.5414501067926,c
2022-07-12 00:00:00,-462.7381086276009,
2022-07-12 10:00:00,-568.8779225295616,
2022-07-12 10:30:00,-581.51662973152,
2022-07-12 12:00:00,-586.867527852999,
2022-07-12 13:30:00,-587.9771423659076,
2022-07-12 15:00:00,-554.2302171584834,
2022-07-12 15:30:30,-554.2302171584834,
2022-07-12 23:59:59,-572.6133991790216,c
2022-07-13 00:00:00,-684.0506703465376,
2022-07-13 10:00:00,-544.5003535908768,
2022-07-13 10:30:00,-481.48206618314725,
2022-07-13 12:00:00,-434.1870728487397,
2022-07-13 13:30:00,-409.7492159973499,
2022-07-13 15:00:00,-462.8711725964181,
2022-07-13 15:30:30,-462.8711725964181,
2022-07-13 23:59:59,-460.0841869660412,c
2022-07-14 00:00:00,-475.04489800511874,
2022-07-14 10:00:00,-492.5606751648629,
2022-07-14 10:30:00,-587.5615567643918,
2022-07-14 12:00:00,-508.8340823566473,
2022-07-14 13:30:00,-509.19335296624604,
2022-07-14 15:00:00,-464.2721362167781,
2022-07-14 15:30:30,-464.2721362167781,
2022-07-14 23:59:59,-474.51833207536174,c
2022-07-15 00:00:00,-562.9042620193536,
2022-07-15 10:00:00,-803.5471273069043,
2022-07-15 10:30:00,-689.702110693358,
2022-07-15 12:00:00,-659.0435969134769,
2022-07-15 13:30:00,-597.6636207327351,
2022-07-15 15:00:00,-538.9344168519906,
2022-07-15 15:30:30,-538.9344168519906,
2022-07-15 23:59:59,-484.17994512702717,w
2022-07-18 00:00:00,-323.31207316518294,
2022-07-18 10:00:00,-249.27902217363453,
2022-07-18 10:30:00,-202.86690904739817,
2022-07-18 12:00:00,-214.67164167690225,
2022-07-18 13:30:00,-240.62456058186854,
2022-07-18 15:00:00,-255.4679985180619,
2022-07-18 15:30:30,-255.4679985180619,
2022-07-18 23:59:59,-286.8598280797346,c
2022-07-19 00:00:00,-280.8086912139506,
2022-07-19 10:00:00,-327.819727900785,
2022-07-19 10:30:00,-410.28646787769367,
2022-07-19 12:00:00,-205.6740603071803,
2022-07-19 13:30:00,-214.00484261633665,
2022-07-19 15:00:00,-188.54252071763403,
2022-07-19 15:30:30,-188.54252071763403,
2022-07-19 23:59:59,-197.2765423550277,c
2022-07-20 00:00:00,-200.71828803370772,
2022-07-20 10:00:00,-121.89105424289619,
2022-07-20 10:30:00,-62.33332207773719,
2022-07-20 12:00:00,-104.92832937200956,
2022-07-20 13:30:00,-243.3016673031425,
