date,FT_SECTOR_2021_Q3,meta
2021-06-17 00:00:00,-78.18515527897233,
2021-06-17 10:00:00,-75.22848695978709,
2021-06-17 10:30:00,-83.73849664457178,
2021-06-17 12:00:00,-91.22215364324498,
2021-06-17 13:30:00,-81.12799354617623,
2021-06-17 15:00:00,-78.44666677043861,
2021-06-17 15:30:30,-78.44666677043861,
2021-06-17 23:59:59,-77.62532531551844,c
2021-06-18 00:00:00,-79.80569973582801,
2021-06-18 10:00:00,-70.43848257543736,
2021-06-18 10:30:00,-73.33213691760827,
2021-06-18 12:00:00,-71.97459349314693,
2021-06-18 13:30:00,-70.11111741137736,
2021-06-18 15:00:00,-71.60137312078794,
2021-06-18 15:30:30,-71.60137312078794,q
2021-06-18 23:59:59,-74.38583369391777,w
2021-06-21 00:00:00,-73.76671519321063,
2021-06-21 10:00:00,-69.40455917698019,
2021-06-21 10:30:00,-72.5197785636867,
2021-06-21 12:00:00,-70.62369865058785,
2021-06-21 13:30:00,-69.60585257286661,
2021-06-21 15:00:00,-64.07091954218768,
2021-06-21 15:30:30,-64.07091954218768,
2021-06-21 23:59:59,-66.86782026785804,c
2021-06-22 00:00:00,-62.69385176945101,
2021-06-22 10:00:00,-58.014618758949574,
2021-06-22 10:30:00,-54.91290828343002,
2021-06-22 12:00:00,-48.34075798845323,
2021-06-22 13:30:00,-49.57627337396211,
2021-06-22 15:00:00,-44.246723126131236,
2021-06-22 15:30:30,-44.246723126131236,
2021-06-22 23:59:59,-38.7517348564415,c
2021-06-23 00:00:00,-33.164758346201666,
2021-06-23 10:00:00,-32.47001783338936,
2021-06-23 10:30:00,-30.223862960506647,
2021-06-23 12:00:00,-32.032503104257835,
2021-06-23 13:30:00,-28.334136452717406,
2021-06-23 15:00:00,-25.817756541503535,
2021-06-23 15:30:30,-25.817756541503535,
2021-06-23 23:59:59,-22.984846529478382,c
2021-06-24 00:00:00,-18.398438138022005,
2021-06-24 10:00:00,-17.776138462454185,
2021-06-24 10:30:00,-17.622823707213986,
2021-06-24 12:00:00,-18.596933682118014,
2021-06-24 13:30:00,-22.95225532015913,
2021-06-24 15:00:00,-21.740382253346215,
2021-06-24 15:30:30,-21.740382253346215,
2021-06-24 23:59:59,-24.11499179244774,c
2021-06-25 00:00:00,-16.659874824733603,
2021-06-25 10:00:00,-23.469923112609745,
2021-06-25 10:30:00,-23.22658996618454,
2021-06-25 12:00:00,-24.036204612846145,
