date,MSCI_ESG_2023_Q1,meta
2023-01-12 00:00:00,-98.51122614209044,
2023-01-12 10:00:00,-139.20923669997933,
2023-01-12 10:30:00,-159.58855533716292,
2023-01-12 12:00:00,-172.06496095901457,
2023-01-12 13:30:00,-175.18167559606513,
2023-01-12 15:00:00,-160.59395192605552,
2023-01-12 15:30:30,-160.59395192605552,
2023-01-12 23:59:59,-171.17549172633767,c
2023-01-13 00:00:00,-162.07599795075043,
2023-01-13 10:00:00,-174.7516498822572,
2023-01-13 10:30:00,-158.80248575740256,
2023-01-13 12:00:00,-180.74139549464303,
2023-01-13 13:30:00,-161.97812427734834,
2023-01-13 15:00:00,-152.63504838396875,
2023-01-13 15:30:30,-152.63504838396875,
2023-01-13 23:59:59,-154.5518415110471,w
2023-01-16 00:00:00,-154.5518415110471,
2023-01-16 10:00:00,-154.5518415110471,
2023-01-16 10:30:00,-154.5518415110471,
2023-01-16 12:00:00,-154.5518415110471,
2023-01-16 13:30:00,-154.5518415110471,
2023-01-16 15:00:00,-154.5518415110471,
2023-01-16 15:30:30,-154.5518415110471,
2023-01-16 23:59:59,-154.5518415110471,c
2023-01-17 00:00:00,-168.63670400456726,
2023-01-17 10:00:00,-165.7260645503518,
2023-01-17 10:30:00,-169.3163296228172,
2023-01-17 12:00:00,-160.76188886290925,
2023-01-17 13:30:00,-186.2726358080904,
2023-01-17 15:00:00,-176.59575737544628,
2023-01-17 15:30:30,-176.59575737544628,
2023-01-17 23:59:59,-176.774824432684,c
2023-01-18 00:00:00,-190.22892753578094,
2023-01-18 10:00:00,-189.53785707262523,
2023-01-18 10:30:00,-190.75884967712227,
2023-01-18 12:00:00,-193.45554439606803,
2023-01-18 13:30:00,-184.73805557687797,
2023-01-18 15:00:00,-197.62438936046237,
2023-01-18 15:30:30,-197.62438936046237,
2023-01-18 23:59:59,-186.17189093405273,c
2023-01-19 00:00:00,-189.72242297563935,
2023-01-19 10:00:00,-173.30836413477414,
2023-01-19 10:30:00,-194.82928977162214,
2023-01-19 12:00:00,-191.4443420354421,
2023-01-19 13:30:00,-194.69946827801596,
2023-01-19 15:00:00,-191.64084565868302,
2023-01-19 15:30:30,-191.64084565868302,
2023-01-19 23:59:59,-192.71640693494146,c
2023-01-20 00:00:00,-201.43265126651272,
2023-01-20 10:00:00,-212.5222292390638,
2023-01-20 10:30:00,-198.35951124873827,
2023-01-20 12:00:00,-228.76811847415206,
2023-01-20 13:30:00,-228.8891285211687,
2023-01-20 15:00:00,-231.87840955141223,
2023-01-20 15:30:30,-231.87840955141223,
2023-01-20 23:59:59,-192.54887259335646,w
2023-01-23 00:00:00,-190.75223699568278,
2023-01-23 10:00:00,-187.60209037118716,
2023-01-23 10:30:00,-188.00960720423063,
2023-01-23 12:00:00,-191.11661290210805,
2023-01-23 13:30:00,-188.0880636947286,
2023-01-23 15:00:00,-202.1258381381292,
2023-01-23 15:30:30,-202.1258381381292,
2023-01-23 23:59:59,-192.3688223870697,c
2023-01-24 00:00:00,-270.7586253062923,
2023-01-24 10:00:00,-221.55043398838757,
2023-01-24 10:30:00,-230.37876971349783,
2023-01-24 12:00:00,-204.61375010745246,
2023-01-24 13:30:00,-202.28073305406474,
2023-01-24 15:00:00,-204.1922714559289,
2023-01-24 15:30:30,-204.1922714559289,
2023-01-24 23:59:59,-229.94710422629942,c
2023-01-25 00:00:00,-251.18872486704458,
2023-01-25 10:00:00,-254.52922941223278,
2023-01-25 10:30:00,-253.54520891777406,
2023-01-25 12:00:00,-243.23701974224332,
2023-01-25 13:30:00,-236.32859274874363,
2023-01-25 15:00:00,-249.36084841253796,
2023-01-25 15:30:30,-249.36084841253796,
2023-01-25 23:59:59,-243.3328455992796,c
2023-01-26 00:00:00,-256.00775273349996,
2023-01-26 10:00:00,-240.2227864646727,
2023-01-26 10:30:00,-227.62913432174037,
2023-01-26 12:00:00,-233.90324018120236,
2023-01-26 13:30:00,-243.30950905510986,
2023-01-26 15:00:00,-240.09473968823568,
