date,MSCI_FACT_INTL_2022_Q2,meta
2022-04-14 00:00:00,-218.87952998298869,
2022-04-14 10:00:00,-196.74751956766272,
2022-04-14 10:30:00,-192.9287609553119,
2022-04-14 12:00:00,-184.83649077415083,
2022-04-14 13:30:00,-170.62575730896745,
2022-04-14 15:00:00,-171.538770664156,
2022-04-14 15:30:30,-171.538770664156,
2022-04-14 23:59:59,-168.69822161888396,c
2022-04-15 00:00:00,-168.69822161888396,
2022-04-15 10:00:00,-168.69822161888396,
2022-04-15 10:30:00,-168.69822161888396,
2022-04-15 12:00:00,-168.69822161888396,
2022-04-15 13:30:00,-168.69822161888396,
2022-04-15 15:00:00,-168.69822161888396,
2022-04-15 15:30:30,-168.69822161888396,
2022-04-15 23:59:59,-168.69822161888396,w
2022-04-18 00:00:00,-150.94106805366937,
2022-04-18 10:00:00,-143.48087456573975,
2022-04-18 10:30:00,-163.3608259903027,
2022-04-18 12:00:00,-148.4191237472935,
2022-04-18 13:30:00,-138.4249957802402,
2022-04-18 15:00:00,-152.0812238162979,
2022-04-18 15:30:30,-152.0812238162979,
2022-04-18 23:59:59,-151.75798922056475,c
2022-04-19 00:00:00,-147.69511913915247,
2022-04-19 10:00:00,-174.9837903746762,
2022-04-19 10:30:00,-174.997403818409,
2022-04-19 12:00:00,-204.15530905721963,
2022-04-19 13:30:00,-205.4220795514828,
2022-04-19 15:00:00,-205.21968568999705,
2022-04-19 15:30:30,-205.21968568999705,
2022-04-19 23:59:59,-211.1991114263034,c
2022-04-20 00:00:00,-240.2760310198014,
2022-04-20 10:00:00,-212.5949143093178,
2022-04-20 10:30:00,-210.5692763818956,
2022-04-20 12:00:00,-206.48137647051055,
2022-04-20 13:30:00,-203.40148351588806,
2022-04-20 15:00:00,-194.07913875604896,
2022-04-20 15:30:30,-194.07913875604896,
2022-04-20 23:59:59,-183.46740833191595,c
2022-04-21 00:00:00,-207.40103481670855,
2022-04-21 10:00:00,-207.996670312851,
2022-04-21 10:30:00,-203.10456500183312,
2022-04-21 12:00:00,-157.98603240428116,
2022-04-21 13:30:00,-165.43912036675505,
2022-04-21 15:00:00,-145.98261715878104,
2022-04-21 15:30:30,-145.98261715878104,
2022-04-21 23:59:59,-149.27880044406308,c
2022-04-22 00:00:00,-156.91447940090524,
2022-04-22 10:00:00,-141.32952722150375,
2022-04-22 10:30:00,-135.6695970156093,
2022-04-22 12:00:00,-141.71817436624482,
2022-04-22 13:30:00,-129.72613779236121,
2022-04-22 15:00:00,-126.51894037549681,
2022-04-22 15:30:30,-126.51894037549681,
2022-04-22 23:59:59,-126.26252498424736,w
2022-04-25 00:00:00,-130.9000967554366,
2022-04-25 10:00:00,-142.09340018260963,
2022-04-25 10:30:00,-166.64306336537257,
2022-04-25 12:00:00,-162.89967207648618,
2022-04-25 13:30:00,-166.9314904952816,
2022-04-25 15:00:00,-150.61770708657684,
2022-04-25 15:30:30,-150.61770708657684,
2022-04-25 23:59:59,-157.96272859821084,c
2022-04-26 00:00:00,-140.97470665240567,
2022-04-26 10:00:00,-99.9552744263801,
2022-04-26 10:30:00,-93.93286200300975,
2022-04-26 12:00:00,-70.91473771134346,
2022-04-26 13:30:00,-75.01177560132948,
2022-04-26 15:00:00,-92.87999089121601,
2022-04-26 15:30:30,-92.87999089121601,
2022-04-26 23:59:59,-75.01052524679835,c
2022-04-27 00:00:00,-82.68427509634407,
2022-04-27 10:00:00,-87.11132579644539,
2022-04-27 10:30:00,-63.05351907473744,
2022-04-27 12:00:00,-45.861440509051135,
2022-04-27 13:30:00,-53.42105014398251,
2022-04-27 15:00:00,-46.2791582234141,
2022-04-27 15:30:30,-46.2791582234141,
2022-04-27 23:59:59,-41.805210431783905,c
2022-04-28 00:00:00,-61.15439947330964,
2022-04-28 10:00:00,-53.17311768689842,
2022-04-28 10:30:00,-45.96706455894932,
2022-04-28 12:00:00,-41.899175110377115,
2022-04-28 13:30:00,-63.914656045439244,
2022-04-28 15:00:00,-64.13903878501281,
2022-04-28 15:30:30,-64.13903878501281,
2022-04-28 23:59:59,-57.643174950409446,c
2022-04-29 00:00:00,-62.9357957592085,
2022-04-29 10:00:00,-88.71162722484596,
2022-04-29 10:30:00,-76.33024611025624,
2022-04-29 12:00:00,-71.04888523096824,
2022-04-29 13:30:00,-59.91813586790434,
2022-04-29 15:00:00,-46.8914222538715,
2022-04-29 15:30:30,-46.8914222538715,s
2022-04-29 23:59:59,-28.04044611413633,w
2022-05-02 00:00:00,-44.613416735477756,
2022-05-02 10:00:00,-88.1160537139121,
2022-05-02 10:30:00,-73.86506678517031,
2022-05-02 12:00:00,-75.07417681813399,
2022-05-02 13:30:00,-70.04715764501256,
2022-05-02 15:00:00,-79.92063032668321,
2022-05-02 15:30:30,-79.92063032668321,
2022-05-02 23:59:59,-93.07933454829458,c
2022-05-03 00:00:00,-79.82109904973643,
2022-05-03 10:00:00,-100.4051943058202,
2022-05-03 10:30:00,-83.51169206550426,
2022-05-03 12:00:00,-72.01863029555844,
2022-05-03 13:30:00,-76.83421706258181,
2022-05-03 15:00:00,-83.08636576139506,
2022-05-03 15:30:30,-83.08636576139506,
2022-05-03 23:59:59,-73.44799510307584,c
2022-05-04 00:00:00,-68.04639817147608,
2022-05-04 10:00:00,-52.39466066786946,
2022-05-04 10:30:00,-48.366070821912786,
2022-05-04 12:00:00,-41.009329231689264,
2022-05-04 13:30:00,-64.06115569052255,
2022-05-04 15:00:00,-79.79610333805999,
2022-05-04 15:30:30,-79.79610333805999,
2022-05-04 23:59:59,-96.24137592971525,c
2022-05-05 00:00:00,-66.87948807476786,
2022-05-05 10:00:00,-48.82767604730162,
2022-05-05 10:30:00,-27.482078855547115,
2022-05-05 12:00:00,-40.4012949268207,
2022-05-05 13:30:00,-33.54970307481173,
2022-05-05 15:00:00,-29.2919756221402,
2022-05-05 15:30:30,-29.2919756221402,
2022-05-05 23:59:59,-34.49641321399801,c
2022-05-06 00:00:00,-23.41877817974151,
2022-05-06 10:00:00,24.17951714033859,
2022-05-06 10:30:00,15.756432525978425,
2022-05-06 12:00:00,8.332040400008395,
2022-05-06 13:30:00,2.426780863816532,
2022-05-06 15:00:00,23.226280349577053,
2022-05-06 15:30:30,23.226280349577053,
2022-05-06 23:59:59,29.14948554198321,w
2022-05-09 00:00:00,38.54454312616281,
2022-05-09 10:00:00,30.121351242853677,
2022-05-09 10:30:00,53.18192262833708,
2022-05-09 12:00:00,51.50493042654921,
2022-05-09 13:30:00,57.30075295847587,
2022-05-09 15:00:00,57.663032454795655,
2022-05-09 15:30:30,57.663032454795655,
2022-05-09 23:59:59,55.8979849758623,c
2022-05-10 00:00:00,30.554692136686924,
2022-05-10 10:00:00,52.8828956961043,
2022-05-10 10:30:00,54.85884517714743,
2022-05-10 12:00:00,52.36529040361353,
2022-05-10 13:30:00,27.064102600123817,
2022-05-10 15:00:00,17.33113260569172,
2022-05-10 15:30:30,17.33113260569172,u
2022-05-10 23:59:59,37.69877186548001,c
2022-05-11 00:00:00,56.03155725058019,
2022-05-11 10:00:00,45.82934617781706,
2022-05-11 10:30:00,47.847793784586884,
2022-05-11 12:00:00,73.17228330841539,
2022-05-11 13:30:00,72.8568680156298,
2022-05-11 15:00:00,86.79338983221334,
2022-05-11 15:30:30,86.79338983221334,
2022-05-11 23:59:59,89.36906473706057,c
2022-05-12 00:00:00,113.24672683931288,
2022-05-12 10:00:00,86.48056940731749,
2022-05-12 10:30:00,54.62461644354261,
2022-05-12 12:00:00,63.262767468348386,
2022-05-12 13:30:00,72.07618977689106,
2022-05-12 15:00:00,87.28162703686434,
2022-05-12 15:30:30,87.28162703686434,
2022-05-12 23:59:59,77.76818838459968,c
2022-05-13 00:00:00,56.71184516794693,
2022-05-13 10:00:00,24.893053072824728,
2022-05-13 10:30:00,18.489396898211055,
2022-05-13 12:00:00,18.95501247121814,
2022-05-13 13:30:00,21.340165363756682,
2022-05-13 15:00:00,26.050695683150536,
2022-05-13 15:30:30,26.050695683150536,
2022-05-13 23:59:59,26.31739908994865,w
2022-05-16 00:00:00,46.27506119679839,
2022-05-16 10:00:00,76.89711305954182,
2022-05-16 10:30:00,57.03790264145522,
2022-05-16 12:00:00,84.2468257110798,
2022-05-16 13:30:00,95.04315399036915,
2022-05-16 15:00:00,92.28144223381588,
2022-05-16 15:30:30,92.28144223381588,
2022-05-16 23:59:59,99.5992961385632,c
2022-05-17 00:00:00,61.74965861560872,
2022-05-17 10:00:00,54.7490381657276,
2022-05-17 10:30:00,82.06824805729894,
2022-05-17 12:00:00,68.20177042967384,
2022-05-17 13:30:00,67.05126196883157,
2022-05-17 15:00:00,56.71252662903112,
2022-05-17 15:30:30,56.71252662903112,
2022-05-17 23:59:59,53.34364066012472,c
2022-05-18 00:00:00,74.19284358185939,
2022-05-18 10:00:00,45.71880211383393,
2022-05-18 10:30:00,34.992941066039236,
2022-05-18 12:00:00,33.84854718781463,
2022-05-18 13:30:00,30.329095468627543,
2022-05-18 15:00:00,30.327321860827965,
2022-05-18 15:30:30,30.327321860827965,
2022-05-18 23:59:59,26.684976968216176,c
2022-05-19 00:00:00,5.998985923749046,
2022-05-19 10:00:00,-13.242215551044524,
2022-05-19 10:30:00,-12.130147585717566,
2022-05-19 12:00:00,-17.547561237662535,
2022-05-19 13:30:00,-9.654227482444298,
2022-05-19 15:00:00,-5.543930713094824,
2022-05-19 15:30:30,-5.543930713094824,
2022-05-19 23:59:59,0.0,a
2022-05-20 00:00:00,-0.20939234585915756,
2022-05-20 10:00:00,17.48709944967635,
2022-05-20 10:30:00,11.338483652345246,
2022-05-20 12:00:00,30.515026969519283,
2022-05-20 13:30:00,39.562693977641686,
2022-05-20 15:00:00,51.22427813294371,
2022-05-20 15:30:30,51.22427813294371,
2022-05-20 23:59:59,34.022457712705545,w
2022-05-23 00:00:00,34.26310900493735,
2022-05-23 10:00:00,64.56979558928276,
2022-05-23 10:30:00,60.94625836835701,
2022-05-23 12:00:00,48.01464863894989,
2022-05-23 13:30:00,42.796582121865185,
2022-05-23 15:00:00,40.81455182586808,
2022-05-23 15:30:30,40.81455182586808,
2022-05-23 23:59:59,35.978778260204365,c
2022-05-24 00:00:00,60.55945791561834,
2022-05-24 10:00:00,122.58216827985183,
2022-05-24 10:30:00,111.40599472851261,
2022-05-24 12:00:00,93.91894467000793,
2022-05-24 13:30:00,95.96768036387977,
2022-05-24 15:00:00,106.60030519621091,
2022-05-24 15:30:30,106.60030519621091,
2022-05-24 23:59:59,111.44302137784405,c
0,111.44302137784405,
0,111.44302137784405,
0,111.44302137784405,
0,111.44302137784405,
0,111.44302137784405,
0,111.44302137784405,
0,111.44302137784405,
0,111.44302137784405,
0,111.44302137784405,
0,111.44302137784405,
0,111.44302137784405,
0,111.44302137784405,
0,111.44302137784405,
0,111.44302137784405,
0,111.44302137784405,
0,111.44302137784405,
0,111.44302137784405,
0,111.44302137784405,
0,111.44302137784405,
0,111.44302137784405,
0,111.44302137784405,
0,111.44302137784405,
0,111.44302137784405,
0,111.44302137784405,
2022-05-25 00:00:00,114.90209113714235,
2022-05-25 10:00:00,133.17272016920924,
2022-05-25 10:30:00,114.21037639177138,
2022-05-25 12:00:00,110.65794969330784,
2022-05-25 13:30:00,105.44474746480273,
2022-05-25 15:00:00,95.17952906664334,
2022-05-25 15:30:30,95.17952906664334,
2022-05-25 23:59:59,96.94293179634371,c
2022-05-26 00:00:00,100.52531796638908,
2022-05-26 10:00:00,91.6292753674868,
2022-05-26 10:30:00,88.83080030021449,
2022-05-26 12:00:00,75.47700005766507,
2022-05-26 13:30:00,52.709117270647084,
2022-05-26 15:00:00,46.91599596170573,
2022-05-26 15:30:30,46.91599596170573,
2022-05-26 23:59:59,44.72178781982734,c
2022-05-27 00:00:00,20.122710162127987,
