date,MSCI_MXN_2023_Q1,meta
2023-01-05 00:00:00,-11.890341557662396,
2023-01-05 10:00:00,-83.05435811133793,
2023-01-05 10:30:00,-126.66546792026566,
2023-01-05 12:00:00,-105.79525643694069,
2023-01-05 13:30:00,-173.45557265174648,
2023-01-05 15:00:00,-254.01180813025167,
2023-01-05 15:30:30,-254.01180813025167,
2023-01-05 23:59:59,-188.44373363672457,c
2023-01-06 00:00:00,-190.2119616351174,
2023-01-06 10:00:00,-160.08649215950572,
2023-01-06 10:30:00,-211.14942050363243,
2023-01-06 12:00:00,-190.37792647919377,
2023-01-06 13:30:00,-321.9829974840177,
2023-01-06 15:00:00,-310.8751681123722,
2023-01-06 15:30:30,-310.8751681123722,
2023-01-06 23:59:59,-244.37468499303213,w
2023-01-09 00:00:00,-222.87433214443263,
2023-01-09 10:00:00,-281.0747347560755,
2023-01-09 10:30:00,-235.09090827707587,
2023-01-09 12:00:00,-246.92458335718766,
2023-01-09 13:30:00,-240.49062764475093,
2023-01-09 15:00:00,-297.45509864421183,
2023-01-09 15:30:30,-297.45509864421183,
2023-01-09 23:59:59,-247.12629142932383,c
2023-01-10 00:00:00,-242.45876046905687,
2023-01-10 10:00:00,-321.6651326418232,
2023-01-10 10:30:00,-331.5008464581606,
2023-01-10 12:00:00,-344.4183304927865,
2023-01-10 13:30:00,-399.1357834803366,
2023-01-10 15:00:00,-347.97712369831606,
2023-01-10 15:30:30,-347.97712369831606,
2023-01-10 23:59:59,-310.0034292874625,c
2023-01-11 00:00:00,-332.1152819597173,
2023-01-11 10:00:00,-376.8741287135854,
2023-01-11 10:30:00,-396.7056799012116,
2023-01-11 12:00:00,-439.9878796819921,
2023-01-11 13:30:00,-490.00108419318167,
2023-01-11 15:00:00,-512.2724171969112,
2023-01-11 15:30:30,-512.2724171969112,
2023-01-11 23:59:59,-386.33683628389736,c
2023-01-12 00:00:00,-379.9007315145791,
2023-01-12 10:00:00,-400.5734964817311,
2023-01-12 10:30:00,-451.24980620870156,
2023-01-12 12:00:00,-469.9709968761108,
2023-01-12 13:30:00,-557.0727055958578,
