date,MSCI_US_AD_HEDGED_2020_Q4,meta
2020-10-06 00:00:00,-103.1735812258941,
2020-10-06 10:00:00,-118.24554454094654,
2020-10-06 10:30:00,-112.34496462244017,
2020-10-06 12:00:00,-97.62137567079272,
2020-10-06 13:30:00,-134.72895782380604,
2020-10-06 15:00:00,-137.56081829284506,
2020-10-06 15:30:30,-137.56081829284506,
2020-10-06 23:59:59,-118.55343110047433,c
2020-10-07 00:00:00,-182.3631441357427,
2020-10-07 10:00:00,-217.174884869699,
2020-10-07 10:30:00,-202.86804490540464,
2020-10-07 12:00:00,-207.16526814563457,
2020-10-07 13:30:00,-202.97686148174935,
2020-10-07 15:00:00,-197.78843063193924,
2020-10-07 15:30:30,-197.78843063193924,
2020-10-07 23:59:59,-185.88876536453049,c
2020-10-08 00:00:00,-167.15972899085307,
2020-10-08 10:00:00,-174.49946139389988,
2020-10-08 10:30:00,-175.750091333098,
2020-10-08 12:00:00,-180.4205205971078,
2020-10-08 13:30:00,-190.18455099601147,
2020-10-08 15:00:00,-190.59170391203546,
2020-10-08 15:30:30,-190.59170391203546,
2020-10-08 23:59:59,-175.5713006483218,c
2020-10-09 00:00:00,-194.09333559868864,
2020-10-09 10:00:00,-235.45745765893184,
2020-10-09 10:30:00,-245.02350870033916,
2020-10-09 12:00:00,-257.9748527450709,
2020-10-09 13:30:00,-241.32482034841897,
2020-10-09 15:00:00,-227.77736974234634,
2020-10-09 15:30:30,-227.77736974234634,
2020-10-09 23:59:59,-228.39982891697264,w
2020-10-12 00:00:00,-212.69184513474957,
2020-10-12 10:00:00,-94.07003111447864,
2020-10-12 10:30:00,-55.256360493474546,
2020-10-12 12:00:00,-78.5797552605441,
2020-10-12 13:30:00,-62.014023063063405,
2020-10-12 15:00:00,-26.43561494867319,
2020-10-12 15:30:30,-26.43561494867319,
2020-10-12 23:59:59,-25.487719233582197,c
2020-10-13 00:00:00,-56.85396286344263,
2020-10-13 10:00:00,-49.503061113350554,
2020-10-13 10:30:00,-35.09283411158685,
2020-10-13 12:00:00,-14.360238137390837,
2020-10-13 13:30:00,-25.71646283274606,
2020-10-13 15:00:00,16.026000923867144,
2020-10-13 15:30:30,16.026000923867144,
2020-10-13 23:59:59,20.875361106018573,c
2020-10-14 00:00:00,4.624763995877402,
2020-10-14 10:00:00,23.324599439940783,
2020-10-14 10:30:00,7.536130114766905,
2020-10-14 12:00:00,0.06125113019950845,
2020-10-14 13:30:00,3.001178850274215,
2020-10-14 15:00:00,19.42915016464596,
2020-10-14 15:30:30,19.42915016464596,
2020-10-14 23:59:59,23.376241506258623,c
2020-10-15 00:00:00,12.645066406491424,
2020-10-15 10:00:00,-19.815506897222264,
2020-10-15 10:30:00,-29.626887219778496,
2020-10-15 12:00:00,-25.45220590847319,
2020-10-15 13:30:00,-27.41594815914243,
2020-10-15 15:00:00,-5.890015817800048,
2020-10-15 15:30:30,-5.890015817800048,
2020-10-15 23:59:59,-28.603638173489372,c
2020-10-16 00:00:00,54.82234448779411,
2020-10-16 10:00:00,38.31735583293957,
2020-10-16 10:30:00,-39.98422580669708,
2020-10-16 12:00:00,-29.400199437676434,
2020-10-16 13:30:00,-36.23495990370935,
2020-10-16 15:00:00,-48.96306612646217,
2020-10-16 15:30:30,-48.96306612646217,
2020-10-16 23:59:59,-45.58765054189652,w
