date,PAR_MIGRATION_20210607,meta
2021-04-02 00:00:00,-481.44497376042386,
2021-04-02 10:00:00,-481.44497376042386,
2021-04-02 10:30:00,-481.44497376042386,
2021-04-02 12:00:00,-481.44497376042386,
2021-04-02 13:30:00,-481.44497376042386,
2021-04-02 15:00:00,-481.44497376042386,
2021-04-02 15:30:30,-481.44497376042386,
2021-04-02 23:59:59,-481.44497376042386,w
2021-04-05 00:00:00,-481.44497376042386,
2021-04-05 10:00:00,-456.2751880967819,
2021-04-05 10:30:00,-452.73249846375427,
2021-04-05 12:00:00,-409.4761545225885,
2021-04-05 13:30:00,-415.9054155087733,
2021-04-05 15:00:00,-415.40628360059316,
2021-04-05 15:30:30,-415.40628360059316,
2021-04-05 23:59:59,-404.8478902337255,c
2021-04-06 00:00:00,-412.32675899147347,
2021-04-06 10:00:00,-453.95766254613113,
2021-04-06 10:30:00,-452.1629509557763,
2021-04-06 12:00:00,-428.02794857824085,
2021-04-06 13:30:00,-410.8826384755393,
2021-04-06 15:00:00,-430.8220977114307,
2021-04-06 15:30:30,-430.8220977114307,
2021-04-06 23:59:59,-410.4889623262692,c
2021-04-07 00:00:00,-406.448946090078,
2021-04-07 10:00:00,-387.4124457127526,
2021-04-07 10:30:00,-387.4629324236741,
2021-04-07 12:00:00,-351.9671517839204,
2021-04-07 13:30:00,-342.55960379385334,
2021-04-07 15:00:00,-331.54012271134224,
2021-04-07 15:30:30,-331.54012271134224,
2021-04-07 23:59:59,-323.0909989557883,c
2021-04-08 00:00:00,-353.32826120235626,
2021-04-08 10:00:00,-354.4052425134743,
2021-04-08 10:30:00,-346.58305328205216,
2021-04-08 12:00:00,-392.06912873816407,
2021-04-08 13:30:00,-381.7268858159595,
2021-04-08 15:00:00,-388.7299076351831,
2021-04-08 15:30:30,-388.7299076351831,
2021-04-08 23:59:59,-392.59376638910373,c
2021-04-09 00:00:00,-364.32373921153425,
2021-04-09 10:00:00,-388.40415757310285,
2021-04-09 10:30:00,-401.05181374971073,
2021-04-09 12:00:00,-412.0763856466928,
2021-04-09 13:30:00,-417.2228153872161,
2021-04-09 15:00:00,-412.72574075355897,
2021-04-09 15:30:30,-412.72574075355897,
2021-04-09 23:59:59,-411.27056998724913,w
2021-04-12 00:00:00,-416.6870028215211,
2021-04-12 10:00:00,-383.4474889189966,
2021-04-12 10:30:00,-380.4576928448886,
2021-04-12 12:00:00,-373.36563103829644,
2021-04-12 13:30:00,-374.28886171791294,
2021-04-12 15:00:00,-365.00305219636226,
2021-04-12 15:30:30,-365.00305219636226,
2021-04-12 23:59:59,-369.7820127110279,c
2021-04-13 00:00:00,-380.58500319115996,
2021-04-13 10:00:00,-361.13934505098854,
2021-04-13 10:30:00,-358.95678937762045,
2021-04-13 12:00:00,-348.8405256373446,
2021-04-13 13:30:00,-346.9274239759759,
2021-04-13 15:00:00,-340.02669841707115,
2021-04-13 15:30:30,-340.02669841707115,
2021-04-13 23:59:59,-354.75163204649,c
2021-04-14 00:00:00,-364.68617642994957,
2021-04-14 10:00:00,-378.1362161871733,
2021-04-14 10:30:00,-360.2314200577691,
2021-04-14 12:00:00,-371.2329355194714,
2021-04-14 13:30:00,-374.05267815592464,
2021-04-14 15:00:00,-352.53232813089727,
2021-04-14 15:30:30,-352.53232813089727,
2021-04-14 23:59:59,-351.16891991927497,c
2021-04-15 00:00:00,-361.6099386322945,
2021-04-15 10:00:00,-354.2947371213376,
2021-04-15 10:30:00,-344.17417384287694,
2021-04-15 12:00:00,-324.6466611110953,
2021-04-15 13:30:00,-305.07975149260415,
2021-04-15 15:00:00,-311.95570839810415,
2021-04-15 15:30:30,-311.95570839810415,
2021-04-15 23:59:59,-323.4115415844771,c
2021-04-16 00:00:00,-341.6578699210139,
2021-04-16 10:00:00,-365.00548817338347,
2021-04-16 10:30:00,-370.10288646918553,
2021-04-16 12:00:00,-380.65472749010627,
2021-04-16 13:30:00,-379.92523740119236,
2021-04-16 15:00:00,-400.29394921852173,
2021-04-16 15:30:30,-400.29394921852173,
2021-04-16 23:59:59,-398.74478001397995,w
2021-04-19 00:00:00,-409.3329232147662,
2021-04-19 10:00:00,-404.77199665754284,
2021-04-19 10:30:00,-388.58449751598226,
2021-04-19 12:00:00,-372.05451368832433,
2021-04-19 13:30:00,-362.53333776307596,
2021-04-19 15:00:00,-371.72287379779607,
2021-04-19 15:30:30,-371.72287379779607,
2021-04-19 23:59:59,-376.46130543572156,c
2021-04-20 00:00:00,-383.02828171596263,
2021-04-20 10:00:00,-394.5631480399026,
2021-04-20 10:30:00,-383.5047746198279,
2021-04-20 12:00:00,-349.60240119551605,
2021-04-20 13:30:00,-350.79491592477757,
2021-04-20 15:00:00,-338.68754204723115,
2021-04-20 15:30:30,-338.68754204723115,
2021-04-20 23:59:59,-375.0016397296374,c
2021-04-21 00:00:00,-364.2604606137879,
2021-04-21 10:00:00,-372.8367568758139,
2021-04-21 10:30:00,-397.2449114855158,
2021-04-21 12:00:00,-403.9573892893119,
2021-04-21 13:30:00,-411.1635733056284,
2021-04-21 15:00:00,-419.2670930720787,
2021-04-21 15:30:30,-419.2670930720787,
2021-04-21 23:59:59,-437.54788799546026,c
2021-04-22 00:00:00,-477.16828125056645,
2021-04-22 10:00:00,-455.03630248182736,
2021-04-22 10:30:00,-438.9643482034382,
2021-04-22 12:00:00,-480.03983850387147,
2021-04-22 13:30:00,-449.5698924116719,
2021-04-22 15:00:00,-435.9219267389626,
2021-04-22 15:30:30,-435.9219267389626,
2021-04-22 23:59:59,-424.23214401074745,c
2021-04-23 00:00:00,-422.0583959229495,
2021-04-23 10:00:00,-459.6386033362434,
2021-04-23 10:30:00,-456.4636865075308,
2021-04-23 12:00:00,-436.390896912416,
2021-04-23 13:30:00,-438.44851135112305,
2021-04-23 15:00:00,-441.039770570853,
2021-04-23 15:30:30,-441.039770570853,p
2021-04-23 23:59:59,-442.49249532545394,w
2021-04-26 00:00:00,-450.1308774015428,
2021-04-26 10:00:00,-418.3620889123352,
2021-04-26 10:30:00,-406.4247794889279,
2021-04-26 12:00:00,-435.03177280472954,
2021-04-26 13:30:00,-435.8780223567452,
2021-04-26 15:00:00,-446.39916353455357,
2021-04-26 15:30:30,-446.39916353455357,
2021-04-26 23:59:59,-451.90181661757435,c
2021-04-27 00:00:00,-463.12569902667707,
2021-04-27 10:00:00,-486.52408317192106,
2021-04-27 10:30:00,-481.0213201763343,
2021-04-27 12:00:00,-483.2829172933254,
2021-04-27 13:30:00,-485.74745589402204,
2021-04-27 15:00:00,-493.02138470391714,
2021-04-27 15:30:30,-493.02138470391714,
2021-04-27 23:59:59,-499.4487489703591,c
2021-04-28 00:00:00,-500.346423403451,
2021-04-28 10:00:00,-459.0258966434575,
2021-04-28 10:30:00,-465.2682392590445,
2021-04-28 12:00:00,-460.326796017274,
2021-04-28 13:30:00,-462.6585183798291,
2021-04-28 15:00:00,-466.7668241731381,
2021-04-28 15:30:30,-466.7668241731381,
2021-04-28 23:59:59,-471.59141357127754,c
2021-04-29 00:00:00,-482.9303135724246,
2021-04-29 10:00:00,-464.6345528827771,
2021-04-29 10:30:00,-450.40527245379917,
2021-04-29 12:00:00,-424.91951301621344,
2021-04-29 13:30:00,-406.6462334639406,
2021-04-29 15:00:00,-422.80877805343033,
2021-04-29 15:30:30,-422.80877805343033,
2021-04-29 23:59:59,-421.88149913782263,c
2021-04-30 00:00:00,-424.7225755095773,
2021-04-30 10:00:00,-424.6930837007031,
2021-04-30 10:30:00,-438.9031680185149,
2021-04-30 12:00:00,-404.98429458778423,
2021-04-30 13:30:00,-402.7243034185901,
2021-04-30 15:00:00,-391.46980106437695,
2021-04-30 15:30:30,-391.46980106437695,
2021-04-30 23:59:59,-414.58479533308065,w
2021-05-03 00:00:00,-433.1029238274181,
2021-05-03 10:00:00,-404.9562717694998,
2021-05-03 10:30:00,-404.5197918277079,
2021-05-03 12:00:00,-395.1078939205658,
2021-05-03 13:30:00,-376.9836049369626,
2021-05-03 15:00:00,-357.2656295446615,
2021-05-03 15:30:30,-357.2656295446615,
2021-05-03 23:59:59,-354.4461402606306,c
2021-05-04 00:00:00,-319.42617736319795,
2021-05-04 10:00:00,-302.21095151155845,
2021-05-04 10:30:00,-336.6232040736008,
2021-05-04 12:00:00,-292.0579850763308,
2021-05-04 13:30:00,-310.4467779092776,
2021-05-04 15:00:00,-313.7594810202779,
2021-05-04 15:30:30,-313.7594810202779,
2021-05-04 23:59:59,-334.4239441457999,c
2021-05-05 00:00:00,-380.7796018718096,
2021-05-05 10:00:00,-358.509830761264,
2021-05-05 10:30:00,-343.19407633292445,
2021-05-05 12:00:00,-356.73546814424265,
2021-05-05 13:30:00,-348.9262147620729,
2021-05-05 15:00:00,-345.0432003470804,
2021-05-05 15:30:30,-345.0432003470804,p
2021-05-05 23:59:59,-336.59324998532963,c
2021-05-06 00:00:00,-318.3818308426669,
2021-05-06 10:00:00,-315.27553065735697,
2021-05-06 10:30:00,-297.90523280195,
2021-05-06 12:00:00,-263.9851513159067,
2021-05-06 13:30:00,-261.71089131147767,
2021-05-06 15:00:00,-244.28894443543345,
2021-05-06 15:30:30,-244.28894443543345,
2021-05-06 23:59:59,-255.49243879489183,c
2021-05-07 00:00:00,-260.38026355707217,
2021-05-07 10:00:00,-233.3168416500527,
2021-05-07 10:30:00,-238.22002147641666,
