date,QCLN_2022_Q3,meta
2022-08-19 00:00:00,-227.28961816747602,
2022-08-19 10:00:00,-236.8907208690024,
2022-08-19 10:30:00,-238.53981261283843,
2022-08-19 12:00:00,-242.01028809940166,
2022-08-19 13:30:00,-263.45872005299736,
2022-08-19 15:00:00,-227.18608031016547,
2022-08-19 15:30:30,-227.18608031016547,
2022-08-19 23:59:59,-251.2067556953074,w
2022-08-22 00:00:00,-275.6123655425382,
2022-08-22 10:00:00,-350.14918082631436,
2022-08-22 10:30:00,-333.8202549501458,
2022-08-22 12:00:00,-346.8718274663556,
2022-08-22 13:30:00,-366.76736086122577,
2022-08-22 15:00:00,-384.8604287793941,
2022-08-22 15:30:30,-384.8604287793941,
2022-08-22 23:59:59,-374.7607495314145,c
2022-08-23 00:00:00,-289.4342224715464,
2022-08-23 10:00:00,-211.07060520145475,
2022-08-23 10:30:00,-240.8516202912735,
2022-08-23 12:00:00,-278.15238633837794,
2022-08-23 13:30:00,-263.01480385687313,
2022-08-23 15:00:00,-268.59672195031754,
2022-08-23 15:30:30,-268.59672195031754,
2022-08-23 23:59:59,-262.6104864028402,c
2022-08-24 00:00:00,-181.9090363683768,
2022-08-24 10:00:00,-229.68413523874503,
2022-08-24 10:30:00,-264.30897228233044,
2022-08-24 12:00:00,-244.32613922054145,
2022-08-24 13:30:00,-277.6888854860883,
2022-08-24 15:00:00,-279.9415690944444,
2022-08-24 15:30:30,-279.9415690944444,
2022-08-24 23:59:59,-299.2022315204351,c
2022-08-25 00:00:00,-362.5010541442693,
2022-08-25 10:00:00,-317.16526536669005,
2022-08-25 10:30:00,-387.64775684910853,
2022-08-25 12:00:00,-421.03387069606833,
2022-08-25 13:30:00,-420.9268076941319,
2022-08-25 15:00:00,-417.6177269183447,
2022-08-25 15:30:30,-417.6177269183447,
2022-08-25 23:59:59,-443.31159331359265,c
2022-08-26 00:00:00,-544.2964169345283,
2022-08-26 10:00:00,-486.24713124196626,
2022-08-26 10:30:00,-517.1231313336486,
2022-08-26 12:00:00,-554.5913129927139,
