date,R2_IPO_2022_Q1,meta
2022-01-14 00:00:00,-1028.6268216817334,
2022-01-14 10:00:00,-1025.4570872796864,
2022-01-14 10:30:00,-994.8291297729272,
2022-01-14 12:00:00,-976.085423463077,
2022-01-14 13:30:00,-1018.9502670402412,
2022-01-14 15:00:00,-1112.2337448385347,
2022-01-14 15:30:30,-1112.2337448385347,
2022-01-14 23:59:59,-1135.525892338065,w
2022-01-17 00:00:00,-1135.525892338065,
2022-01-17 10:00:00,-1135.525892338065,
2022-01-17 10:30:00,-1135.525892338065,
2022-01-17 12:00:00,-1135.525892338065,
2022-01-17 13:30:00,-1135.525892338065,
2022-01-17 15:00:00,-1135.525892338065,
2022-01-17 15:30:30,-1135.525892338065,
2022-01-17 23:59:59,-1135.525892338065,c
2022-01-18 00:00:00,-1086.4279513450658,
2022-01-18 10:00:00,-1187.2246829365952,
2022-01-18 10:30:00,-1205.6250782174093,
2022-01-18 12:00:00,-1259.5013068675878,
2022-01-18 13:30:00,-1193.3818610108224,
2022-01-18 15:00:00,-1200.9191540759525,
2022-01-18 15:30:30,-1200.9191540759525,
2022-01-18 23:59:59,-1148.639782171254,c
2022-01-19 00:00:00,-1124.723198776348,
2022-01-19 10:00:00,-1142.9196635367864,
2022-01-19 10:30:00,-1100.4930067768505,
2022-01-19 12:00:00,-1055.0591423745025,
2022-01-19 13:30:00,-937.1375333202199,
2022-01-19 15:00:00,-881.9657782555197,
2022-01-19 15:30:30,-881.9657782555197,
2022-01-19 23:59:59,-920.7235450290584,c
2022-01-20 00:00:00,-923.2318386773379,
2022-01-20 10:00:00,-939.4361839056007,
2022-01-20 10:30:00,-949.9467848855392,
2022-01-20 12:00:00,-1015.9876549777089,
2022-01-20 13:30:00,-971.1855156306564,
2022-01-20 15:00:00,-964.121924236435,
2022-01-20 15:30:30,-964.121924236435,
2022-01-20 23:59:59,-903.0067453255207,c
2022-01-21 00:00:00,-884.4164066340007,
2022-01-21 10:00:00,-930.641307098742,
2022-01-21 10:30:00,-966.9387386642343,
2022-01-21 12:00:00,-864.6334665571889,
2022-01-21 13:30:00,-854.2117988391379,
2022-01-21 15:00:00,-839.725745312523,
2022-01-21 15:30:30,-839.725745312523,
2022-01-21 23:59:59,-823.0269517854987,w
2022-01-24 00:00:00,-776.5171597470664,
2022-01-24 10:00:00,-911.8603606254476,
2022-01-24 10:30:00,-898.2192963714373,
2022-01-24 12:00:00,-853.9804343926907,
2022-01-24 13:30:00,-636.5977437102139,
2022-01-24 15:00:00,-748.7809808412064,
2022-01-24 15:30:30,-748.7809808412064,
2022-01-24 23:59:59,-665.5219482149739,c
2022-01-25 00:00:00,-682.4114154518577,
2022-01-25 10:00:00,-719.8124781131341,
2022-01-25 10:30:00,-699.3600426529893,
2022-01-25 12:00:00,-731.4749739167407,
2022-01-25 13:30:00,-491.15554230026737,
2022-01-25 15:00:00,-640.390122769719,
2022-01-25 15:30:30,-640.390122769719,
2022-01-25 23:59:59,-582.6663076586915,c
2022-01-26 00:00:00,-625.7937425499754,
2022-01-26 10:00:00,-548.9238667418164,
2022-01-26 10:30:00,-511.0450735918216,
2022-01-26 12:00:00,-576.3515936747103,
2022-01-26 13:30:00,-634.8865498997632,
2022-01-26 15:00:00,-465.8903926457167,
2022-01-26 15:30:30,-465.8903926457167,
2022-01-26 23:59:59,-453.802905980269,c
2022-01-27 00:00:00,-528.2569213137828,
2022-01-27 10:00:00,-554.507744582006,
2022-01-27 10:30:00,-521.0893965705935,
2022-01-27 12:00:00,-594.232002547433,
2022-01-27 13:30:00,-662.4293311798733,
2022-01-27 15:00:00,-701.9203824555075,
2022-01-27 15:30:30,-701.9203824555075,
2022-01-27 23:59:59,-605.9891833359295,c
2022-01-28 00:00:00,-582.7656497236944,
2022-01-28 10:00:00,-575.6015772933827,
2022-01-28 10:30:00,-529.18846480678,
2022-01-28 12:00:00,-498.3932209701991,
2022-01-28 13:30:00,-455.7822534143397,
2022-01-28 15:00:00,-479.77055988722714,
2022-01-28 15:30:30,-479.77055988722714,
2022-01-28 23:59:59,-562.2102644095226,w
2022-01-31 00:00:00,-470.56085661346685,
2022-01-31 10:00:00,-450.9733545983771,
2022-01-31 10:30:00,-513.3919084329136,
2022-01-31 12:00:00,-575.8091535957604,
2022-01-31 13:30:00,-583.4397457653714,
2022-01-31 15:00:00,-584.3148853590392,
2022-01-31 15:30:30,-584.3148853590392,
2022-01-31 23:59:59,-510.1569162820073,c
2022-02-01 00:00:00,-465.15320503636326,
2022-02-01 10:00:00,-466.5075215848765,
2022-02-01 10:30:00,-448.661983157868,
2022-02-01 12:00:00,-402.99287926283137,
2022-02-01 13:30:00,-394.62483291165427,
2022-02-01 15:00:00,-359.07971088344993,
2022-02-01 15:30:30,-359.07971088344993,
2022-02-01 23:59:59,-462.3261533098723,c
2022-02-02 00:00:00,-417.81121669893537,
2022-02-02 10:00:00,-513.0848208576448,
2022-02-02 10:30:00,-533.8330239892259,
