date,R2_IPO_HEDGED_2021_Q3,meta
2021-07-16 00:00:00,-308.0267679904097,
2021-07-16 10:00:00,-281.02666936971167,
2021-07-16 10:30:00,-255.87666406603378,
2021-07-16 12:00:00,-300.8717994529185,
2021-07-16 13:30:00,-261.0392626137294,
2021-07-16 15:00:00,-255.61282976542216,
2021-07-16 15:30:30,-255.61282976542216,
2021-07-16 23:59:59,-248.87308555536052,w
2021-07-19 00:00:00,-201.3256406638929,
2021-07-19 10:00:00,-236.37586827142852,
2021-07-19 10:30:00,-247.76000805978492,
2021-07-19 12:00:00,-302.99742781897015,
2021-07-19 13:30:00,-256.6583062447778,
2021-07-19 15:00:00,-255.4640461065185,
2021-07-19 15:30:30,-255.4640461065185,
2021-07-19 23:59:59,-274.0320476278887,c
2021-07-20 00:00:00,-258.34111350581264,
2021-07-20 10:00:00,-296.7442298346507,
2021-07-20 10:30:00,-300.67485707987913,
2021-07-20 12:00:00,-369.7741593363465,
2021-07-20 13:30:00,-357.9908759674456,
2021-07-20 15:00:00,-367.9348197105719,
2021-07-20 15:30:30,-367.9348197105719,
2021-07-20 23:59:59,-380.04636226181117,c
2021-07-21 00:00:00,-384.7144780166912,
2021-07-21 10:00:00,-395.25764908224556,
2021-07-21 10:30:00,-377.5254514914842,
2021-07-21 12:00:00,-416.5676417816342,
2021-07-21 13:30:00,-435.8784069334286,
2021-07-21 15:00:00,-438.9777886320608,
2021-07-21 15:30:30,-438.9777886320608,
2021-07-21 23:59:59,-442.8121064863592,c
2021-07-22 00:00:00,-425.92451047845,
2021-07-22 10:00:00,-424.5753344155047,
2021-07-22 10:30:00,-419.9452731119903,
2021-07-22 12:00:00,-402.749172629315,
2021-07-22 13:30:00,-414.35679937426653,
2021-07-22 15:00:00,-380.77676513280335,
2021-07-22 15:30:30,-380.77676513280335,
2021-07-22 23:59:59,-360.54159550280076,c
2021-07-23 00:00:00,-360.2272387732128,
2021-07-23 10:00:00,-358.9510154336429,
2021-07-23 10:30:00,-357.37364947781555,
2021-07-23 12:00:00,-354.8511209239456,
2021-07-23 13:30:00,-357.6447103048263,
2021-07-23 15:00:00,-366.7192039958385,
2021-07-23 15:30:30,-366.7192039958385,
2021-07-23 23:59:59,-368.7594360063313,w
2021-07-26 00:00:00,-357.1717311909944,
2021-07-26 10:00:00,-361.2397787258836,
2021-07-26 10:30:00,-385.45737147527353,
2021-07-26 12:00:00,-353.2641447208517,
2021-07-26 13:30:00,-369.83624003906993,
2021-07-26 15:00:00,-359.76514444724154,
2021-07-26 15:30:30,-359.76514444724154,
2021-07-26 23:59:59,-385.67045907113874,c
2021-07-27 00:00:00,-347.7518386093492,
2021-07-27 10:00:00,-328.8035844306808,
2021-07-27 10:30:00,-330.6958169455853,
2021-07-27 12:00:00,-330.345629314236,
2021-07-27 13:30:00,-333.85255012491325,
2021-07-27 15:00:00,-362.89257655018974,
2021-07-27 15:30:30,-362.89257655018974,
2021-07-27 23:59:59,-381.6055456280271,c
2021-07-28 00:00:00,-377.1860188891699,
2021-07-28 10:00:00,-391.0635833561816,
2021-07-28 10:30:00,-378.9428868279069,
2021-07-28 12:00:00,-435.0790330219867,
2021-07-28 13:30:00,-435.6785849558073,
2021-07-28 15:00:00,-447.17444891628935,
2021-07-28 15:30:30,-447.17444891628935,
2021-07-28 23:59:59,-449.84227832145376,c
2021-07-29 00:00:00,-453.13324868992936,
2021-07-29 10:00:00,-463.8701271084223,
