date,SCHD_HEDGED_2023_Q1,meta
2023-02-17 00:00:00,-77.37011780845107,
2023-02-17 10:00:00,-79.63298221581253,
2023-02-17 10:30:00,-79.27169444047028,
2023-02-17 12:00:00,-87.05826847250256,
2023-02-17 13:30:00,-84.99651171640991,
2023-02-17 15:00:00,-81.92470455366481,
2023-02-17 15:30:30,-81.92470455366481,
2023-02-17 23:59:59,-84.30477228888302,w
2023-02-20 00:00:00,-84.30477228888302,
2023-02-20 10:00:00,-84.30477228888302,
2023-02-20 10:30:00,-84.30477228888302,
2023-02-20 12:00:00,-84.30477228888302,
2023-02-20 13:30:00,-84.30477228888302,
2023-02-20 15:00:00,-84.30477228888302,
2023-02-20 15:30:30,-84.30477228888302,
2023-02-20 23:59:59,-84.30477228888302,c
2023-02-21 00:00:00,-105.32896281760326,
2023-02-21 10:00:00,-87.05637117385781,
2023-02-21 10:30:00,-90.62044101518616,
2023-02-21 12:00:00,-84.22152653373912,
2023-02-21 13:30:00,-79.78804112622983,
2023-02-21 15:00:00,-76.82109261734927,
2023-02-21 15:30:30,-76.82109261734927,
2023-02-21 23:59:59,-77.59726690346409,c
2023-02-22 00:00:00,-91.37738724470802,
2023-02-22 10:00:00,-92.18812455568012,
2023-02-22 10:30:00,-87.98962447606638,
2023-02-22 12:00:00,-84.31354318102892,
2023-02-22 13:30:00,-81.41307507583429,
2023-02-22 15:00:00,-81.2295531989346,
2023-02-22 15:30:30,-81.2295531989346,
2023-02-22 23:59:59,-85.05874461781995,c
2023-02-23 00:00:00,-92.14264150085552,
2023-02-23 10:00:00,-75.02945623538507,
2023-02-23 10:30:00,-73.15313806651116,
2023-02-23 12:00:00,-69.88401805164916,
2023-02-23 13:30:00,-66.29484924953903,
2023-02-23 15:00:00,-64.95611881735178,
2023-02-23 15:30:30,-64.95611881735178,
2023-02-23 23:59:59,-70.06194026650988,c
2023-02-24 00:00:00,-65.39107821224462,
2023-02-24 10:00:00,-53.7804892481451,
2023-02-24 10:30:00,-47.38221674905699,
2023-02-24 12:00:00,-52.798222732019184,
2023-02-24 13:30:00,-49.96710971268891,
2023-02-24 15:00:00,-51.756698470733255,
2023-02-24 15:30:30,-51.756698470733255,
2023-02-24 23:59:59,-50.06649331991215,w
2023-02-27 00:00:00,-62.949930816708914,
2023-02-27 10:00:00,-55.90549878928525,
2023-02-27 10:30:00,-52.42189995866574,
2023-02-27 12:00:00,-46.735449008142496,
2023-02-27 13:30:00,-39.80325502060716,
2023-02-27 15:00:00,-32.26525618343425,
2023-02-27 15:30:30,-32.26525618343425,
2023-02-27 23:59:59,-31.211402075680304,c
2023-02-28 00:00:00,-37.18588438294196,
2023-02-28 10:00:00,-34.4903117666581,
2023-02-28 10:30:00,-29.448126935375242,
2023-02-28 12:00:00,-26.950295189401864,
2023-02-28 13:30:00,-25.142290280679333,
2023-02-28 15:00:00,-25.80135416051443,
2023-02-28 15:30:30,-25.80135416051443,s
2023-02-28 23:59:59,-26.94734821331766,c
2023-03-01 00:00:00,-27.365780351645256,
2023-03-01 10:00:00,-28.091823102069164,
2023-03-01 10:30:00,-22.116040931208907,
2023-03-01 12:00:00,-28.070349944982468,
2023-03-01 13:30:00,-25.569117421109084,
2023-03-01 15:00:00,-24.915383467474463,
2023-03-01 15:30:30,-24.915383467474463,
2023-03-01 23:59:59,-21.812786206717448,c
2023-03-02 00:00:00,-23.783784629543398,
2023-03-02 10:00:00,-9.165339958524342,
2023-03-02 10:30:00,-16.113933622759973,
2023-03-02 12:00:00,-14.99950456739218,
2023-03-02 13:30:00,-16.99000779710161,
2023-03-02 15:00:00,-22.429929558518694,
2023-03-02 15:30:30,-22.429929558518694,
2023-03-02 23:59:59,-25.12277529878726,c
2023-03-03 00:00:00,-31.001045442674517,
2023-03-03 10:00:00,-23.068107605800336,
2023-03-03 10:30:00,-20.929584992563605,
2023-03-03 12:00:00,-26.888568627736497,
2023-03-03 13:30:00,-27.165576013124365,
2023-03-03 15:00:00,-25.952274973482837,
2023-03-03 15:30:30,-25.952274973482837,
2023-03-03 23:59:59,-27.525058436636627,w
2023-03-06 00:00:00,-27.432256568147174,
2023-03-06 10:00:00,-31.659067838972064,
2023-03-06 10:30:00,-30.556805028073143,
2023-03-06 12:00:00,-33.17582929776341,
2023-03-06 13:30:00,-34.9710527527324,
2023-03-06 15:00:00,-33.71191394815524,
2023-03-06 15:30:30,-33.71191394815524,
2023-03-06 23:59:59,-32.659476436423816,c
2023-03-07 00:00:00,-40.39266744863921,
2023-03-07 10:00:00,-38.82006948157295,
2023-03-07 10:30:00,-36.25561706922564,
2023-03-07 12:00:00,-25.893851841601943,
2023-03-07 13:30:00,-20.852665761931377,
2023-03-07 15:00:00,-21.713922129950703,
2023-03-07 15:30:30,-21.713922129950703,
2023-03-07 23:59:59,-17.801481481390965,c
2023-03-08 00:00:00,-21.13858961240721,
2023-03-08 10:00:00,-21.652796850637195,
2023-03-08 10:30:00,-27.281458427490712,
2023-03-08 12:00:00,-25.080621077768157,
2023-03-08 13:30:00,-24.208012961301748,
2023-03-08 15:00:00,-20.00391427304549,
2023-03-08 15:30:30,-20.00391427304549,
2023-03-08 23:59:59,-20.127046677230624,c
2023-03-09 00:00:00,-23.332390617631233,
2023-03-09 10:00:00,-12.255270646928238,
2023-03-09 10:30:00,-14.86150377046333,
2023-03-09 12:00:00,-14.003956361102126,
2023-03-09 13:30:00,-20.199286482416206,
2023-03-09 15:00:00,-22.094744988983294,
2023-03-09 15:30:30,-22.094744988983294,
2023-03-09 23:59:59,-23.267130140624886,c
2023-03-10 00:00:00,-18.53651817285467,
2023-03-10 10:00:00,-13.188779385731507,
2023-03-10 10:30:00,-13.126641793081916,
2023-03-10 12:00:00,-22.367942446911286,
2023-03-10 13:30:00,-21.99190287790062,
2023-03-10 15:00:00,-24.418446050218307,
2023-03-10 15:30:30,-24.418446050218307,
2023-03-10 23:59:59,0.0,a
2023-03-13 00:00:00,0.0,
2023-03-13 10:00:00,0.0,
2023-03-13 10:30:00,0.0,
2023-03-13 12:00:00,0.0,
2023-03-13 13:30:00,0.0,
2023-03-13 15:00:00,0.0,
2023-03-13 15:30:30,0.0,
2023-03-13 23:59:59,0.0,c
2023-03-14 00:00:00,0.0,
2023-03-14 10:00:00,0.0,
2023-03-14 10:30:00,0.0,
2023-03-14 12:00:00,0.0,
2023-03-14 13:30:00,0.0,
2023-03-14 15:00:00,0.0,
2023-03-14 15:30:30,0.0,
2023-03-14 23:59:59,0.0,c
2023-03-15 00:00:00,0.0,
2023-03-15 10:00:00,0.0,
2023-03-15 10:30:00,0.0,
2023-03-15 12:00:00,0.0,
2023-03-15 13:30:00,0.0,
2023-03-15 15:00:00,0.0,
2023-03-15 15:30:30,0.0,
2023-03-15 23:59:59,0.0,c
2023-03-16 00:00:00,0.0,
2023-03-16 10:00:00,0.0,
2023-03-16 10:30:00,0.0,
2023-03-16 12:00:00,0.0,
2023-03-16 13:30:00,0.0,
2023-03-16 15:00:00,0.0,
2023-03-16 15:30:30,0.0,
2023-03-16 23:59:59,0.0,c
2023-03-17 00:00:00,0.0,
2023-03-17 10:00:00,0.0,
2023-03-17 10:30:00,0.0,
2023-03-17 12:00:00,0.0,
2023-03-17 13:30:00,0.0,
2023-03-17 15:00:00,0.0,
2023-03-17 15:30:30,0.0,
2023-03-17 23:59:59,0.0,e
2023-03-20 00:00:00,0.0,
2023-03-20 10:00:00,0.0,
2023-03-20 10:30:00,0.0,
2023-03-20 12:00:00,0.0,
2023-03-20 13:30:00,0.0,
2023-03-20 15:00:00,0.0,
2023-03-20 15:30:30,0.0,
2023-03-20 23:59:59,0.0,c
2023-03-21 00:00:00,0.0,
2023-03-21 10:00:00,0.0,
2023-03-21 10:30:00,0.0,
2023-03-21 12:00:00,0.0,
2023-03-21 13:30:00,0.0,
