date,SCHWAB_2022_Q2,meta
2022-04-29 00:00:00,194.67310362352328,
2022-04-29 10:00:00,255.14970417531867,
2022-04-29 10:30:00,195.10549506571488,
2022-04-29 12:00:00,215.75909761434923,
2022-04-29 13:30:00,210.48766299044973,
2022-04-29 15:00:00,144.3347142943344,
2022-04-29 15:30:30,144.3347142943344,
2022-04-29 23:59:59,103.21141434716083,w
2022-05-02 00:00:00,109.04237926019414,
2022-05-02 10:00:00,135.5881357375024,
2022-05-02 10:30:00,125.41474518092764,
2022-05-02 12:00:00,146.21941121569216,
2022-05-02 13:30:00,129.3846575472112,
2022-05-02 15:00:00,138.5600069196389,
2022-05-02 15:30:30,138.5600069196389,
2022-05-02 23:59:59,211.36104393487585,c
2022-05-03 00:00:00,205.78573183283243,
2022-05-03 10:00:00,233.81762324829378,
2022-05-03 10:30:00,251.65114857872823,
2022-05-03 12:00:00,230.22692922500573,
2022-05-03 13:30:00,200.83438808785013,
2022-05-03 15:00:00,197.1610760614767,
2022-05-03 15:30:30,197.1610760614767,
2022-05-03 23:59:59,173.9381693522323,c
2022-05-04 00:00:00,152.4225633095266,
2022-05-04 10:00:00,32.51694816240706,
2022-05-04 10:30:00,26.983725088360643,
2022-05-04 12:00:00,93.08870306026756,
2022-05-04 13:30:00,105.86581681937514,
2022-05-04 15:00:00,197.57913863560725,
2022-05-04 15:30:30,197.57913863560725,
2022-05-04 23:59:59,308.60254777404543,c
2022-05-05 00:00:00,266.2301199189269,
2022-05-05 10:00:00,134.108948417605,
2022-05-05 10:30:00,100.10638367336878,
2022-05-05 12:00:00,40.42646182276712,
2022-05-05 13:30:00,115.41572817742372,
2022-05-05 15:00:00,53.70916900706288,
2022-05-05 15:30:30,53.70916900706288,
2022-05-05 23:59:59,45.315348329666904,c
2022-05-06 00:00:00,-31.37214468406728,
2022-05-06 10:00:00,-235.75804105093493,
2022-05-06 10:30:00,-151.6727431945278,
2022-05-06 12:00:00,-120.68045951611202,
2022-05-06 13:30:00,-97.84186650801803,
2022-05-06 15:00:00,-135.46575751203727,
2022-05-06 15:30:30,-135.46575751203727,
2022-05-06 23:59:59,-122.01595976454428,w
2022-05-09 00:00:00,-217.77143314620434,
2022-05-09 10:00:00,-344.9830371953685,
2022-05-09 10:30:00,-433.8495008197542,
2022-05-09 12:00:00,-444.50144248091647,
2022-05-09 13:30:00,-515.4128923219223,
2022-05-09 15:00:00,-581.7438239684284,
2022-05-09 15:30:30,-581.7438239684284,
2022-05-09 23:59:59,-597.1946837923992,c
2022-05-10 00:00:00,-531.0100470947173,
2022-05-10 10:00:00,-589.2555628216537,
2022-05-10 10:30:00,-650.5974631068771,
2022-05-10 12:00:00,-758.6584615070515,
2022-05-10 13:30:00,-742.7934443565755,
2022-05-10 15:00:00,-688.6506320728913,
2022-05-10 15:30:30,-688.6506320728913,u
2022-05-10 23:59:59,-686.1508352439919,c
2022-05-11 00:00:00,-712.8890871730223,
2022-05-11 10:00:00,-681.1355540210143,
2022-05-11 10:30:00,-628.0451496605847,
2022-05-11 12:00:00,-642.1883109246223,
2022-05-11 13:30:00,-697.9343040167059,
2022-05-11 15:00:00,-685.7547915680698,
2022-05-11 15:30:30,-685.7547915680698,
2022-05-11 23:59:59,-703.3192743555719,c
2022-05-12 00:00:00,-747.0551225220074,
2022-05-12 10:00:00,-756.9524471381314,
2022-05-12 10:30:00,-653.475180819521,
2022-05-12 12:00:00,-597.3664131182977,
2022-05-12 13:30:00,-526.1734851938759,
2022-05-12 15:00:00,-554.9617315878327,
2022-05-12 15:30:30,-554.9617315878327,
2022-05-12 23:59:59,-511.38262315468046,c
2022-05-13 00:00:00,-383.07125320142904,
2022-05-13 10:00:00,-281.9133484450522,
2022-05-13 10:30:00,-256.1755522129697,
2022-05-13 12:00:00,-235.02667299113955,
2022-05-13 13:30:00,-231.0304642469182,
2022-05-13 15:00:00,-232.31916278065137,
2022-05-13 15:30:30,-232.31916278065137,s
2022-05-13 23:59:59,-250.5874909023064,w
2022-05-16 00:00:00,-247.7085187361463,
2022-05-16 10:00:00,-234.73397879444474,
2022-05-16 10:30:00,-197.99101210637082,
2022-05-16 12:00:00,-273.3273185552416,
2022-05-16 13:30:00,-311.73812130896795,
2022-05-16 15:00:00,-317.97794730077885,
2022-05-16 15:30:30,-317.97794730077885,
