date,SML_2022_Q3,meta
2022-07-29 00:00:00,1.8854917377957463,
2022-07-29 10:00:00,8.842365086931977,
2022-07-29 10:30:00,31.99748450503739,
2022-07-29 12:00:00,41.800212777778825,
2022-07-29 13:30:00,51.22030166673994,
2022-07-29 15:00:00,39.65670455639406,
2022-07-29 15:30:30,39.65670455639406,
2022-07-29 23:59:59,39.49553735152017,w
2022-08-01 00:00:00,49.37052123023227,
2022-08-01 10:00:00,-11.091375628096102,
2022-08-01 10:30:00,-11.993684728963672,
2022-08-01 12:00:00,4.543979283585941,
2022-08-01 13:30:00,29.281378480689227,
2022-08-01 15:00:00,38.76534204564655,
2022-08-01 15:30:30,38.76534204564655,
2022-08-01 23:59:59,19.85253660799799,c
2022-08-02 00:00:00,35.6515800760792,
2022-08-02 10:00:00,10.047882317984659,
2022-08-02 10:30:00,16.184003387127177,
2022-08-02 12:00:00,-0.9630552223877658,
2022-08-02 13:30:00,8.388214530558798,
2022-08-02 15:00:00,-2.732927703645828,
2022-08-02 15:30:30,-2.732927703645828,
2022-08-02 23:59:59,-0.07856347043184542,c
2022-08-03 00:00:00,17.411202401122637,
2022-08-03 10:00:00,-38.39105968945751,
2022-08-03 10:30:00,-66.41981716874011,
2022-08-03 12:00:00,-63.033756706464374,
2022-08-03 13:30:00,-72.56776892526977,
2022-08-03 15:00:00,-91.58168356420401,
2022-08-03 15:30:30,-91.58168356420401,
2022-08-03 23:59:59,-90.271710179808,c
2022-08-04 00:00:00,-38.196967864457065,
2022-08-04 10:00:00,-45.69899371915153,
2022-08-04 10:30:00,-47.708941850843075,
2022-08-04 12:00:00,-63.64827449188397,
2022-08-04 13:30:00,-82.36795149250906,
2022-08-04 15:00:00,-79.07329352032752,
2022-08-04 15:30:30,-79.07329352032752,
2022-08-04 23:59:59,-102.01245582363549,c
2022-08-05 00:00:00,-91.73592394975753,
2022-08-05 10:00:00,-99.36334717109344,
2022-08-05 10:30:00,-58.390347793320416,
2022-08-05 12:00:00,-31.23126505113828,
2022-08-05 13:30:00,-20.910404352934165,
2022-08-05 15:00:00,-32.85707722657412,
2022-08-05 15:30:30,-32.85707722657412,
2022-08-05 23:59:59,-26.46583470679502,w
2022-08-08 00:00:00,-70.41612169825225,
2022-08-08 10:00:00,-123.2650641688358,
2022-08-08 10:30:00,-134.20294817368017,
2022-08-08 12:00:00,-141.5677667683235,
2022-08-08 13:30:00,-148.55789051344436,
2022-08-08 15:00:00,-128.40060382363504,
2022-08-08 15:30:30,-128.40060382363504,
2022-08-08 23:59:59,-123.72950286510104,c
2022-08-09 00:00:00,-64.66000831826022,
2022-08-09 10:00:00,-1.759729475451195,
2022-08-09 10:30:00,10.249448678768658,
2022-08-09 12:00:00,26.66215747372962,
2022-08-09 13:30:00,15.155810944697805,
2022-08-09 15:00:00,18.01832195201314,
2022-08-09 15:30:30,18.01832195201314,
2022-08-09 23:59:59,20.914076277232653,c
2022-08-10 00:00:00,21.927561348069503,
2022-08-10 10:00:00,-9.152674497014686,
2022-08-10 10:30:00,-7.098824228541616,
2022-08-10 12:00:00,-7.749010186186979,
2022-08-10 13:30:00,-27.095041186190656,
2022-08-10 15:00:00,-15.381516046585148,
2022-08-10 15:30:30,-15.381516046585148,
2022-08-10 23:59:59,9.439804612262833,c
