date,SML_HEDGED_2021_Q2,meta
2021-04-30 00:00:00,126.6189716362187,
2021-04-30 10:00:00,149.17362441859268,
2021-04-30 10:30:00,168.35454916487106,
2021-04-30 12:00:00,138.74752357487841,
2021-04-30 13:30:00,119.06377721418039,
2021-04-30 15:00:00,90.45186332076764,
2021-04-30 15:30:30,90.45186332076764,
2021-04-30 23:59:59,94.98363934433019,w
2021-05-03 00:00:00,136.52414365760796,
2021-05-03 10:00:00,138.66851995962134,
2021-05-03 10:30:00,139.27496364385252,
2021-05-03 12:00:00,159.29629923934908,
2021-05-03 13:30:00,192.88113765877551,
2021-05-03 15:00:00,216.87597432652728,
2021-05-03 15:30:30,216.87597432652728,
2021-05-03 23:59:59,210.08152303859788,c
2021-05-04 00:00:00,72.45478814482021,
2021-05-04 10:00:00,55.82837127006496,
2021-05-04 10:30:00,78.96617185203604,
2021-05-04 12:00:00,48.659850765309784,
2021-05-04 13:30:00,42.97623935892989,
2021-05-04 15:00:00,65.20913583797028,
2021-05-04 15:30:30,65.20913583797028,
2021-05-04 23:59:59,51.80032873731443,c
2021-05-05 00:00:00,73.66133941982935,
2021-05-05 10:00:00,78.9937559223331,
2021-05-05 10:30:00,71.76742875795026,
2021-05-05 12:00:00,153.74405822317385,
2021-05-05 13:30:00,133.4149017441473,
2021-05-05 15:00:00,130.61282555631396,
2021-05-05 15:30:30,130.61282555631396,
2021-05-05 23:59:59,106.58358803498095,c
2021-05-06 00:00:00,137.58937576852577,
2021-05-06 10:00:00,1.382407766180222,
2021-05-06 10:30:00,-90.67982111507627,
2021-05-06 12:00:00,4.403209266826707,
2021-05-06 13:30:00,39.04802079325009,
2021-05-06 15:00:00,16.560193921045084,
2021-05-06 15:30:30,16.560193921045084,
2021-05-06 23:59:59,19.23460713035911,c
2021-05-07 00:00:00,2.2603427073372586,
2021-05-07 10:00:00,-37.53687832045853,
2021-05-07 10:30:00,-18.42177366489659,
2021-05-07 12:00:00,27.98164857638676,
2021-05-07 13:30:00,61.38621672095587,
