date,SML_PURE_2021_Q4,meta
2021-11-05 00:00:00,-6.720688499177186,
2021-11-05 10:00:00,-10.966560807398992,
2021-11-05 10:30:00,-9.842104811314357,
2021-11-05 12:00:00,-36.83941747266067,
2021-11-05 13:30:00,-6.636173137238757,
2021-11-05 15:00:00,-51.05734852481987,
2021-11-05 15:30:30,-51.05734852481987,
2021-11-05 23:59:59,-65.4880186995806,w
2021-11-08 00:00:00,-134.83605396031658,
2021-11-08 10:00:00,-105.09236880714138,
2021-11-08 10:30:00,-114.38024375249961,
2021-11-08 12:00:00,-107.84461854242181,
2021-11-08 13:30:00,-125.4424520015541,
2021-11-08 15:00:00,-114.32750864993454,
2021-11-08 15:30:30,-114.32750864993454,
2021-11-08 23:59:59,-114.56109491478446,c
2021-11-09 00:00:00,-96.74672836305854,
2021-11-09 10:00:00,-124.38722357795837,
2021-11-09 10:30:00,-140.0183178718728,
2021-11-09 12:00:00,-110.23814162354142,
2021-11-09 13:30:00,-132.17503954075164,
2021-11-09 15:00:00,-134.15809857591648,
2021-11-09 15:30:30,-134.15809857591648,
2021-11-09 23:59:59,-133.14205555440935,c
2021-11-10 00:00:00,-138.0802437946145,
2021-11-10 10:00:00,-141.24055918787417,
2021-11-10 10:30:00,-146.54151148136975,
2021-11-10 12:00:00,-122.01039933648667,
2021-11-10 13:30:00,-93.98588558745473,
2021-11-10 15:00:00,-56.67232827088128,
2021-11-10 15:30:30,-56.67232827088128,
2021-11-10 23:59:59,-81.85405019879659,c
2021-11-11 00:00:00,-69.79347332806378,
2021-11-11 10:00:00,-93.04890714922021,
2021-11-11 10:30:00,-125.57453806766421,
2021-11-11 12:00:00,-155.089421449542,
2021-11-11 13:30:00,-163.2828887628816,
2021-11-11 15:00:00,-155.15205073831362,
2021-11-11 15:30:30,-155.15205073831362,
2021-11-11 23:59:59,-150.2261610521532,c
2021-11-12 00:00:00,-155.7051409384867,
2021-11-12 10:00:00,-183.1195072236069,
2021-11-12 10:30:00,-170.1724831641618,
2021-11-12 12:00:00,-163.74692455452168,
2021-11-12 13:30:00,-152.23089517802373,
2021-11-12 15:00:00,-148.15772970456942,
2021-11-12 15:30:30,-148.15772970456942,
2021-11-12 23:59:59,-158.72680168081683,w
2021-11-15 00:00:00,-165.68926423502376,
2021-11-15 10:00:00,-198.76944275752498,
2021-11-15 10:30:00,-181.6803193404778,
2021-11-15 12:00:00,-146.81889367969734,
2021-11-15 13:30:00,-156.53407420031203,
2021-11-15 15:00:00,-169.34285494879646,
2021-11-15 15:30:30,-169.34285494879646,
2021-11-15 23:59:59,-163.11582831586293,c
2021-11-16 00:00:00,-143.04745330922674,
2021-11-16 10:00:00,-150.94626038855495,
2021-11-16 10:30:00,-157.34715118250733,
2021-11-16 12:00:00,-176.41780572637003,
2021-11-16 13:30:00,-186.0459707587206,
2021-11-16 15:00:00,-184.17056804173376,
2021-11-16 15:30:30,-184.17056804173376,
2021-11-16 23:59:59,-190.25443068336585,c
2021-11-17 00:00:00,-171.27462893288453,
2021-11-17 10:00:00,-135.23549971739317,
2021-11-17 10:30:00,-156.00105651830813,
2021-11-17 12:00:00,-166.4440151467379,
2021-11-17 13:30:00,-172.18053509118204,
2021-11-17 15:00:00,-154.67322404126617,
2021-11-17 15:30:30,-154.67322404126617,
2021-11-17 23:59:59,-155.3705935295859,c
2021-11-18 00:00:00,-160.87217964327374,
2021-11-18 10:00:00,-172.25835892881355,
2021-11-18 10:30:00,-132.52644578715967,
2021-11-18 12:00:00,-195.44029233980382,
2021-11-18 13:30:00,-195.47780693267487,
2021-11-18 15:00:00,-192.7600184604894,
2021-11-18 15:30:30,-192.7600184604894,
2021-11-18 23:59:59,-182.54657422346486,c
2021-11-19 00:00:00,-140.42610133550738,
2021-11-19 10:00:00,-161.44907682423036,
2021-11-19 10:30:00,-168.72761983194596,
2021-11-19 12:00:00,-179.17127956975764,
2021-11-19 13:30:00,-171.6697512432022,
2021-11-19 15:00:00,-170.67437558076745,
2021-11-19 15:30:30,-170.67437558076745,
2021-11-19 23:59:59,-163.27456368878074,w
2021-11-22 00:00:00,-197.55103639084405,
2021-11-22 10:00:00,-233.23209696810795,
2021-11-22 10:30:00,-234.51698445194938,
2021-11-22 12:00:00,-202.09404570133074,
2021-11-22 13:30:00,-227.5032210387949,
2021-11-22 15:00:00,-230.2597687042528,
2021-11-22 15:30:30,-230.2597687042528,u
2021-11-22 23:59:59,-196.6434031432093,c
2021-11-23 00:00:00,-198.39086903406178,
2021-11-23 10:00:00,-208.46103781339684,
2021-11-23 10:30:00,-181.53364109484573,
