date,SPLV_HEDGED_2022_Q1,meta
2022-01-14 00:00:00,-188.32449627719285,
2022-01-14 10:00:00,-179.62864818884577,
2022-01-14 10:30:00,-156.79299744678528,
2022-01-14 12:00:00,-142.10488212878832,
2022-01-14 13:30:00,-129.42733369088248,
2022-01-14 15:00:00,-133.45830605611624,
2022-01-14 15:30:30,-133.45830605611624,
2022-01-14 23:59:59,-128.7412065196121,w
2022-01-17 00:00:00,-128.7412065196121,
2022-01-17 10:00:00,-128.7412065196121,
2022-01-17 10:30:00,-128.7412065196121,
2022-01-17 12:00:00,-128.7412065196121,
2022-01-17 13:30:00,-128.7412065196121,
2022-01-17 15:00:00,-128.7412065196121,
2022-01-17 15:30:30,-128.7412065196121,
2022-01-17 23:59:59,-128.7412065196121,c
2022-01-18 00:00:00,-106.16526206898169,
2022-01-18 10:00:00,-104.19059890071738,
2022-01-18 10:30:00,-118.11628506593058,
2022-01-18 12:00:00,-122.87549923185063,
2022-01-18 13:30:00,-108.06656934098106,
2022-01-18 15:00:00,-108.66682246485512,
2022-01-18 15:30:30,-108.66682246485512,
2022-01-18 23:59:59,-105.2530575547458,c
2022-01-19 00:00:00,-112.05052207776413,
2022-01-19 10:00:00,-129.6051630068754,
2022-01-19 10:30:00,-118.39115815243247,
2022-01-19 12:00:00,-102.94336029876524,
2022-01-19 13:30:00,-114.72283244546516,
2022-01-19 15:00:00,-118.39711857236992,
2022-01-19 15:30:30,-118.39711857236992,
2022-01-19 23:59:59,-115.26591306402862,c
2022-01-20 00:00:00,-125.6558403876424,
2022-01-20 10:00:00,-140.1344604506745,
2022-01-20 10:30:00,-144.57182988509027,
2022-01-20 12:00:00,-138.56997050609732,
2022-01-20 13:30:00,-130.8117119101247,
2022-01-20 15:00:00,-128.63919784433654,
2022-01-20 15:30:30,-128.63919784433654,
2022-01-20 23:59:59,-121.60345513821485,c
2022-01-21 00:00:00,-122.27126920767014,
2022-01-21 10:00:00,-138.91197559399956,
2022-01-21 10:30:00,-141.40945048978767,
2022-01-21 12:00:00,-130.93942773347703,
2022-01-21 13:30:00,-125.7601436742936,
2022-01-21 15:00:00,-124.63199549867915,
2022-01-21 15:30:30,-124.63199549867915,
2022-01-21 23:59:59,-123.82951472575235,w
2022-01-24 00:00:00,-109.92794857833525,
2022-01-24 10:00:00,-135.3570884030064,
2022-01-24 10:30:00,-125.69057864461362,
2022-01-24 12:00:00,-123.21608286861226,
2022-01-24 13:30:00,-138.8755533712174,
2022-01-24 15:00:00,-141.47535856107686,
2022-01-24 15:30:30,-141.47535856107686,
2022-01-24 23:59:59,-150.29208792422048,c
2022-01-25 00:00:00,-147.2191204807608,
2022-01-25 10:00:00,-148.08364303856254,
2022-01-25 10:30:00,-146.6257043809358,
2022-01-25 12:00:00,-132.56152528429328,
2022-01-25 13:30:00,-133.68764370096994,
2022-01-25 15:00:00,-125.46844961474712,
2022-01-25 15:30:30,-125.46844961474712,
2022-01-25 23:59:59,-117.98167014512319,c
2022-01-26 00:00:00,-111.19630605046345,
2022-01-26 10:00:00,-82.8064268442255,
2022-01-26 10:30:00,-83.74463860572035,
2022-01-26 12:00:00,-78.47775679465117,
2022-01-26 13:30:00,-66.93197150963583,
2022-01-26 15:00:00,-44.502121790822045,
2022-01-26 15:30:30,-44.502121790822045,
2022-01-26 23:59:59,-31.852270835565648,c
2022-01-27 00:00:00,-37.784516887240514,
2022-01-27 10:00:00,-12.833369799517214,
2022-01-27 10:30:00,-17.931540890484598,
2022-01-27 12:00:00,-19.250619447368706,
2022-01-27 13:30:00,-25.05918961262313,
2022-01-27 15:00:00,-29.532180339189907,
2022-01-27 15:30:30,-29.532180339189907,
2022-01-27 23:59:59,-25.184765879759738,c
2022-01-28 00:00:00,-35.542989709153545,
2022-01-28 10:00:00,-33.463646404096096,
2022-01-28 10:30:00,-42.353191056590404,
2022-01-28 12:00:00,-59.682382734414205,
2022-01-28 13:30:00,-62.188844754065514,
2022-01-28 15:00:00,-63.64182149942512,
2022-01-28 15:30:30,-63.64182149942512,
2022-01-28 23:59:59,-63.0689246406715,w
2022-01-31 00:00:00,-84.06948110320116,
2022-01-31 10:00:00,-97.23202576451862,
2022-01-31 10:30:00,-88.33732213814032,
2022-01-31 12:00:00,-106.07214699591897,
2022-01-31 13:30:00,-100.42928101434143,
2022-01-31 15:00:00,-104.53995755503112,
2022-01-31 15:30:30,-104.53995755503112,s
2022-01-31 23:59:59,-108.00793950485573,c
2022-02-01 00:00:00,-105.49057337917179,
2022-02-01 10:00:00,-86.10602978804403,
2022-02-01 10:30:00,-78.82237043692966,
2022-02-01 12:00:00,-86.23612200703762,
2022-02-01 13:30:00,-80.94300261464447,
2022-02-01 15:00:00,-83.81082398081124,
2022-02-01 15:30:30,-83.81082398081124,
2022-02-01 23:59:59,-86.4125074850891,c
2022-02-02 00:00:00,-86.82339897128374,
2022-02-02 10:00:00,-94.2408952479914,
2022-02-02 10:30:00,-91.85850615125301,
2022-02-02 12:00:00,-85.8990183371092,
2022-02-02 13:30:00,-77.20848742820394,
2022-02-02 15:00:00,-73.37080212384092,
2022-02-02 15:30:30,-73.37080212384092,
2022-02-02 23:59:59,-74.88199076166964,c
2022-02-03 00:00:00,-57.204019807117575,
2022-02-03 10:00:00,-78.52390065523231,
2022-02-03 10:30:00,-68.90069092273156,
2022-02-03 12:00:00,-66.42446871803186,
2022-02-03 13:30:00,-73.95778121780107,
2022-02-03 15:00:00,-69.5170305378842,
2022-02-03 15:30:30,-69.5170305378842,
2022-02-03 23:59:59,-63.15659531759789,c
2022-02-04 00:00:00,-70.65516195741027,
2022-02-04 10:00:00,-78.11444704460114,
2022-02-04 10:30:00,-94.40888514752515,
2022-02-04 12:00:00,-83.32685737556294,
2022-02-04 13:30:00,-89.90746838035892,
2022-02-04 15:00:00,-85.57451159077921,
2022-02-04 15:30:30,-85.57451159077921,
2022-02-04 23:59:59,-89.94356757985005,w
2022-02-07 00:00:00,-80.25023251627373,
2022-02-07 10:00:00,-67.21808170249065,
2022-02-07 10:30:00,-64.1756760405445,
2022-02-07 12:00:00,-61.913431744346184,
2022-02-07 13:30:00,-71.60302753826818,
2022-02-07 15:00:00,-61.224588439919515,
2022-02-07 15:30:30,-61.224588439919515,
2022-02-07 23:59:59,-57.981811051874715,c
2022-02-08 00:00:00,-51.64982565343101,
2022-02-08 10:00:00,-53.27445716706299,
2022-02-08 10:30:00,-49.8204340995955,
2022-02-08 12:00:00,-60.866754723611834,
2022-02-08 13:30:00,-58.78362172357855,
2022-02-08 15:00:00,-64.03339465858875,
2022-02-08 15:30:30,-64.03339465858875,
2022-02-08 23:59:59,-67.92654312255691,c
2022-02-09 00:00:00,-72.55213852787502,
2022-02-09 10:00:00,-55.13825382097396,
2022-02-09 10:30:00,-46.51611779435494,
2022-02-09 12:00:00,-51.63773087772904,
2022-02-09 13:30:00,-46.52396852586314,
2022-02-09 15:00:00,-38.96747956997602,
2022-02-09 15:30:30,-38.96747956997602,
2022-02-09 23:59:59,-40.794615226331345,c
2022-02-10 00:00:00,-30.802396469204425,
2022-02-10 10:00:00,-16.632686724505874,
2022-02-10 10:30:00,-20.341115981145435,
2022-02-10 12:00:00,-23.340954901959492,
2022-02-10 13:30:00,-25.372513121958832,
2022-02-10 15:00:00,-33.105569145897675,
2022-02-10 15:30:30,-33.105569145897675,
2022-02-10 23:59:59,-37.02551290737877,c
2022-02-11 00:00:00,-37.1266134669894,
2022-02-11 10:00:00,-25.351830008579554,
2022-02-11 10:30:00,-11.53006702999275,
2022-02-11 12:00:00,-10.336208098866877,
2022-02-11 13:30:00,-10.412404188765379,
2022-02-11 15:00:00,-7.814543410986204,
2022-02-11 15:30:30,-7.814543410986204,
2022-02-11 23:59:59,0.0,a
2022-02-14 00:00:00,-10.429779017639135,
2022-02-14 10:00:00,-3.809831688530352,
2022-02-14 10:30:00,-10.085541302942403,
2022-02-14 12:00:00,-9.488280646094466,
2022-02-14 13:30:00,-9.926570090593032,
2022-02-14 15:00:00,-1.8875048475455003,
2022-02-14 15:30:30,-1.8875048475455003,
2022-02-14 23:59:59,-3.003239875390335,c
2022-02-15 00:00:00,-22.257756734049394,
2022-02-15 10:00:00,-14.730435887802628,
2022-02-15 10:30:00,-8.784098774135288,
2022-02-15 12:00:00,-16.636618065160036,
2022-02-15 13:30:00,-5.172913176007938,
2022-02-15 15:00:00,-14.507090193561481,
2022-02-15 15:30:30,-14.507090193561481,
2022-02-15 23:59:59,-9.661150962990774,c
2022-02-16 00:00:00,-1.5654596949580082,
2022-02-16 10:00:00,23.59246205747499,
2022-02-16 10:30:00,23.56394227503057,
2022-02-16 12:00:00,15.32098146084499,
2022-02-16 13:30:00,10.80894616253741,
2022-02-16 15:00:00,6.596751464626664,
2022-02-16 15:30:30,6.596751464626664,
2022-02-16 23:59:59,7.818588082407842,c
2022-02-17 00:00:00,4.630831350406567,
2022-02-17 10:00:00,10.165464662385858,
2022-02-17 10:30:00,18.661492533936297,
2022-02-17 12:00:00,10.205624154500669,
2022-02-17 13:30:00,14.588694541963093,
2022-02-17 15:00:00,14.362796420888543,
2022-02-17 15:30:30,14.362796420888543,
2022-02-17 23:59:59,19.069385271103954,c
2022-02-18 00:00:00,4.938945520931469,
2022-02-18 10:00:00,19.328766491275672,
2022-02-18 10:30:00,15.213633866127196,
2022-02-18 12:00:00,22.0468499990518,
2022-02-18 13:30:00,23.53315211558916,
2022-02-18 15:00:00,9.986342276967946,
2022-02-18 15:30:30,9.986342276967946,
2022-02-18 23:59:59,-2.871732762095718,e
2022-02-21 00:00:00,-2.871732762095718,
2022-02-21 10:00:00,-2.871732762095718,
2022-02-21 10:30:00,-2.871732762095718,
2022-02-21 12:00:00,-2.871732762095718,
2022-02-21 13:30:00,-2.871732762095718,
2022-02-21 15:00:00,-2.871732762095718,
2022-02-21 15:30:30,-2.871732762095718,
2022-02-21 23:59:59,-2.871732762095718,c
2022-02-22 00:00:00,24.8927435680082,
2022-02-22 10:00:00,42.395683042809964,
2022-02-22 10:30:00,36.460913746720905,
2022-02-22 12:00:00,36.622463419572,
2022-02-22 13:30:00,33.77997767401169,
2022-02-22 15:00:00,40.43308151472209,
2022-02-22 15:30:30,40.43308151472209,
2022-02-22 23:59:59,45.292913468209946,c
2022-02-23 00:00:00,52.653907408087605,
2022-02-23 10:00:00,38.11642180682247,
2022-02-23 10:30:00,35.81992612775147,
2022-02-23 12:00:00,38.1972696002677,
2022-02-23 13:30:00,40.47037700373343,
2022-02-23 15:00:00,43.20183912884872,
2022-02-23 15:30:30,43.20183912884872,
2022-02-23 23:59:59,45.535239104401086,c
2022-02-24 00:00:00,47.995866991482984,
2022-02-24 10:00:00,12.334142975374533,
2022-02-24 10:30:00,13.182973024229597,
