date,XRT_WW_2021_Q4,meta
2021-11-12 00:00:00,-2861.040492991714,
2021-11-12 10:00:00,-2804.34791696548,
2021-11-12 10:30:00,-2653.369171790665,
2021-11-12 12:00:00,-2555.8711381272024,
2021-11-12 13:30:00,-2512.0830086557417,
2021-11-12 15:00:00,-2541.599125967162,
2021-11-12 15:30:30,-2541.599125967162,
2021-11-12 23:59:59,-2542.9546300618276,w
2021-11-15 00:00:00,-2605.7412631079224,
2021-11-15 10:00:00,-2618.5643862486104,
2021-11-15 10:30:00,-2580.4198297898893,
2021-11-15 12:00:00,-2485.3135358339696,
2021-11-15 13:30:00,-2438.736029533833,
2021-11-15 15:00:00,-2459.706345087997,
2021-11-15 15:30:30,-2459.706345087997,
2021-11-15 23:59:59,-2422.1181677415034,c
2021-11-16 00:00:00,-2391.339985571244,
2021-11-16 10:00:00,-2211.0466244570234,
2021-11-16 10:30:00,-2190.698516400783,
2021-11-16 12:00:00,-2232.103005080993,
2021-11-16 13:30:00,-2265.509095483334,
2021-11-16 15:00:00,-2243.735435235426,
2021-11-16 15:30:30,-2243.735435235426,
2021-11-16 23:59:59,-2229.6617545421022,c
2021-11-17 00:00:00,-2180.721472373415,
2021-11-17 10:00:00,-2281.839672014179,
2021-11-17 10:30:00,-2184.2590491764267,
2021-11-17 12:00:00,-2091.5539955744334,
2021-11-17 13:30:00,-2012.840977707162,
2021-11-17 15:00:00,-1978.2380035049837,
2021-11-17 15:30:30,-1978.2380035049837,
2021-11-17 23:59:59,-1955.520488078646,c
2021-11-18 00:00:00,-1951.9119703712495,
2021-11-18 10:00:00,-1645.9763742492432,
2021-11-18 10:30:00,-1516.722532876568,
2021-11-18 12:00:00,-1527.4586691762825,
2021-11-18 13:30:00,-1469.6217442248326,
2021-11-18 15:00:00,-1511.5343844876534,
2021-11-18 15:30:30,-1511.5343844876534,
2021-11-18 23:59:59,-1561.169464456244,c
2021-11-19 00:00:00,-1507.1516827712749,
2021-11-19 10:00:00,-1530.7842800024637,
2021-11-19 10:30:00,-1482.301290155142,
2021-11-19 12:00:00,-1411.1304271677136,
2021-11-19 13:30:00,-1363.8366704794898,
2021-11-19 15:00:00,-1299.1377635667923,
2021-11-19 15:30:30,-1299.1377635667923,
2021-11-19 23:59:59,-1234.6655245750144,w
2021-11-22 00:00:00,-1246.5103402781515,
2021-11-22 10:00:00,-1159.2522601170804,
2021-11-22 10:30:00,-1087.1484008813513,
2021-11-22 12:00:00,-992.5443941664498,
2021-11-22 13:30:00,-996.9889004507468,
2021-11-22 15:00:00,-1007.8977960221828,
2021-11-22 15:30:30,-1007.8977960221828,u
2021-11-22 23:59:59,-1009.6968354717737,c
2021-11-23 00:00:00,-1012.7543852122317,
2021-11-23 10:00:00,-1005.4238545306853,
2021-11-23 10:30:00,-867.7817225599347,
2021-11-23 12:00:00,-850.6479765458253,
2021-11-23 13:30:00,-869.37692242495,
2021-11-23 15:00:00,-863.0101292644249,
2021-11-23 15:30:30,-863.0101292644249,
2021-11-23 23:59:59,-964.4244413574852,c
2021-11-24 00:00:00,-873.9357243852319,
2021-11-24 10:00:00,-903.5391094992865,
2021-11-24 10:30:00,-967.006537101407,
2021-11-24 12:00:00,-1045.7986017206385,
2021-11-24 13:30:00,-1050.7501819148974,
2021-11-24 15:00:00,-1030.143432436722,
2021-11-24 15:30:30,-1030.143432436722,
2021-11-24 23:59:59,-1037.7368008228077,c
2021-11-25 00:00:00,-1037.7368008228077,
2021-11-25 10:00:00,-1037.7368008228077,
2021-11-25 10:30:00,-1037.7368008228077,
2021-11-25 12:00:00,-1037.7368008228077,
2021-11-25 13:30:00,-1037.7368008228077,
2021-11-25 15:00:00,-1037.7368008228077,
2021-11-25 15:30:30,-1037.7368008228077,
2021-11-25 23:59:59,-1037.7368008228077,c
2021-11-26 00:00:00,-904.5208159080094,
2021-11-26 10:00:00,-1077.6027717475508,
2021-11-26 10:30:00,-1081.7942349128361,
2021-11-26 12:00:00,-1066.7115136075518,
2021-11-26 13:30:00,-1066.7115136075518,
2021-11-26 15:00:00,-1066.7115136075518,
2021-11-26 15:30:30,-1066.7115136075518,
2021-11-26 23:59:59,-1092.3588736284,w
2021-11-29 00:00:00,-1163.0752939824224,
2021-11-29 10:00:00,-1030.7815096279337,
2021-11-29 10:30:00,-991.2167894984232,
2021-11-29 12:00:00,-981.7909960896013,
2021-11-29 13:30:00,-993.9426683038528,
2021-11-29 15:00:00,-996.9673501450716,
2021-11-29 15:30:30,-996.9673501450716,
2021-11-29 23:59:59,-929.5473618295018,c
2021-11-30 00:00:00,-868.7290900034632,
2021-11-30 10:00:00,-977.1017915560324,
2021-11-30 10:30:00,-911.1416703688956,
2021-11-30 12:00:00,-695.9641068838873,
2021-11-30 13:30:00,-655.4837870939718,
2021-11-30 15:00:00,-678.7840185114292,
2021-11-30 15:30:30,-678.7840185114292,s
2021-11-30 23:59:59,-776.6244156764269,c
2021-12-01 00:00:00,-849.1824557322307,
2021-12-01 10:00:00,-829.9538095218022,
2021-12-01 10:30:00,-791.9438175055402,
2021-12-01 12:00:00,-712.6251061476414,
2021-12-01 13:30:00,-587.8650809212941,
2021-12-01 15:00:00,-478.4650622103336,
2021-12-01 15:30:30,-478.4650622103336,
2021-12-01 23:59:59,-338.07522748966585,c
2021-12-02 00:00:00,-446.82523187222614,
2021-12-02 10:00:00,-532.118686538598,
2021-12-02 10:30:00,-387.3964760944409,
2021-12-02 12:00:00,-425.7510288496069,
2021-12-02 13:30:00,-360.09491370648357,
2021-12-02 15:00:00,-419.1619265673262,
2021-12-02 15:30:30,-419.1619265673262,
2021-12-02 23:59:59,-438.6185923582161,c
2021-12-03 00:00:00,-377.70593628609913,
2021-12-03 10:00:00,-45.833099009607395,
2021-12-03 10:30:00,-44.62191350225112,
2021-12-03 12:00:00,49.86273947886821,
2021-12-03 13:30:00,-12.015061452460941,
2021-12-03 15:00:00,26.461112655247234,
2021-12-03 15:30:30,26.461112655247234,
2021-12-03 23:59:59,-30.478720139960387,w
2021-12-06 00:00:00,16.182755843497034,
2021-12-06 10:00:00,-30.48120827774892,
2021-12-06 10:30:00,-187.71013086741186,
2021-12-06 12:00:00,-165.11466143233702,
2021-12-06 13:30:00,-262.99135529258547,
2021-12-06 15:00:00,-233.4929779839522,
2021-12-06 15:30:30,-233.4929779839522,
2021-12-06 23:59:59,-226.3822276309611,c
2021-12-07 00:00:00,-271.7615882695709,
2021-12-07 10:00:00,-365.07430458441377,
2021-12-07 10:30:00,-362.0222326475414,
2021-12-07 12:00:00,-378.7522794510878,
2021-12-07 13:30:00,-405.2268436516397,
2021-12-07 15:00:00,-433.0530201224001,
2021-12-07 15:30:30,-433.0530201224001,
2021-12-07 23:59:59,-353.60517755923684,c
2021-12-08 00:00:00,-352.350177285899,
2021-12-08 10:00:00,-350.5054826014348,
2021-12-08 10:30:00,-439.2919637111945,
2021-12-08 12:00:00,-506.0506395329967,
2021-12-08 13:30:00,-552.1674413585815,
2021-12-08 15:00:00,-543.0061371121092,
2021-12-08 15:30:30,-543.0061371121092,
2021-12-08 23:59:59,-496.0490665429252,c
2021-12-09 00:00:00,-499.73911370214773,
2021-12-09 10:00:00,-421.15549207862296,
2021-12-09 10:30:00,-361.2386058929633,
2021-12-09 12:00:00,-316.4045961995871,
2021-12-09 13:30:00,-225.70870851610107,
2021-12-09 15:00:00,-124.37687454052866,
2021-12-09 15:30:30,-124.37687454052866,
2021-12-09 23:59:59,-108.51824694312018,c
2021-12-10 00:00:00,-170.94143539248762,
2021-12-10 10:00:00,-88.15632030774213,
2021-12-10 10:30:00,-80.04647154221311,
2021-12-10 12:00:00,-22.753463162672233,
2021-12-10 13:30:00,-15.123083465279706,
2021-12-10 15:00:00,39.180734342709,
2021-12-10 15:30:30,39.180734342709,
2021-12-10 23:59:59,0.0,a
2021-12-13 00:00:00,22.608701318285966,
2021-12-13 10:00:00,61.153036830311066,
2021-12-13 10:30:00,163.5672403614708,
2021-12-13 12:00:00,275.70168530376486,
2021-12-13 13:30:00,265.50658628804194,
2021-12-13 15:00:00,220.41961727853686,
2021-12-13 15:30:30,220.41961727853686,
2021-12-13 23:59:59,198.92955129047277,c
2021-12-14 00:00:00,291.0920064834427,
2021-12-14 10:00:00,293.7243619876881,
2021-12-14 10:30:00,258.6077806555022,
2021-12-14 12:00:00,364.2376857345562,
2021-12-14 13:30:00,361.02311507161903,
2021-12-14 15:00:00,332.2371113452509,
2021-12-14 15:30:30,332.2371113452509,
2021-12-14 23:59:59,352.53340758001013,c
2021-12-15 00:00:00,363.81105338341604,
2021-12-15 10:00:00,541.8228995674144,
2021-12-15 10:30:00,544.2061434317884,
2021-12-15 12:00:00,555.9044814041763,
2021-12-15 13:30:00,564.4407513442511,
2021-12-15 15:00:00,499.5702393667452,
2021-12-15 15:30:30,499.5702393667452,
2021-12-15 23:59:59,346.397391086718,c
2021-12-16 00:00:00,250.59769105341547,
2021-12-16 10:00:00,338.97163609515883,
2021-12-16 10:30:00,353.1293358428329,
2021-12-16 12:00:00,466.25238320808603,
2021-12-16 13:30:00,473.6797197262731,
2021-12-16 15:00:00,552.8161981636922,
2021-12-16 15:30:30,552.8161981636922,
2021-12-16 23:59:59,506.7874021422185,c
2021-12-17 00:00:00,547.5047683667353,
2021-12-17 10:00:00,617.9914170525799,
2021-12-17 10:30:00,542.7237506124447,
2021-12-17 12:00:00,430.2320112047137,
2021-12-17 13:30:00,409.1973757990081,
2021-12-17 15:00:00,383.025341411314,
2021-12-17 15:30:30,383.025341411314,
2021-12-17 23:59:59,472.2654204565051,e
2021-12-20 00:00:00,565.666309284109,
2021-12-20 10:00:00,560.9511823525645,
2021-12-20 10:30:00,619.1987978352263,
2021-12-20 12:00:00,638.8364100494073,
2021-12-20 13:30:00,659.0392221880247,
2021-12-20 15:00:00,608.74712927365,
2021-12-20 15:30:30,608.74712927365,
2021-12-20 23:59:59,601.6193383490581,c
2021-12-21 00:00:00,548.051275453664,
2021-12-21 10:00:00,470.19168169347813,
2021-12-21 10:30:00,406.73891922957864,
2021-12-21 12:00:00,432.1132506886788,
2021-12-21 13:30:00,430.3426171390074,
2021-12-21 15:00:00,362.3527046393183,
2021-12-21 15:30:30,362.3527046393183,
2021-12-21 23:59:59,378.1291147447273,c
2021-12-22 00:00:00,396.78907099048047,
2021-12-22 10:00:00,414.71009808278995,
2021-12-22 10:30:00,402.29313271003593,
2021-12-22 12:00:00,402.07668619370907,
2021-12-22 13:30:00,468.46125779472277,
2021-12-22 15:00:00,486.7039433899399,
2021-12-22 15:30:30,486.7039433899399,
2021-12-22 23:59:59,474.6490460510522,c
2021-12-23 00:00:00,449.3854508289369,
2021-12-23 10:00:00,447.1563182841892,
2021-12-23 10:30:00,417.0027169497189,
2021-12-23 12:00:00,355.77660977731557,
2021-12-23 13:30:00,283.2279909803392,
2021-12-23 15:00:00,337.28372210586895,
2021-12-23 15:30:30,337.28372210586895,
2021-12-23 23:59:59,324.96273048634976,c
2021-12-24 00:00:00,324.96273048634976,
2021-12-24 10:00:00,324.96273048634976,
2021-12-24 10:30:00,324.96273048634976,
2021-12-24 12:00:00,324.96273048634976,
2021-12-24 13:30:00,324.96273048634976,
2021-12-24 15:00:00,324.96273048634976,
2021-12-24 15:30:30,324.96273048634976,
2021-12-24 23:59:59,324.96273048634976,w
2021-12-27 00:00:00,304.1857603747685,
2021-12-27 10:00:00,386.40512334469804,
2021-12-27 10:30:00,311.9360510073793,
2021-12-27 12:00:00,326.65336861171727,
2021-12-27 13:30:00,334.97057616586244,
2021-12-27 15:00:00,379.485901218668,
2021-12-27 15:30:30,379.485901218668,
2021-12-27 23:59:59,386.44454774904443,c
2021-12-28 00:00:00,382.9796658868745,
2021-12-28 10:00:00,355.2132086930633,
2021-12-28 10:30:00,316.87685469243297,
2021-12-28 12:00:00,417.075493178284,
2021-12-28 13:30:00,440.0727173426603,
2021-12-28 15:00:00,438.7717906765092,
2021-12-28 15:30:30,438.7717906765092,
2021-12-28 23:59:59,474.51866349098054,c
2021-12-29 00:00:00,555.4253535861035,
2021-12-29 10:00:00,604.0124118321273,
2021-12-29 10:30:00,604.5679914271732,
2021-12-29 12:00:00,591.9058020668854,
2021-12-29 13:30:00,593.6020131973492,
2021-12-29 15:00:00,568.0874559353806,
2021-12-29 15:30:30,568.0874559353806,
2021-12-29 23:59:59,617.3895464367497,c
2021-12-30 00:00:00,630.9621398773588,
2021-12-30 10:00:00,469.1676015237472,
2021-12-30 10:30:00,412.51959211627855,
