date,pos,meta
2021-10-27 00:00:00,0,
2021-10-27 01:00:00,0,
2021-10-27 02:30:00,0,
2021-10-27 03:00:00,0,
2021-10-27 18:30:00,0,
2021-10-27 20:00:00,0,
2021-10-27 23:00:00,0,
2021-10-27 23:59:59,0,c
2021-10-28 00:00:00,0,
2021-10-28 01:00:00,0,
2021-10-28 02:30:00,0,
2021-10-28 03:00:00,0,
2021-10-28 18:30:00,0,
2021-10-28 20:00:00,0,
2021-10-28 23:00:00,0,
2021-10-28 23:59:59,0,c
2021-10-29 00:00:00,0,
2021-10-29 01:00:00,0,
2021-10-29 02:30:00,0,
2021-10-29 03:00:00,0,
2021-10-29 18:30:00,0,
2021-10-29 20:00:00,0,
2021-10-29 23:00:00,0,
2021-10-29 23:59:59,0,w
2021-11-01 00:00:00,0,
2021-11-01 01:00:00,0,
2021-11-01 02:30:00,0,
2021-11-01 03:00:00,0,
2021-11-01 18:30:00,0,
2021-11-01 20:00:00,0,
2021-11-01 23:00:00,0,
2021-11-01 23:59:59,0,c
2021-11-02 00:00:00,0,
2021-11-02 01:00:00,0,
2021-11-02 02:30:00,0,
2021-11-02 03:00:00,0,
2021-11-02 18:30:00,0,
2021-11-02 20:00:00,0,
2021-11-02 23:00:00,0,
2021-11-02 23:59:59,0,c
2021-11-03 00:00:00,0,
2021-11-03 01:00:00,0,
2021-11-03 02:30:00,0,
2021-11-03 03:00:00,0,
2021-11-03 18:30:00,0,
2021-11-03 20:00:00,0,
2021-11-03 23:00:00,0,
2021-11-03 23:59:59,0,c
2021-11-04 00:00:00,0,
2021-11-04 01:00:00,0,
2021-11-04 02:30:00,0,
2021-11-04 03:00:00,0,
2021-11-04 18:30:00,0,
2021-11-04 20:00:00,0,
2021-11-04 23:00:00,0,
2021-11-04 23:59:59,0,c
2021-11-05 00:00:00,0,
2021-11-05 01:00:00,0,
2021-11-05 02:30:00,0,
2021-11-05 03:00:00,0,
2021-11-05 18:30:00,0,
2021-11-05 20:00:00,0,
2021-11-05 23:00:00,0,
2021-11-05 23:59:59,0,w
2021-11-08 00:00:00,0,
2021-11-08 01:00:00,0,
2021-11-08 02:30:00,0,
2021-11-08 03:00:00,0,
2021-11-08 18:30:00,0,
2021-11-08 20:00:00,0,
2021-11-08 23:00:00,0,
2021-11-08 23:59:59,0,c
2021-11-09 00:00:00,0,
2021-11-09 01:00:00,0,
2021-11-09 02:30:00,0,
2021-11-09 03:00:00,0,
2021-11-09 18:30:00,0,
2021-11-09 20:00:00,0,
2021-11-09 23:00:00,0,
2021-11-09 23:59:59,0,c
2021-11-10 00:00:00,0,
2021-11-10 01:00:00,0,
2021-11-10 02:30:00,0,
2021-11-10 03:00:00,0,
2021-11-10 18:30:00,0,
2021-11-10 20:00:00,0,
2021-11-10 23:00:00,0,
2021-11-10 23:59:59,0,a
2021-11-11 00:00:00,0,
2021-11-11 01:00:00,0,
2021-11-11 02:30:00,0,
2021-11-11 03:00:00,0,
2021-11-11 18:30:00,0,
2021-11-11 20:00:00,0,
2021-11-11 23:00:00,0,
2021-11-11 23:59:59,0,c
2021-11-12 00:00:00,0,
2021-11-12 01:00:00,0,
2021-11-12 02:30:00,0,
2021-11-12 03:00:00,0,
2021-11-12 18:30:00,0,
2021-11-12 20:00:00,0,
2021-11-12 23:00:00,0,
2021-11-12 23:59:59,0,w
2021-11-15 00:00:00,0,
2021-11-15 01:00:00,0,
2021-11-15 02:30:00,0,
2021-11-15 03:00:00,0,
2021-11-15 18:30:00,0,
2021-11-15 20:00:00,0,
2021-11-15 23:00:00,0,
2021-11-15 23:59:59,0,c
2021-11-16 00:00:00,0,
2021-11-16 01:00:00,0,
2021-11-16 02:30:00,0,
2021-11-16 03:00:00,0,
2021-11-16 18:30:00,0,
2021-11-16 20:00:00,0,
2021-11-16 23:00:00,0,
2021-11-16 23:59:59,0,c
2021-11-17 00:00:00,0,
2021-11-17 01:00:00,0,
2021-11-17 02:30:00,0,
2021-11-17 03:00:00,0,
2021-11-17 18:30:00,0,
2021-11-17 20:00:00,0,
2021-11-17 23:00:00,0,
2021-11-17 23:59:59,0,c
2021-11-18 00:00:00,0,
2021-11-18 01:00:00,0,
2021-11-18 02:30:00,0,
2021-11-18 03:00:00,0,
2021-11-18 18:30:00,0,
2021-11-18 20:00:00,0,
2021-11-18 23:00:00,0,
2021-11-18 23:59:59,0,c
2021-11-19 00:00:00,0,
2021-11-19 01:00:00,0,
